,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
1,35,57,2021-09-17,Bristol,Saracens,9,26,L,home,35,85,Saracens,Bristol,26,9,W,away,-22
3,60,43,2021-09-18,Worcester,London Irish,36,24,W,home,60,43,London Irish,Worcester,24,36,L,away,17
5,39,41,2021-09-18,Sale,Bath,20,19,W,home,39,41,Bath,Sale,19,20,L,away,-2
7,53,34,2021-09-18,Leicester,Exeter,34,19,W,home,53,34,Exeter,Leicester,19,34,L,away,19
8,54,35,2021-09-18,Northampton,Gloucester,34,20,W,home,54,52,Gloucester,Northampton,20,34,L,away,19
10,46,43,2021-09-19,Newcastle,Harlequins,20,26,L,home,46,43,Harlequins,Newcastle,26,20,W,away,3
13,59,43,2021-09-24,Gloucester,Leicester,26,33,L,home,59,69,Leicester,Gloucester,33,26,W,away,16
16,50,61,2021-09-25,Exeter,Northampton,24,26,L,home,50,41,Northampton,Exeter,26,24,W,away,-11
17,52,48,2021-09-25,Wasps,Bristol,44,8,W,home,52,43,Bristol,Wasps,8,44,L,away,4
19,33,43,2021-09-25,Bath,Newcastle,13,20,L,home,33,43,Newcastle,Bath,20,13,W,away,-10
20,64,45,2021-09-25,Harlequins,Worcester,35,29,W,home,64,45,Worcester,Harlequins,29,35,L,away,19
22,62,59,2021-09-26,London Irish,Sale,31,31,D,home,62,34,Sale,London Irish,31,31,D,away,3
24,45,59,2021-10-01,Bristol,Bath,25,20,W,home,45,59,Bath,Bristol,20,25,L,away,-14
26,32,43,2021-10-02,Newcastle,Wasps,18,14,W,home,32,43,Wasps,Newcastle,14,18,L,away,-11
27,44,51,2021-10-02,Northampton,London Irish,23,21,W,home,44,51,London Irish,Northampton,21,23,L,away,-7
28,25,34,2021-10-02,Leicester,Saracens,13,12,W,home,25,34,Saracens,Leicester,12,13,L,away,-9
30,54,59,2021-10-02,Worcester,Gloucester,23,31,L,home,54,59,Gloucester,Worcester,31,23,W,away,-5
34,40,34,2021-10-03,Sale,Exeter,15,25,L,home,40,34,Exeter,Sale,25,15,W,away,6
36,76,39,2021-10-08,Harlequins,Bristol,52,24,W,home,76,45,Bristol,Harlequins,24,52,L,away,37
38,65,34,2021-10-09,Gloucester,Sale,33,32,W,home,65,34,Sale,Gloucester,32,33,L,away,31
43,47,41,2021-10-09,Exeter,Worcester,42,5,W,home,47,41,Worcester,Exeter,5,42,L,away,6
44,37,34,2021-10-09,London Irish,Leicester,16,21,L,home,37,34,Leicester,London Irish,21,16,W,away,3
45,60,43,2021-10-09,Saracens,Newcastle,37,23,W,home,60,43,Newcastle,Saracens,23,37,L,away,17
47,46,34,2021-10-10,Wasps,Northampton,26,20,W,home,46,34,Northampton,Wasps,20,26,L,away,12
49,50,34,2021-10-15,Sale,Harlequins,28,22,W,home,50,34,Harlequins,Sale,22,28,L,away,16
50,51,40,2021-10-16,Worcester,Leicester,3,48,L,home,51,40,Leicester,Worcester,48,3,W,away,11
51,50,51,2021-10-16,Wasps,Exeter,23,27,L,home,50,34,Exeter,Wasps,27,23,W,away,-1
54,18,33,2021-10-16,Newcastle,Bristol,13,5,W,home,18,43,Bristol,Newcastle,5,13,L,away,-15
57,88,43,2021-10-17,Bath,Saracens,17,71,L,home,88,43,Saracens,Bath,71,17,W,away,45
58,50,34,2021-10-17,London Irish,Gloucester,25,25,D,home,50,34,Gloucester,London Irish,25,25,D,away,16
60,76,51,2021-10-22,Northampton,Worcester,66,10,W,home,76,43,Worcester,Northampton,10,66,L,away,25
62,49,34,2021-10-23,Gloucester,Newcastle,29,20,W,home,49,34,Newcastle,Gloucester,20,29,L,away,15
64,54,49,2021-10-23,Exeter,London Irish,21,33,L,home,54,41,London Irish,Exeter,33,21,W,away,5
66,48,47,2021-10-23,Harlequins,Bath,31,17,W,home,48,47,Bath,Harlequins,17,31,L,away,1
68,30,41,2021-10-23,Leicester,Sale,19,11,W,home,30,34,Sale,Leicester,11,19,L,away,-11
70,71,51,2021-10-24,Saracens,Wasps,56,15,W,home,71,34,Wasps,Saracens,15,56,L,away,20
73,29,34,2021-10-29,Gloucester,Exeter,13,16,L,home,29,34,Exeter,Gloucester,16,13,W,away,-5
75,44,43,2021-10-30,Bath,Wasps,17,27,L,home,44,43,Wasps,Bath,27,17,W,away,1
