,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
127,44,18,2020-02-22,London Irish,Gloucester,24,20,W,home,44,18,Gloucester,London Irish,20,24,L,away,26
128,64,52,2020-02-23,Exeter,Northampton,57,7,W,home,64,61,Northampton,Exeter,7,57,L,away,12
130,23,51,2020-02-23,Bristol,Worcester,13,10,W,home,23,50,Worcester,Bristol,10,13,L,away,-28
133,40,41,2020-02-28,Gloucester,Sale,17,23,L,home,40,54,Sale,Gloucester,23,17,W,away,-1
134,64,53,2020-02-29,Harlequins,Exeter,34,30,W,home,64,53,Exeter,Harlequins,30,34,L,away,11
136,48,38,2020-02-29,Northampton,Saracens,21,27,L,home,48,30,Saracens,Northampton,27,21,W,away,10
137,22,67,2020-02-29,Leicester,Worcester,14,8,W,home,22,67,Worcester,Leicester,8,14,L,away,-45
140,32,27,2020-03-01,Bath,Bristol,13,19,L,home,32,27,Bristol,Bath,19,13,W,away,5
143,62,43,2020-03-01,London Irish,Wasps,26,36,L,home,62,43,Wasps,London Irish,36,26,W,away,19
146,39,44,2020-03-06,Sale,London Irish,39,0,W,home,39,44,London Irish,Sale,0,39,L,away,-5
147,26,39,2020-03-06,Worcester,Northampton,10,16,L,home,26,39,Northampton,Worcester,16,10,W,away,-13
148,37,28,2020-03-07,Saracens,Leicester,24,13,W,home,37,28,Leicester,Saracens,13,24,L,away,9
149,61,53,2020-03-07,Wasps,Gloucester,39,22,W,home,61,53,Gloucester,Wasps,22,39,L,away,8
150,77,54,2020-03-07,Exeter,Bath,57,20,W,home,77,39,Bath,Exeter,20,57,L,away,23
155,43,52,2020-03-08,Bristol,Harlequins,28,15,W,home,43,52,Harlequins,Bristol,15,28,L,away,-9
156,26,27,2020-08-14,Harlequins,Sale,16,10,W,home,26,27,Sale,Harlequins,10,16,L,away,-1
159,39,27,2020-08-15,Exeter,Leicester,26,13,W,home,39,27,Leicester,Exeter,13,26,L,away,12
161,28,27,2020-08-15,Bristol,Saracens,16,12,W,home,28,27,Saracens,Bristol,12,16,L,away,1
162,51,27,2020-08-15,Bath,London Irish,34,17,W,home,51,27,London Irish,Bath,17,34,L,away,24
165,59,27,2020-08-15,Worcester,Gloucester,15,44,L,home,59,27,Gloucester,Worcester,44,15,W,away,32
166,55,27,2020-08-16,Northampton,Wasps,21,34,L,home,55,27,Wasps,Northampton,34,21,W,away,28
168,54,27,2020-08-21,Sale,Exeter,22,32,L,home,54,27,Exeter,Sale,32,22,W,away,27
172,57,27,2020-08-21,Gloucester,Bristol,24,33,L,home,57,27,Bristol,Gloucester,33,24,W,away,30
173,49,27,2020-08-21,Wasps,Worcester,32,17,W,home,49,27,Worcester,Wasps,17,32,L,away,22
174,30,27,2020-08-22,London Irish,Northampton,3,27,L,home,30,27,Northampton,London Irish,27,3,W,away,3
176,62,27,2020-08-22,Saracens,Harlequins,38,24,W,home,62,27,Harlequins,Saracens,24,38,L,away,35
179,54,27,2020-08-22,Leicester,Bath,16,38,L,home,54,27,Bath,Leicester,38,16,W,away,27
180,31,27,2020-08-25,Wasps,Sale,11,20,L,home,31,27,Sale,Wasps,20,11,W,away,4
183,47,27,2020-08-25,Bristol,Exeter,22,25,L,home,47,27,Exeter,Bristol,25,22,W,away,20
186,56,27,2020-08-26,Saracens,Gloucester,36,20,W,home,56,27,Gloucester,Saracens,20,36,L,away,29
187,21,27,2020-08-26,Northampton,Bath,3,18,L,home,21,27,Bath,Northampton,18,3,W,away,-6
189,20,34,2020-08-26,Leicester,London Irish,13,7,W,home,20,34,London Irish,Leicester,7,13,L,away,-14
190,43,27,2020-08-26,Worcester,Harlequins,29,14,W,home,43,27,Harlequins,Worcester,14,29,L,away,16
192,47,27,2020-08-29,Sale,Bristol,40,7,W,home,47,27,Bristol,Sale,7,40,L,away,20
195,47,27,2020-08-30,Harlequins,Northampton,30,17,W,home,47,27,Northampton,Harlequins,17,30,L,away,20
197,76,27,2020-08-30,Gloucester,Leicester,46,30,W,home,76,27,Leicester,Gloucester,30,46,L,away,49
199,66,27,2020-08-30,Exeter,Worcester,59,7,W,home,66,27,Worcester,Exeter,7,59,L,away,39
200,50,27,2020-08-31,Bath,Wasps,23,27,L,home,50,27,Wasps,Bath,27,23,W,away,23
201,52,27,2020-08-31,London Irish,Saracens,12,40,L,home,52,27,Saracens,London Irish,40,12,W,away,25
204,41,39,2020-09-04,Northampton,Exeter,19,22,L,home,41,35,Exeter,Northampton,22,19,W,away,2
207,49,43,2020-09-04,Worcester,Bristol,13,36,L,home,49,43,Bristol,Worcester,36,13,W,away,6
209,46,77,2020-09-05,Saracens,Wasps,18,28,L,home,46,77,Wasps,Saracens,28,18,W,away,-31
211,71,48,2020-09-05,Leicester,Sale,31,40,L,home,71,34,Sale,Leicester,40,31,W,away,23
214,68,45,2020-09-05,Harlequins,Bath,27,41,L,home,68,59,Bath,Harlequins,41,27,W,away,23
215,59,43,2020-09-05,Gloucester,London Irish,36,23,W,home,59,43,London Irish,Gloucester,23,36,L,away,16
216,57,85,2020-09-08,Bristol,Northampton,47,10,W,home,57,85,Northampton,Bristol,10,47,L,away,-28
218,55,59,2020-09-09,Bath,Worcester,40,15,W,home,55,59,Worcester,Bath,15,40,L,away,-4
219,53,45,2020-09-09,London Irish,Harlequins,15,38,L,home,53,45,Harlequins,London Irish,38,15,W,away,8
220,57,53,2020-09-09,Exeter,Gloucester,35,22,W,home,57,47,Gloucester,Exeter,22,35,L,away,4
222,61,45,2020-09-09,Wasps,Leicester,54,7,W,home,61,45,Leicester,Wasps,7,54,L,away,16
223,41,29,2020-09-09,Sale,Saracens,24,17,W,home,41,29,Saracens,Sale,17,24,L,away,12
228,57,77,2020-09-13,Saracens,Exeter,40,17,W,home,57,53,Exeter,Saracens,17,40,L,away,-20
232,65,43,2020-09-13,London Irish,Worcester,25,40,L,home,65,43,Worcester,London Irish,40,25,W,away,22
233,59,29,2020-09-13,Sale,Bath,22,37,L,home,59,29,Bath,Sale,37,22,W,away,30
236,94,45,2020-09-13,Wasps,Bristol,59,35,W,home,94,45,Bristol,Wasps,35,59,L,away,49
237,52,34,2020-09-13,Leicester,Northampton,28,24,W,home,52,34,Northampton,Leicester,24,28,L,away,18
239,43,52,2020-09-14,Gloucester,Harlequins,15,28,L,home,43,52,Harlequins,Gloucester,28,15,W,away,-9
240,51,52,2020-09-22,Bath,Gloucester,31,20,W,home,51,52,Gloucester,Bath,20,31,L,away,-1
242,55,45,2020-09-28,Harlequins,Wasps,23,32,L,home,55,45,Wasps,Harlequins,32,23,W,away,10
245,48,35,2020-09-29,Northampton,Sale,14,34,L,home,48,35,Sale,Northampton,34,14,W,away,13
248,41,44,2020-09-30,Exeter,London Irish,19,22,L,home,41,44,London Irish,Exeter,22,19,W,away,-3
250,43,33,2020-09-30,Bristol,Leicester,40,3,W,home,43,33,Leicester,Bristol,3,40,L,away,10
251,67,28,2020-09-30,Worcester,Saracens,40,27,W,home,67,28,Saracens,Worcester,27,40,L,away,39
254,58,47,2020-10-04,Leicester,Harlequins,26,32,L,home,58,38,Harlequins,Leicester,32,26,W,away,11
255,34,44,2020-10-04,Saracens,Bath,17,17,D,home,34,44,Bath,Saracens,17,17,D,away,-10
256,51,34,2020-10-04,Wasps,Exeter,46,5,W,home,51,56,Exeter,Wasps,5,46,L,away,17
257,43,59,2020-10-04,London Irish,Bristol,7,36,L,home,43,68,Bristol,London Irish,36,7,W,away,-16
261,71,37,2020-10-10,Wasps,Bristol,47,24,W,home,71,37,Bristol,Wasps,24,47,L,away,34
263,41,49,2020-10-10,Exeter,Bath,35,6,W,home,41,54,Bath,Exeter,6,35,L,away,-8
265,32,38,2020-10-24,Exeter,Wasps,19,13,W,home,32,38,Wasps,Exeter,13,19,L,away,-6
