,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
0,55,33,2020-11-20,Sale,Northampton,32,23,W,home,55,33,Northampton,Sale,23,32,L,away,22
1,36,33,2020-11-20,Harlequins,Exeter,3,33,L,home,36,30,Exeter,Harlequins,33,3,W,away,3
4,21,33,2020-11-21,Worcester,London Irish,11,10,W,home,21,33,London Irish,Worcester,10,11,L,away,-12
5,53,29,2020-11-21,Leicester,Gloucester,38,15,W,home,53,49,Gloucester,Leicester,15,38,L,away,24
6,31,37,2020-11-21,Bath,Newcastle,12,19,L,home,31,37,Newcastle,Bath,19,12,W,away,-6
11,43,60,2020-11-22,Wasps,Bristol,23,20,W,home,43,58,Bristol,Wasps,20,23,L,away,-17
12,28,31,2020-11-27,Newcastle,Sale,15,13,W,home,28,30,Sale,Newcastle,13,15,L,away,-3
15,43,41,2020-11-28,Exeter,Bath,40,3,W,home,43,41,Bath,Exeter,3,40,L,away,2
16,64,54,2020-11-28,Gloucester,Wasps,40,24,W,home,64,54,Wasps,Gloucester,24,40,L,away,10
19,43,37,2020-11-28,Bristol,Worcester,30,13,W,home,43,37,Worcester,Bristol,13,30,L,away,6
20,78,18,2020-11-28,Northampton,Harlequins,29,49,L,home,78,18,Harlequins,Northampton,49,29,W,away,60
22,31,30,2020-11-29,London Irish,Leicester,22,9,W,home,31,30,Leicester,London Irish,9,22,L,away,1
25,35,51,2020-12-04,Bristol,Northampton,18,17,W,home,35,51,Northampton,Bristol,17,18,L,away,-16
26,44,37,2020-12-05,Wasps,Newcastle,17,27,L,home,44,50,Newcastle,Wasps,27,17,W,away,7
29,50,38,2020-12-05,Worcester,Bath,17,33,L,home,50,26,Bath,Worcester,33,17,W,away,12
30,48,53,2020-12-05,Leicester,Exeter,13,35,L,home,48,53,Exeter,Leicester,35,13,W,away,-5
32,34,38,2020-12-06,London Irish,Sale,13,21,L,home,34,42,Sale,London Irish,21,13,W,away,-4
34,58,52,2020-12-06,Gloucester,Harlequins,24,34,L,home,58,52,Harlequins,Gloucester,34,24,W,away,6
36,39,46,2020-12-26,Northampton,Worcester,29,10,W,home,39,46,Worcester,Northampton,10,29,L,away,-7
38,46,39,2020-12-26,Harlequins,Bristol,19,27,L,home,46,39,Bristol,Harlequins,27,19,W,away,7
40,48,41,2020-12-26,Exeter,Gloucester,28,20,W,home,48,41,Gloucester,Exeter,20,28,L,away,7
43,49,41,2020-12-27,Sale,Wasps,23,26,L,home,49,41,Wasps,Sale,26,23,W,away,8
44,46,50,2021-01-01,Bristol,Newcastle,29,17,W,home,46,50,Newcastle,Bristol,17,29,L,away,-4
47,39,66,2021-01-02,Wasps,Exeter,34,5,W,home,39,73,Exeter,Wasps,5,34,L,away,-27
48,41,44,2021-01-02,Gloucester,Sale,19,22,L,home,41,41,Sale,Gloucester,22,19,W,away,-3
50,67,49,2021-01-03,Leicester,Bath,36,31,W,home,67,49,Bath,Leicester,31,36,L,away,18
53,33,24,2021-01-08,Sale,Worcester,20,13,W,home,33,47,Worcester,Sale,13,20,L,away,9
55,96,23,2021-01-08,Bath,Wasps,44,52,L,home,96,23,Wasps,Bath,52,44,W,away,73
57,32,45,2021-01-09,Newcastle,Gloucester,22,10,W,home,32,45,Gloucester,Newcastle,10,22,L,away,-13
58,27,41,2021-01-09,Exeter,Bristol,7,20,L,home,27,41,Bristol,Exeter,20,7,W,away,-14
60,54,44,2021-01-10,Harlequins,London Irish,27,27,D,home,54,55,London Irish,Harlequins,27,27,D,away,10
64,40,58,2021-01-29,Leicester,Sale,15,25,L,home,40,49,Sale,Leicester,25,15,W,away,-18
65,51,50,2021-01-29,Bristol,Bath,48,3,W,home,51,50,Bath,Bristol,3,48,L,away,1
67,57,41,2021-01-30,Gloucester,Northampton,26,31,L,home,57,41,Northampton,Gloucester,31,26,W,away,16
69,38,40,2021-01-30,Worcester,Exeter,17,21,L,home,38,45,Exeter,Worcester,21,17,W,away,-2
70,53,48,2021-01-31,London Irish,Newcastle,31,22,W,home,53,48,Newcastle,London Irish,22,31,L,away,5
71,66,66,2021-01-31,Wasps,Harlequins,17,49,L,home,66,57,Harlequins,Wasps,49,17,W,away,0
