,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
0,66,26,2015-10-16,Newcastle,Gloucester,27,39,L,home,66,26,Gloucester,Newcastle,39,27,W,away,40
1,47,53,2015-10-16,Harlequins,Wasps,26,21,W,home,47,53,Wasps,Harlequins,21,26,L,away,-6
4,44,28,2015-10-17,Saracens,Sale,41,3,W,home,44,49,Sale,Saracens,3,41,L,away,16
7,36,51,2015-10-17,Bath,Exeter,19,17,W,home,36,53,Exeter,Bath,17,19,L,away,-15
9,44,18,2015-10-18,London Irish,Leicester,16,28,L,home,44,26,Leicester,London Irish,28,16,W,away,26
10,32,53,2015-10-23,Gloucester,Saracens,15,17,L,home,32,53,Saracens,Gloucester,17,15,W,away,-21
12,25,43,2015-10-24,Wasps,Bath,16,9,W,home,25,53,Bath,Wasps,9,16,L,away,-18
13,49,68,2015-10-24,Exeter,London Irish,38,11,W,home,49,68,London Irish,Exeter,11,38,L,away,-19
16,58,45,2015-10-24,Northampton,Newcastle,42,16,W,home,58,45,Newcastle,Northampton,16,42,L,away,13
18,41,38,2015-10-25,Leicester,Harlequins,22,19,W,home,41,38,Harlequins,Leicester,19,22,L,away,3
20,66,51,2015-10-31,Bath,Harlequins,28,38,L,home,66,51,Harlequins,Bath,38,28,W,away,15
22,38,28,2015-10-31,Saracens,London Irish,24,14,W,home,38,49,London Irish,Saracens,14,24,L,away,10
25,40,34,2015-11-01,Leicester,Wasps,24,16,W,home,40,42,Wasps,Leicester,16,24,L,away,6
27,33,44,2015-11-01,Sale,Northampton,20,13,W,home,33,44,Northampton,Sale,13,20,L,away,-11
29,44,30,2015-11-01,Newcastle,Exeter,3,41,L,home,44,30,Exeter,Newcastle,41,3,W,away,14
30,30,28,2015-11-06,Harlequins,Sale,16,14,W,home,30,28,Sale,Harlequins,14,16,L,away,2
32,25,46,2015-11-07,Exeter,Leicester,19,6,W,home,25,46,Leicester,Exeter,6,19,L,away,-21
34,18,42,2015-11-07,Northampton,Saracens,6,12,L,home,18,42,Saracens,Northampton,12,6,W,away,-24
36,59,30,2015-11-07,London Irish,Bath,14,45,L,home,59,30,Bath,London Irish,45,14,W,away,29
38,26,30,2015-11-08,Wasps,Gloucester,23,3,W,home,26,30,Gloucester,Wasps,3,23,L,away,-4
41,18,42,2015-11-27,Northampton,Gloucester,15,3,W,home,18,42,Gloucester,Northampton,3,15,L,away,-24
43,48,31,2015-11-28,London Irish,Wasps,15,33,L,home,48,31,Wasps,London Irish,33,15,W,away,17
46,51,46,2015-11-28,Exeter,Harlequins,26,25,W,home,51,46,Harlequins,Exeter,25,26,L,away,5
47,30,44,2015-11-28,Sale,Newcastle,15,15,D,home,30,44,Newcastle,Sale,15,15,D,away,-14
49,32,42,2015-11-29,Leicester,Bath,21,11,W,home,32,42,Bath,Leicester,11,21,L,away,-10
51,42,55,2015-12-04,Gloucester,Sale,23,19,W,home,42,55,Sale,Gloucester,19,23,L,away,-13
52,45,53,2015-12-05,Harlequins,London Irish,38,7,W,home,45,53,London Irish,Harlequins,7,38,L,away,-8
