,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
203,39,32,2019-03-24,Exeter,Bath,29,10,W,home,39,32,Bath,Exeter,10,29,L,away,7
205,45,62,2019-04-05,Sale,Harlequins,28,17,W,home,45,62,Harlequins,Sale,17,28,L,away,-17
207,72,48,2019-04-06,Leicester,Exeter,20,52,L,home,72,48,Exeter,Leicester,52,20,W,away,24
208,45,48,2019-04-06,Bath,Bristol,26,19,W,home,45,48,Bristol,Bath,19,26,L,away,-3
210,44,45,2019-04-06,Wasps,Worcester,28,16,W,home,44,45,Worcester,Wasps,16,28,L,away,-1
211,38,28,2019-04-06,Saracens,Newcastle,26,12,W,home,38,47,Newcastle,Saracens,12,26,L,away,10
214,71,65,2019-04-07,Northampton,Gloucester,31,40,L,home,71,54,Gloucester,Northampton,40,31,W,away,6
216,49,48,2019-04-12,Newcastle,Leicester,22,27,L,home,49,48,Leicester,Newcastle,27,22,W,away,1
218,50,25,2019-04-13,Gloucester,Bath,27,23,W,home,50,69,Bath,Gloucester,23,27,L,away,25
222,39,55,2019-04-13,Harlequins,Northampton,19,20,L,home,39,45,Northampton,Harlequins,20,19,W,away,-16
223,56,40,2019-04-13,Worcester,Sale,39,17,W,home,56,40,Sale,Worcester,17,39,L,away,16
224,44,57,2019-04-13,Bristol,Saracens,23,21,W,home,44,57,Saracens,Bristol,21,23,L,away,-13
226,45,48,2019-04-14,Exeter,Wasps,19,26,L,home,45,48,Wasps,Exeter,26,19,W,away,-3
228,48,30,2019-04-26,Newcastle,Northampton,17,31,L,home,48,30,Northampton,Newcastle,31,17,W,away,18
230,9,48,2019-04-26,Sale,Bath,6,3,W,home,9,46,Bath,Sale,3,6,L,away,-39
233,45,65,2019-04-27,Wasps,Saracens,14,31,L,home,45,65,Saracens,Wasps,31,14,W,away,-20
234,43,48,2019-04-27,Leicester,Bristol,20,23,L,home,43,48,Bristol,Leicester,23,20,W,away,-5
235,32,65,2019-04-27,Exeter,Harlequins,17,15,W,home,32,48,Harlequins,Exeter,15,17,L,away,-33
239,47,44,2019-04-28,Worcester,Gloucester,27,20,W,home,47,40,Gloucester,Worcester,20,27,L,away,3
240,40,48,2019-05-03,Bristol,Sale,20,20,D,home,40,66,Sale,Bristol,20,20,D,away,-8
243,42,44,2019-05-03,Harlequins,Leicester,23,19,W,home,42,58,Leicester,Harlequins,19,23,L,away,-2
245,45,44,2019-05-04,Saracens,Exeter,38,7,W,home,45,44,Exeter,Saracens,7,38,L,away,1
246,47,48,2019-05-04,Gloucester,Newcastle,28,19,W,home,47,48,Newcastle,Gloucester,19,28,L,away,-1
249,48,56,2019-05-04,Northampton,Worcester,38,10,W,home,48,56,Worcester,Northampton,10,38,L,away,-8
250,46,65,2019-05-05,Bath,Wasps,29,17,W,home,46,82,Wasps,Bath,17,29,L,away,-19
252,63,36,2019-05-18,Leicester,Bath,31,32,L,home,63,36,Bath,Leicester,32,31,W,away,27
253,61,57,2019-05-18,Exeter,Northampton,40,21,W,home,61,57,Northampton,Exeter,21,40,L,away,4
255,60,51,2019-05-18,Worcester,Saracens,31,29,W,home,60,51,Saracens,Worcester,29,31,L,away,9
257,52,50,2019-05-18,Wasps,Harlequins,27,25,W,home,52,50,Harlequins,Wasps,25,27,L,away,2
258,87,62,2019-05-18,Sale,Gloucester,46,41,W,home,87,62,Gloucester,Sale,41,46,L,away,25
261,31,36,2019-05-18,Newcastle,Bristol,12,19,L,home,31,36,Bristol,Newcastle,19,12,W,away,-5
264,63,44,2019-05-25,Saracens,Gloucester,44,19,W,home,63,44,Gloucester,Saracens,19,44,L,away,19
267,54,60,2019-05-25,Exeter,Northampton,42,12,W,home,54,57,Northampton,Exeter,12,42,L,away,-6
268,71,37,2019-06-01,Exeter,Saracens,34,37,L,home,71,37,Saracens,Exeter,37,34,W,away,34
