,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
0,27,46,2018-08-31,Bristol,Bath,17,10,W,home,27,46,Bath,Bristol,10,17,L,away,-19
3,41,34,2018-09-01,Worcester,Wasps,20,21,L,home,41,34,Wasps,Worcester,21,20,W,away,7
4,46,47,2018-09-01,Exeter,Leicester,40,6,W,home,46,48,Leicester,Exeter,6,40,L,away,-1
5,43,43,2018-09-01,Gloucester,Northampton,27,16,W,home,43,46,Northampton,Gloucester,16,27,L,away,0
8,74,45,2018-09-01,Harlequins,Sale,51,23,W,home,74,46,Sale,Harlequins,23,51,L,away,29
11,53,48,2018-09-02,Newcastle,Saracens,21,32,L,home,53,27,Saracens,Newcastle,32,21,W,away,5
13,43,52,2018-09-07,Northampton,Harlequins,25,18,W,home,43,52,Harlequins,Northampton,18,25,L,away,-9
15,62,52,2018-09-08,Bath,Gloucester,31,31,D,home,62,52,Gloucester,Bath,31,31,D,away,10
16,82,34,2018-09-08,Leicester,Newcastle,49,33,W,home,82,34,Newcastle,Leicester,33,49,L,away,48
17,73,45,2018-09-08,Wasps,Exeter,31,42,L,home,73,45,Exeter,Wasps,42,31,W,away,28
18,67,39,2018-09-08,Saracens,Bristol,44,23,W,home,67,39,Bristol,Saracens,23,44,L,away,28
23,36,43,2018-09-09,Sale,Worcester,21,15,W,home,36,43,Worcester,Sale,15,21,L,away,-7
25,48,43,2018-09-14,Gloucester,Bristol,35,13,W,home,48,43,Bristol,Gloucester,13,35,L,away,5
26,65,35,2018-09-15,Northampton,Saracens,27,38,L,home,65,35,Saracens,Northampton,38,27,W,away,30
27,43,46,2018-09-15,Worcester,Newcastle,20,23,L,home,43,46,Newcastle,Worcester,23,20,W,away,-3
30,69,45,2018-09-15,Harlequins,Bath,32,37,L,home,69,45,Bath,Harlequins,37,32,W,away,24
32,53,61,2018-09-15,Exeter,Sale,35,18,W,home,53,61,Sale,Exeter,18,35,L,away,-8
35,76,45,2018-09-16,Wasps,Leicester,41,35,W,home,76,45,Leicester,Wasps,35,41,L,away,31
36,41,48,2018-09-21,Newcastle,Exeter,17,24,L,home,41,48,Exeter,Newcastle,24,17,W,away,-7
39,44,43,2018-09-22,Sale,Wasps,13,31,L,home,44,43,Wasps,Sale,31,13,W,away,1
42,32,52,2018-09-22,Bath,Northampton,17,15,W,home,32,52,Northampton,Bath,15,17,L,away,-20
43,33,43,2018-09-22,Bristol,Harlequins,20,13,W,home,33,46,Harlequins,Bristol,13,20,L,away,-10
46,81,34,2018-09-23,Leicester,Worcester,37,44,L,home,81,34,Worcester,Leicester,44,37,W,away,47
47,53,54,2018-09-23,Saracens,Gloucester,38,15,W,home,53,54,Gloucester,Saracens,15,38,L,away,-1
49,45,43,2018-09-28,Newcastle,Wasps,22,23,L,home,45,43,Wasps,Newcastle,23,22,W,away,2
53,77,39,2018-09-29,Saracens,Bath,50,27,W,home,77,39,Bath,Saracens,27,50,L,away,38
54,85,44,2018-09-29,Bristol,Northampton,40,45,L,home,85,44,Northampton,Bristol,45,40,W,away,41
55,52,43,2018-09-29,Gloucester,Harlequins,25,27,L,home,52,43,Harlequins,Gloucester,27,25,W,away,9
57,39,44,2018-09-29,Exeter,Worcester,28,11,W,home,39,48,Worcester,Exeter,11,28,L,away,-5
59,34,34,2018-09-30,Leicester,Sale,19,15,W,home,34,34,Sale,Leicester,15,19,L,away,0
61,63,52,2018-10-05,Bath,Exeter,24,39,L,home,63,57,Exeter,Bath,39,24,W,away,11
64,45,44,2018-10-06,Harlequins,Saracens,20,25,L,home,45,68,Saracens,Harlequins,25,20,W,away,1
65,38,48,2018-10-06,Northampton,Leicester,15,23,L,home,38,48,Leicester,Northampton,23,15,W,away,-10
67,27,64,2018-10-06,Sale,Newcastle,20,7,W,home,27,64,Newcastle,Sale,7,20,L,away,-37
68,56,34,2018-10-06,Wasps,Gloucester,21,35,L,home,56,34,Gloucester,Wasps,35,21,W,away,22
71,59,20,2018-10-07,Worcester,Bristol,52,7,W,home,59,20,Bristol,Worcester,7,52,L,away,39
73,27,30,2018-11-16,Harlequins,Newcastle,20,7,W,home,27,30,Newcastle,Harlequins,7,20,L,away,-3
75,49,37,2018-11-16,Gloucester,Leicester,36,13,W,home,49,37,Leicester,Gloucester,13,36,L,away,12
76,53,18,2018-11-17,Northampton,Wasps,36,17,W,home,53,18,Wasps,Northampton,17,36,L,away,35
77,41,52,2018-11-17,Bath,Worcester,28,13,W,home,41,52,Worcester,Bath,13,28,L,away,-11
81,56,28,2018-11-17,Saracens,Sale,31,25,W,home,56,55,Sale,Saracens,25,31,L,away,28
83,60,37,2018-11-18,Bristol,Exeter,29,31,L,home,60,37,Exeter,Bristol,31,29,W,away,23
85,33,45,2018-11-23,Worcester,Harlequins,20,13,W,home,33,45,Harlequins,Worcester,13,20,L,away,-12
86,24,36,2018-11-23,Newcastle,Bath,16,8,W,home,24,36,Bath,Newcastle,8,16,L,away,-12
88,29,46,2018-11-24,Exeter,Gloucester,23,6,W,home,29,46,Gloucester,Exeter,6,23,L,away,-17
90,31,33,2018-11-24,Sale,Northampton,18,13,W,home,31,33,Northampton,Sale,13,18,L,away,-2
92,60,58,2018-11-24,Wasps,Bristol,32,28,W,home,60,50,Bristol,Wasps,28,32,L,away,2
95,49,34,2018-11-25,Leicester,Saracens,22,27,L,home,49,42,Saracens,Leicester,27,22,W,away,15
96,54,28,2018-11-30,Harlequins,Exeter,28,26,W,home,54,28,Exeter,Harlequins,26,28,L,away,26
99,52,54,2018-12-01,Gloucester,Worcester,36,16,W,home,52,54,Worcester,Gloucester,16,36,L,away,-2
100,30,46,2018-12-01,Northampton,Newcastle,14,16,L,home,30,29,Newcastle,Northampton,16,14,W,away,-16
103,35,77,2018-12-01,Saracens,Wasps,29,6,W,home,35,77,Wasps,Saracens,6,29,L,away,-42
104,51,46,2018-12-01,Bristol,Leicester,41,10,W,home,51,46,Leicester,Bristol,10,41,L,away,5
106,14,65,2018-12-02,Bath,Sale,7,7,D,home,14,65,Sale,Bath,7,7,D,away,-51
108,38,31,2018-12-21,Worcester,Northampton,6,32,L,home,38,31,Northampton,Worcester,32,6,W,away,7
110,37,62,2018-12-22,Sale,Bristol,27,10,W,home,37,29,Bristol,Sale,10,27,L,away,-25
111,44,36,2018-12-22,Exeter,Saracens,31,13,W,home,44,36,Saracens,Exeter,13,31,L,away,8
112,59,32,2018-12-22,Leicester,Harlequins,35,24,W,home,59,30,Harlequins,Leicester,24,35,L,away,27
117,37,41,2018-12-23,Newcastle,Gloucester,17,20,L,home,37,41,Gloucester,Newcastle,20,17,W,away,-4
118,38,57,2018-12-23,Wasps,Bath,14,24,L,home,38,64,Bath,Wasps,24,14,W,away,-19
121,59,42,2018-12-28,Northampton,Exeter,31,28,W,home,59,42,Exeter,Northampton,28,31,L,away,17
124,42,77,2018-12-29,Saracens,Worcester,25,17,W,home,42,77,Worcester,Saracens,17,25,L,away,-35
125,45,41,2018-12-29,Gloucester,Sale,15,30,L,home,45,36,Sale,Gloucester,30,15,W,away,4
127,33,48,2018-12-29,Harlequins,Wasps,20,13,W,home,33,71,Wasps,Harlequins,13,20,L,away,-15
129,39,57,2018-12-30,Bath,Leicester,23,16,W,home,39,38,Leicester,Bath,16,23,L,away,-18
131,63,48,2018-12-30,Bristol,Newcastle,35,28,W,home,63,48,Newcastle,Bristol,28,35,L,away,15
133,42,24,2019-01-04,Sale,Saracens,24,18,W,home,42,24,Saracens,Sale,18,24,L,away,18
134,23,51,2019-01-05,Exeter,Bristol,14,9,W,home,23,51,Bristol,Exeter,9,14,L,away,-28
136,50,34,2019-01-05,Leicester,Gloucester,34,16,W,home,50,34,Gloucester,Leicester,16,34,L,away,16
139,40,48,2019-01-05,Worcester,Bath,21,19,W,home,40,48,Bath,Worcester,19,21,L,away,-8
140,55,45,2019-01-05,Newcastle,Harlequins,17,38,L,home,55,45,Harlequins,Newcastle,38,17,W,away,10
143,43,53,2019-01-06,Wasps,Northampton,27,16,W,home,43,57,Northampton,Wasps,16,27,L,away,-10
144,41,54,2019-02-15,Gloucester,Exeter,24,17,W,home,41,54,Exeter,Gloucester,17,24,L,away,-13
145,51,50,2019-02-15,Bristol,Wasps,22,29,L,home,51,50,Wasps,Bristol,29,22,W,away,1
148,84,42,2019-02-16,Northampton,Sale,67,17,W,home,84,42,Sale,Northampton,17,67,L,away,42
150,43,47,2019-02-16,Saracens,Leicester,33,10,W,home,43,47,Leicester,Saracens,10,33,L,away,-4
151,43,65,2019-02-16,Bath,Newcastle,30,13,W,home,43,65,Newcastle,Bath,13,30,L,away,-22
155,80,50,2019-02-16,Harlequins,Worcester,47,33,W,home,80,45,Worcester,Harlequins,33,47,L,away,30
157,54,54,2019-02-22,Gloucester,Saracens,30,24,W,home,54,34,Saracens,Gloucester,24,30,L,away,0
160,42,50,2019-02-23,Wasps,Sale,18,24,L,home,42,43,Sale,Wasps,24,18,W,away,-8
162,52,43,2019-02-23,Exeter,Newcastle,35,17,W,home,52,63,Newcastle,Exeter,17,35,L,away,9
163,53,42,2019-02-23,Northampton,Bath,27,26,W,home,53,42,Bath,Northampton,26,27,L,away,11
164,62,45,2019-02-23,Harlequins,Bristol,36,26,W,home,62,50,Bristol,Harlequins,26,36,L,away,17
166,30,40,2019-02-24,Worcester,Leicester,17,13,W,home,30,40,Leicester,Worcester,13,17,L,away,-10
168,52,46,2019-03-01,Bristol,Gloucester,28,24,W,home,52,46,Gloucester,Bristol,24,28,L,away,6
171,33,34,2019-03-02,Leicester,Wasps,19,14,W,home,33,34,Wasps,Leicester,14,19,L,away,-1
172,60,52,2019-03-02,Bath,Harlequins,29,31,L,home,60,27,Harlequins,Bath,31,29,W,away,8
176,34,29,2019-03-02,Sale,Exeter,14,20,L,home,34,29,Exeter,Sale,20,14,W,away,5
177,53,35,2019-03-02,Saracens,Northampton,36,17,W,home,53,54,Northampton,Saracens,17,36,L,away,18
179,23,29,2019-03-03,Newcastle,Worcester,17,6,W,home,23,29,Worcester,Newcastle,6,17,L,away,-6
182,37,47,2019-03-08,Sale,Leicester,32,5,W,home,37,47,Leicester,Sale,5,32,L,away,-10
183,27,52,2019-03-08,Bath,Saracens,18,9,W,home,27,52,Saracens,Bath,9,18,L,away,-25
184,50,67,2019-03-09,Northampton,Bristol,24,26,L,home,50,52,Bristol,Northampton,26,24,W,away,-17
185,63,39,2019-03-09,Worcester,Exeter,30,33,L,home,63,39,Exeter,Worcester,33,30,W,away,24
186,39,17,2019-03-09,Wasps,Newcastle,19,20,L,home,39,43,Newcastle,Wasps,20,19,W,away,22
190,36,70,2019-03-10,Harlequins,Gloucester,7,29,L,home,36,25,Gloucester,Harlequins,29,7,W,away,-34
193,44,34,2019-03-22,Leicester,Northampton,15,29,L,home,44,34,Northampton,Leicester,29,15,W,away,10
194,52,46,2019-03-23,Bristol,Worcester,25,27,L,home,52,46,Worcester,Bristol,27,25,W,away,6
196,41,57,2019-03-23,Gloucester,Wasps,27,14,W,home,41,41,Wasps,Gloucester,14,27,L,away,-16
197,47,35,2019-03-23,Saracens,Harlequins,27,20,W,home,47,35,Harlequins,Saracens,20,27,L,away,12
199,39,47,2019-03-23,Newcastle,Sale,22,17,W,home,39,47,Sale,Newcastle,17,22,L,away,-8
