,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,result_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,result_y,teamType_y,points_difference_in_predictions
0,49,69,2017-09-01,Gloucester,Exeter,28,21,W,home,49,69,Exeter,Gloucester,21,28,L,away,-20
1,43,27,2017-09-01,Newcastle,Worcester,35,8,W,home,43,27,Worcester,Newcastle,8,35,L,away,16
4,79,48,2017-09-02,Saracens,Northampton,55,24,W,home,79,48,Northampton,Saracens,24,55,L,away,31
5,85,45,2017-09-02,Wasps,Sale,50,35,W,home,85,45,Sale,Wasps,35,50,L,away,40
7,68,48,2017-09-02,London Irish,Harlequins,39,29,W,home,68,48,Harlequins,London Irish,29,39,L,away,20
11,50,48,2017-09-03,Leicester,Bath,23,27,L,home,50,48,Bath,Leicester,27,23,W,away,2
13,25,29,2017-09-08,Sale,Newcastle,12,13,L,home,25,29,Newcastle,Sale,13,12,W,away,-4
15,45,27,2017-09-09,Harlequins,Gloucester,28,17,W,home,45,27,Gloucester,Harlequins,17,28,L,away,18
16,52,63,2017-09-09,Bath,Saracens,31,21,W,home,52,63,Saracens,Bath,21,31,L,away,-11
17,35,39,2017-09-09,Northampton,Leicester,24,11,W,home,35,39,Leicester,Northampton,11,24,L,away,-4
19,44,61,2017-09-09,Exeter,London Irish,37,7,W,home,44,61,London Irish,Exeter,7,37,L,away,-17
22,34,38,2017-09-10,Worcester,Wasps,10,24,L,home,34,46,Wasps,Worcester,24,10,W,away,-4
25,43,29,2017-09-15,Sale,London Irish,36,7,W,home,43,29,London Irish,Sale,7,36,L,away,14
27,51,68,2017-09-15,Worcester,Exeter,10,41,L,home,51,45,Exeter,Worcester,41,10,W,away,-17
29,30,32,2017-09-15,Northampton,Bath,24,6,W,home,30,32,Bath,Northampton,6,24,L,away,-2
31,34,48,2017-09-16,Leicester,Gloucester,24,10,W,home,34,56,Gloucester,Leicester,10,24,L,away,-14
32,36,39,2017-09-16,Newcastle,Saracens,7,29,L,home,36,39,Saracens,Newcastle,29,7,W,away,-3
34,45,45,2017-09-17,Wasps,Harlequins,21,24,L,home,45,45,Harlequins,Wasps,24,21,W,away,0
36,43,31,2017-09-22,Gloucester,Worcester,24,19,W,home,43,31,Worcester,Gloucester,19,24,L,away,12
