,date,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,day,month,season,avgLast5ScoresTeam1,avgLast5ScoresAgainstTeam1,avgLast5ScoresTeam2,avgLast5ScoresAgainstTeam2,avgLast5BpsTeam1,avgLast5BpsAgainstTeam1,avgLast5BpsTeam2,avgLast5BpsAgainstTeam2,avgLast5TriesTeam1,avgLast5ConversionsTeam1,avgLast5PenaltiesTeam1,avgLast5DropGoalsTeam1,avgLast5TriesAgainstTeam1,avgLast5ConversionsAgainstTeam1,avgLast5PenaltiesAgainstTeam1,avgLast5DropGoalsAgainstTeam1,avgLast5TriesTeam2,avgLast5ConversionsTeam2,avgLast5PenaltiesTeam2,avgLast5DropGoalsTeam2,avgLast5TriesAgainstTeam2,avgLast5ConversionsAgainstTeam2,avgLast5PenaltiesAgainstTeam2,avgLast5DropGoalsAgainstTeam2,targetCode,wonLastGameTeam1,wonLastGameTeam2,team1LastSeasonStanding,team2LastSeasonStanding
1041,2014-11-15,London Irish,8,Sale,36,AJ Bell Stadium,away,Matthew Carley,44,L,Sat,Nov,2014-15,22.0,27.2,25.4,27.8,0.6,0.6,0.6,0.4,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,0,0.0,0,10,6
810,2014-11-15,Bath,23,Newcastle,14,The Recreation Ground,home,Ian Tempest,37,W,Sat,Nov,2014-15,33.0,19.4,19.6,23.4,0.8,0.4,0.2,0.6,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,1,0.0,1,5,11
1,2014-11-15,Newcastle,14,Bath,23,The Recreation Ground,away,Ian Tempest,37,L,Sat,Nov,2014-15,19.6,23.4,33.0,19.4,0.2,0.6,0.8,0.4,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,0,1.0,0,11,5
710,2014-11-15,Sale,36,London Irish,8,AJ Bell Stadium,home,Matthew Carley,44,W,Sat,Nov,2014-15,25.4,27.8,22.0,27.2,0.6,0.4,0.6,0.6,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,1,0.0,0,6,10
793,2014-11-16,Wasps,71,London Welsh,7,Adams Park,home,Thomas Foley,78,W,Sun,Nov,2014-15,24.2,21.4,9.4,44.0,0.4,0.4,0.2,0.8,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,1,1.0,0,7,13
1166,2014-11-16,Leicester,21,Saracens,21,Welford Road,home,Tim Wigglesworth,42,D,Sun,Nov,2014-15,16.2,27.2,30.8,18.6,0.2,0.6,0.2,0.6,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,0,1.0,1,3,1
580,2014-11-16,Saracens,21,Leicester,21,Welford Road,away,Tim Wigglesworth,42,D,Sun,Nov,2014-15,30.8,18.6,16.2,27.2,0.2,0.6,0.2,0.6,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,0,1.0,1,1,3
1300,2014-11-16,London Welsh,7,Wasps,71,Adams Park,away,Thomas Foley,78,L,Sun,Nov,2014-15,9.4,44.0,24.2,21.4,0.2,0.8,0.4,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,0,0.0,1,13,7
455,2014-11-21,Sale,16,Harlequins,12,Twickenham Stoop,away,Thomas Foley,28,W,Fri,Nov,2014-15,27.2,22.6,25.8,19.2,0.4,0.4,0.4,0.4,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,1,1.0,1,6,4
1042,2014-11-21,Harlequins,12,Sale,16,Twickenham Stoop,home,Thomas Foley,28,L,Fri,Nov,2014-15,25.8,19.2,27.2,22.6,0.4,0.4,0.4,0.4,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,0,1.0,1,4,6
811,2014-11-21,Gloucester,10,Newcastle,20,Kingston Park,away,Tim Wigglesworth,30,L,Fri,Nov,2014-15,27.4,20.2,18.8,24.0,0.8,0.0,0.0,0.6,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,0,0.0,0,9,11
329,2014-11-21,Newcastle,20,Gloucester,10,Kingston Park,home,Tim Wigglesworth,30,W,Fri,Nov,2014-15,18.8,24.0,27.4,20.2,0.0,0.6,0.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,1,0.0,0,11,9
2,2014-11-22,London Irish,23,Bath,33,Madejski Stadium,home,Andrew Small,56,L,Sat,Nov,2014-15,19.6,30.8,27.0,17.0,0.6,0.6,0.6,0.2,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,0,0.0,1,10,5
711,2014-11-22,Bath,33,London Irish,23,Madejski Stadium,away,Andrew Small,56,W,Sat,Nov,2014-15,27.0,17.0,19.6,30.8,0.6,0.2,0.6,0.6,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,1,1.0,0,5,10
