,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,0,0,2016-09-02,Gloucester,Leicester,31,38,69,L,2.11,1.78,home,1,1,Leicester,Gloucester,38,31,69,W,1.78,2.11,away,True,True,True,1,7,10,17.8
1,1,0,2016-09-02,Newcastle,Sale,19,17,36,W,2.15,1.75,home,0,1,Sale,Newcastle,17,19,36,L,1.75,2.15,away,False,True,False,1,2,10,0.0
4,1,1,2016-09-03,Saracens,Worcester,35,3,38,W,1.03,12.49,home,0,0,Worcester,Saracens,3,35,38,L,12.49,1.03,away,True,True,True,1,32,10,10.3
6,0,1,2016-09-03,Northampton,Bath,14,18,32,L,1.4,3.09,home,1,0,Bath,Northampton,18,14,32,W,3.09,1.4,away,False,True,False,1,4,10,0.0
8,1,1,2016-09-04,Wasps,Exeter,25,20,45,W,1.63,2.36,home,0,0,Exeter,Wasps,20,25,45,L,2.36,1.63,away,True,True,True,2,5,5,8.149999999999999
12,1,1,2016-09-09,Sale,Harlequins,19,10,29,W,1.77,2.13,home,0,0,Harlequins,Sale,10,19,29,L,2.13,1.77,away,True,True,True,1,9,10,17.7
13,0,0,2016-09-09,Worcester,Gloucester,23,23,46,D,2.37,1.62,home,0,1,Gloucester,Worcester,23,23,46,D,1.62,2.37,away,False,True,False,1,0,10,0.0
16,1,1,2016-09-10,Bath,Newcastle,58,5,63,W,1.14,5.85,home,0,0,Newcastle,Bath,5,58,63,L,5.85,1.14,away,True,True,True,1,53,10,11.399999999999999
17,0,1,2016-09-10,Leicester,Wasps,22,34,56,L,1.47,2.86,home,1,0,Wasps,Leicester,34,22,56,W,2.86,1.47,away,False,True,False,1,12,10,0.0
19,0,0,2016-09-11,Exeter,Saracens,13,34,47,L,2.21,1.71,home,1,1,Saracens,Exeter,34,13,47,W,1.71,2.21,away,True,True,True,2,21,5,8.55
21,0,1,2016-09-16,Sale,Gloucester,13,26,39,L,1.54,2.58,home,1,0,Gloucester,Sale,26,13,39,W,2.58,1.54,away,False,True,False,1,13,10,0.0
22,1,1,2016-09-17,Saracens,Northampton,27,12,39,W,1.15,5.5,home,0,0,Northampton,Saracens,12,27,39,L,5.5,1.15,away,True,True,True,1,15,10,11.5
26,1,1,2016-09-17,Exeter,Harlequins,36,25,61,W,1.19,4.9,home,0,0,Harlequins,Exeter,25,36,61,L,4.9,1.19,away,True,True,True,1,11,10,11.899999999999999
27,1,1,2016-09-17,Bath,Worcester,37,22,59,W,1.07,8.71,home,0,0,Worcester,Bath,22,37,59,L,8.71,1.07,away,True,True,True,1,15,10,10.700000000000001
28,0,0,2016-09-18,Newcastle,Leicester,13,14,27,L,3.59,1.31,home,1,1,Leicester,Newcastle,14,13,27,W,1.31,3.59,away,True,True,True,1,1,10,13.100000000000001
30,0,1,2016-09-24,Gloucester,Newcastle,13,18,31,L,1.16,5.58,home,1,0,Newcastle,Gloucester,18,13,31,W,5.58,1.16,away,False,True,False,1,5,10,0.0
31,0,0,2016-09-24,Worcester,Sale,34,34,68,D,1.7,2.23,home,0,1,Sale,Worcester,34,34,68,D,2.23,1.7,away,False,True,False,1,0,10,0.0
34,0,1,2016-09-24,Northampton,Wasps,15,20,35,L,1.69,2.23,home,1,0,Wasps,Northampton,20,15,35,W,2.23,1.69,away,False,True,False,1,5,10,0.0
35,1,0,2016-09-24,Harlequins,Saracens,17,10,27,W,3.73,1.29,home,0,1,Saracens,Harlequins,10,17,27,L,1.29,3.73,away,False,True,False,1,7,10,0.0
39,1,1,2016-09-25,Leicester,Bath,34,14,48,W,1.56,2.52,home,0,0,Bath,Leicester,14,34,48,L,2.52,1.56,away,True,True,True,2,20,5,7.800000000000001
41,1,1,2016-09-30,Northampton,Exeter,20,19,39,W,1.56,2.55,home,0,0,Exeter,Northampton,19,20,39,L,2.55,1.56,away,True,True,True,2,1,5,7.800000000000001
44,0,1,2016-10-01,Gloucester,Bath,6,15,21,L,1.83,2.06,home,1,0,Bath,Gloucester,15,6,21,W,2.06,1.83,away,False,True,False,1,9,10,0.0
45,1,1,2016-10-01,Sale,Leicester,34,30,64,W,2.19,1.72,home,0,0,Leicester,Sale,30,34,64,L,1.72,2.19,away,True,True,False,1,4,10,21.9
46,1,1,2016-10-02,Worcester,Newcastle,11,9,20,W,1.61,2.4,home,0,0,Newcastle,Worcester,9,11,20,L,2.4,1.61,away,True,True,True,2,2,5,8.05
47,1,1,2016-10-02,Wasps,Harlequins,47,18,65,W,1.15,5.59,home,0,0,Harlequins,Wasps,18,47,65,L,5.59,1.15,away,True,True,True,1,29,10,11.5
51,1,1,2016-10-07,Bath,Sale,30,3,33,W,1.22,4.42,home,0,0,Sale,Bath,3,30,33,L,4.42,1.22,away,True,True,True,1,27,10,12.2
54,1,0,2016-10-08,Harlequins,Northampton,20,9,29,W,1.68,2.26,home,0,1,Northampton,Harlequins,9,20,29,L,2.26,1.68,away,False,True,True,1,11,10,0.0
55,1,1,2016-10-08,Leicester,Worcester,34,13,47,W,1.1,7.06,home,0,0,Worcester,Leicester,13,34,47,L,7.06,1.1,away,True,True,True,1,21,10,11.0
57,1,1,2016-10-08,Newcastle,Bristol,19,14,33,W,1.21,4.52,home,0,0,Bristol,Newcastle,14,19,33,L,4.52,1.21,away,True,True,True,1,5,10,12.1
