,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,1,1,2022-09-10,London Irish,Worcester,45,14,59,W,1.13,6.0,home,0,0,Worcester,London Irish,14,45,59,L,6.0,1.13,away,True,True,True,1,31,10,11.299999999999999
1,1,1,2022-09-10,Bristol,Bath,31,29,60,W,1.24,4.04,home,0,0,Bath,Bristol,29,31,60,L,4.04,1.24,away,True,True,True,1,2,10,12.4
5,1,0,2022-09-10,Exeter,Leicester,24,20,44,W,2.06,1.8,home,0,1,Leicester,Exeter,20,24,44,L,1.8,2.06,away,False,True,False,1,4,10,0.0
7,0,0,2022-09-10,Newcastle,Harlequins,31,40,71,L,2.92,1.42,home,1,1,Harlequins,Newcastle,40,31,71,W,1.42,2.92,away,True,True,True,1,9,10,14.2
8,1,1,2022-09-11,Sale,Northampton,29,22,51,W,1.4,3.01,home,0,0,Northampton,Sale,22,29,51,L,3.01,1.4,away,True,True,True,1,7,10,14.0
11,1,1,2022-09-11,Gloucester,Wasps,27,21,48,W,1.36,3.16,home,0,0,Wasps,Gloucester,21,27,48,L,3.16,1.36,away,True,True,True,1,6,10,13.600000000000001
12,0,0,2022-09-17,Bath,Sale,20,37,57,L,1.99,1.83,home,1,1,Sale,Bath,37,20,57,W,1.83,1.99,away,True,True,True,1,17,10,18.3
13,0,0,2022-09-17,Harlequins,Saracens,27,30,57,L,2.62,1.5,home,1,1,Saracens,Harlequins,30,27,57,W,1.5,2.62,away,True,True,True,1,3,10,15.0
17,0,1,2022-09-17,Wasps,Bristol,8,23,31,L,1.52,2.59,home,1,0,Bristol,Wasps,23,8,31,W,2.59,1.52,away,False,True,False,1,15,10,0.0
19,1,1,2022-09-17,Leicester,Newcastle,36,21,57,W,1.05,9.0,home,0,0,Newcastle,Leicester,21,36,57,L,9.0,1.05,away,True,True,True,1,15,10,10.5
20,1,1,2022-09-17,Northampton,London Irish,38,22,60,W,1.42,2.89,home,0,0,London Irish,Northampton,22,38,60,L,2.89,1.42,away,True,True,True,1,16,10,14.2
23,0,0,2022-09-18,Worcester,Exeter,21,36,57,L,5.62,1.13,home,1,1,Exeter,Worcester,36,21,57,W,1.13,5.62,away,True,True,True,1,15,10,11.299999999999999
24,0,1,2022-09-23,Bath,Wasps,31,39,70,L,1.82,2.01,home,1,0,Wasps,Bath,39,31,70,W,2.01,1.82,away,False,True,False,2,8,5,0.0
27,1,1,2022-09-24,Saracens,Gloucester,41,39,80,W,1.21,4.3,home,0,0,Gloucester,Saracens,39,41,80,L,4.3,1.21,away,True,True,True,1,2,10,12.1
29,0,0,2022-09-24,Northampton,Leicester,21,41,62,L,1.82,2.03,home,1,1,Leicester,Northampton,41,21,62,W,2.03,1.82,away,True,True,False,1,20,10,20.299999999999997
31,1,1,2022-09-24,Worcester,Newcastle,39,5,44,W,1.74,2.14,home,0,0,Newcastle,Worcester,5,39,44,L,2.14,1.74,away,True,True,True,1,34,10,17.4
32,1,1,2022-09-24,Bristol,London Irish,40,36,76,W,1.31,3.47,home,0,0,London Irish,Bristol,36,40,76,L,3.47,1.31,away,True,True,True,1,4,10,13.100000000000001
35,1,1,2022-09-25,Exeter,Harlequins,43,42,85,W,1.29,3.65,home,0,0,Harlequins,Exeter,42,43,85,L,3.65,1.29,away,True,True,True,1,1,10,12.9
36,1,0,2022-09-30,Newcastle,Bristol,30,15,45,W,2.4,1.59,home,0,1,Bristol,Newcastle,15,30,45,L,1.59,2.4,away,False,True,False,1,15,10,0.0
38,1,1,2022-10-01,London Irish,Bath,47,38,85,W,1.29,3.58,home,0,0,Bath,London Irish,38,47,85,L,3.58,1.29,away,True,True,True,1,9,10,12.9
42,1,1,2022-10-01,Saracens,Leicester,51,18,69,W,1.42,2.89,home,0,0,Leicester,Saracens,18,51,69,L,2.89,1.42,away,True,True,True,1,33,10,14.2
43,1,1,2022-10-01,Sale,Exeter,28,20,48,W,1.61,2.34,home,0,0,Exeter,Sale,20,28,48,L,2.34,1.61,away,True,True,True,1,8,10,16.1
44,1,1,2022-10-02,Harlequins,Northampton,35,29,64,W,1.45,2.78,home,0,0,Northampton,Harlequins,29,35,64,L,2.78,1.45,away,True,True,True,1,6,10,14.5
47,0,0,2022-10-07,Bristol,Exeter,14,50,64,L,2.02,1.82,home,1,1,Exeter,Bristol,50,14,64,W,1.82,2.02,away,True,True,True,1,36,10,18.2
49,0,1,2022-10-08,Leicester,Sale,16,26,42,L,1.33,3.34,home,1,0,Sale,Leicester,26,16,42,W,3.34,1.33,away,False,True,False,1,10,10,0.0
50,0,0,2022-10-08,Bath,Gloucester,17,21,38,L,3.28,1.34,home,1,1,Gloucester,Bath,21,17,38,W,1.34,3.28,away,True,True,True,1,4,10,13.4
52,0,0,2022-10-09,Wasps,Northampton,36,40,76,L,1.87,1.95,home,1,1,Northampton,Wasps,40,36,76,W,1.95,1.87,away,True,True,False,1,4,10,19.5
53,0,0,2022-10-09,Newcastle,Saracens,14,34,48,L,3.86,1.26,home,1,1,Saracens,Newcastle,34,14,48,W,1.26,3.86,away,True,True,True,1,20,10,12.6
56,1,1,2022-10-14,Sale,London Irish,37,14,51,W,1.18,4.8,home,0,0,London Irish,Sale,14,37,51,L,4.8,1.18,away,True,True,True,1,23,10,11.799999999999999
61,1,1,2022-10-15,Saracens,Bath,37,31,68,W,1.04,10.08,home,0,0,Bath,Saracens,31,37,68,L,10.08,1.04,away,True,True,True,1,6,10,10.4
