,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,1,1,2019-10-18,Bristol,Bath,43,16,59,W,1.33,3.51,home,0,0,Bath,Bristol,16,43,59,L,3.51,1.33,away,True,True,True,1,27,10,13.3
4,0,1,2019-10-19,Saracens,Northampton,25,27,52,L,1.1,6.8,home,1,0,Northampton,Saracens,27,25,52,W,6.8,1.1,away,False,True,False,1,2,10,0.0
5,0,1,2019-10-19,Sale,Gloucester,16,18,34,L,1.45,2.85,home,1,0,Gloucester,Sale,18,16,34,W,2.85,1.45,away,False,True,False,1,2,10,0.0
6,1,1,2019-10-19,Exeter,Harlequins,22,19,41,W,1.24,4.22,home,0,0,Harlequins,Exeter,19,22,41,L,4.22,1.24,away,True,True,True,1,3,10,12.4
8,1,1,2019-10-19,Worcester,Leicester,24,16,40,W,1.37,3.22,home,0,0,Leicester,Worcester,16,24,40,L,3.22,1.37,away,True,True,True,1,8,10,13.700000000000001
11,0,1,2019-10-20,Wasps,London Irish,26,29,55,L,1.11,6.46,home,1,0,London Irish,Wasps,29,26,55,W,6.46,1.11,away,False,True,False,1,3,10,0.0
12,1,0,2019-10-25,Bath,Exeter,13,10,23,W,2.96,1.42,home,0,1,Exeter,Bath,10,13,23,L,1.42,2.96,away,False,True,False,1,3,10,0.0
14,1,1,2019-10-26,Northampton,Worcester,35,16,51,W,1.22,4.39,home,0,0,Worcester,Northampton,16,35,51,L,4.39,1.22,away,True,True,True,1,19,10,12.2
15,0,0,2019-10-26,London Irish,Sale,7,41,48,L,2.97,1.43,home,1,1,Sale,London Irish,41,7,48,W,1.43,2.97,away,True,True,True,1,34,10,14.299999999999999
16,1,1,2019-10-26,Gloucester,Wasps,25,9,34,W,1.2,4.67,home,0,0,Wasps,Gloucester,9,25,34,L,4.67,1.2,away,True,True,True,1,16,10,12.0
17,1,1,2019-10-26,Harlequins,Bristol,22,17,39,W,1.4,3.04,home,0,0,Bristol,Harlequins,17,22,39,L,3.04,1.4,away,True,True,True,1,5,10,14.0
23,0,0,2019-10-27,Leicester,Saracens,10,24,34,L,2.73,1.49,home,1,1,Saracens,Leicester,24,10,34,W,1.49,2.73,away,True,True,True,1,14,10,14.9
24,1,1,2019-11-01,Bristol,Sale,16,10,26,W,1.57,2.54,home,0,0,Sale,Bristol,10,16,26,L,2.54,1.57,away,True,True,True,1,6,10,15.700000000000001
25,1,1,2019-11-01,Northampton,Harlequins,40,22,62,W,1.45,2.87,home,0,0,Harlequins,Northampton,22,40,62,L,2.87,1.45,away,True,True,True,1,18,10,14.5
28,1,1,2019-11-02,Wasps,Bath,30,22,52,W,1.46,2.82,home,0,0,Bath,Wasps,22,30,52,L,2.82,1.46,away,True,True,True,1,8,10,14.6
32,1,1,2019-11-02,Saracens,London Irish,16,13,29,W,1.06,8.56,home,0,0,London Irish,Saracens,13,16,29,L,8.56,1.06,away,True,True,True,1,3,10,10.600000000000001
33,1,0,2019-11-02,Leicester,Gloucester,16,13,29,W,3.22,1.38,home,0,1,Gloucester,Leicester,13,16,29,L,1.38,3.22,away,False,True,False,1,3,10,0.0
35,0,0,2019-11-03,Worcester,Exeter,20,24,44,L,3.71,1.29,home,1,1,Exeter,Worcester,24,20,44,W,1.29,3.71,away,True,True,True,1,4,10,12.9
36,1,1,2019-11-08,Sale,Wasps,28,18,46,W,1.24,4.12,home,0,0,Wasps,Sale,18,28,46,L,4.12,1.24,away,True,True,True,1,10,10,12.4
38,0,1,2019-11-09,Harlequins,Worcester,14,19,33,L,1.22,4.46,home,1,0,Worcester,Harlequins,19,14,33,W,4.46,1.22,away,False,True,False,1,5,10,0.0
39,0,1,2019-11-09,Gloucester,Saracens,12,21,33,L,1.35,3.33,home,1,0,Saracens,Gloucester,21,12,33,W,3.33,1.35,away,False,True,False,1,9,10,0.0
42,1,1,2019-11-09,Bath,Northampton,22,13,35,W,1.84,2.03,home,0,0,Northampton,Bath,13,22,35,L,2.03,1.84,away,True,True,True,1,9,10,18.400000000000002
45,1,1,2019-11-10,London Irish,Leicester,36,11,47,W,1.67,2.28,home,0,0,Leicester,London Irish,11,36,47,L,2.28,1.67,away,True,True,True,2,25,5,8.35
47,0,1,2019-11-10,Exeter,Bristol,17,20,37,L,1.17,5.1,home,1,0,Bristol,Exeter,20,17,37,W,5.1,1.17,away,False,True,False,1,3,10,0.0
48,0,0,2019-11-29,Bath,Saracens,12,25,37,L,4.89,1.19,home,1,1,Saracens,Bath,25,12,37,W,1.19,4.89,away,True,True,True,1,13,10,11.899999999999999
51,1,1,2019-11-30,Exeter,Wasps,38,3,41,W,1.09,7.32,home,0,0,Wasps,Exeter,3,38,41,L,7.32,1.09,away,True,True,True,1,35,10,10.9
53,1,1,2019-11-30,Northampton,Leicester,36,13,49,W,1.48,2.77,home,0,0,Leicester,Northampton,13,36,49,L,2.77,1.48,away,True,True,True,1,23,10,14.8
54,1,0,2019-11-30,Worcester,Sale,20,13,33,W,2.25,1.69,home,0,1,Sale,Worcester,13,20,33,L,1.69,2.25,away,False,True,False,2,7,5,0.0
56,1,1,2019-12-01,Harlequins,Gloucester,23,19,42,W,1.73,2.18,home,0,0,Gloucester,Harlequins,19,23,42,L,2.18,1.73,away,True,True,True,1,4,10,17.3
58,0,1,2019-12-01,Bristol,London Irish,27,27,54,D,1.14,5.57,home,0,0,London Irish,Bristol,27,27,54,D,5.57,1.14,away,False,True,False,1,0,10,0.0
61,1,1,2019-12-20,Gloucester,Worcester,36,3,39,W,1.22,4.36,home,0,0,Worcester,Gloucester,3,36,39,L,4.36,1.22,away,True,True,True,1,33,10,12.2
62,0,0,2019-12-21,Leicester,Exeter,22,31,53,L,2.49,1.58,home,1,1,Exeter,Leicester,31,22,53,W,1.58,2.49,away,True,True,True,1,9,10,15.8
63,1,1,2019-12-21,Sale,Northampton,22,10,32,W,1.62,2.36,home,0,0,Northampton,Sale,10,22,32,L,2.36,1.62,away,True,True,True,1,12,10,16.200000000000003
67,1,1,2019-12-21,Saracens,Bristol,47,13,60,W,1.07,7.97,home,0,0,Bristol,Saracens,13,47,60,L,7.97,1.07,away,True,True,True,1,34,10,10.700000000000001
68,0,1,2019-12-21,Wasps,Harlequins,22,28,50,L,1.73,2.16,home,1,0,Harlequins,Wasps,28,22,50,W,2.16,1.73,away,False,True,False,1,6,10,0.0
71,0,0,2019-12-22,London Irish,Bath,10,38,48,L,1.95,1.91,home,1,1,Bath,London Irish,38,10,48,W,1.91,1.95,away,True,True,True,1,28,10,19.099999999999998
73,0,1,2019-12-27,Bristol,Wasps,21,26,47,L,1.22,4.38,home,1,0,Wasps,Bristol,26,21,47,W,4.38,1.22,away,False,True,False,1,5,10,0.0
74,1,1,2019-12-28,Northampton,Gloucester,33,26,59,W,1.43,2.88,home,0,0,Gloucester,Northampton,26,33,59,L,2.88,1.43,away,True,True,True,1,7,10,14.299999999999999
75,1,1,2019-12-28,Worcester,London Irish,20,6,26,W,1.36,3.24,home,0,0,London Irish,Worcester,6,20,26,L,3.24,1.36,away,True,True,True,1,14,10,13.600000000000001
76,0,1,2019-12-28,Harlequins,Leicester,30,30,60,D,1.54,2.56,home,0,0,Leicester,Harlequins,30,30,60,D,2.56,1.54,away,False,True,False,1,0,10,0.0
81,1,1,2019-12-28,Bath,Sale,16,14,30,W,1.59,2.43,home,0,0,Sale,Bath,14,16,30,L,2.43,1.59,away,True,True,True,2,2,5,7.95
82,1,1,2019-12-29,Exeter,Saracens,14,7,21,W,2.19,1.72,home,0,0,Saracens,Exeter,7,14,21,L,1.72,2.19,away,True,True,False,1,7,10,21.9
85,1,1,2020-01-03,Sale,Harlequins,48,10,58,W,1.29,3.73,home,0,0,Harlequins,Sale,10,48,58,L,3.73,1.29,away,True,True,True,1,38,10,12.9
88,1,1,2020-01-04,Gloucester,Bath,29,15,44,W,1.56,2.51,home,0,0,Bath,Gloucester,15,29,44,L,2.51,1.56,away,True,True,True,2,14,5,7.800000000000001
89,1,1,2020-01-04,Leicester,Bristol,31,18,49,W,1.47,2.8,home,0,0,Bristol,Leicester,18,31,49,L,2.8,1.47,away,True,True,True,1,13,10,14.7
91,1,1,2020-01-04,Saracens,Worcester,62,5,67,W,1.01,14.64,home,0,0,Worcester,Saracens,5,62,67,L,14.64,1.01,away,True,True,True,1,57,10,10.1
94,0,0,2020-01-05,London Irish,Exeter,28,45,73,L,6.17,1.12,home,1,1,Exeter,London Irish,45,28,73,W,1.12,6.17,away,True,True,True,1,17,10,11.200000000000001
95,0,0,2020-01-05,Wasps,Northampton,31,35,66,L,2.28,1.65,home,1,1,Northampton,Wasps,35,31,66,W,1.65,2.28,away,True,True,True,2,4,5,8.25
97,0,1,2020-01-24,Northampton,London Irish,16,20,36,L,1.12,6.1,home,1,0,London Irish,Northampton,20,16,36,W,6.1,1.12,away,False,True,False,1,4,10,0.0
98,1,1,2020-01-25,Bath,Leicester,13,10,23,W,1.43,2.92,home,0,0,Leicester,Bath,10,13,23,L,2.92,1.43,away,True,True,True,1,3,10,14.299999999999999
100,1,1,2020-01-25,Bristol,Gloucester,34,16,50,W,1.89,1.96,home,0,0,Gloucester,Bristol,16,34,50,L,1.96,1.89,away,True,True,True,1,18,10,18.9
101,0,1,2020-01-25,Worcester,Wasps,26,30,56,L,1.72,2.19,home,1,0,Wasps,Worcester,30,26,56,W,2.19,1.72,away,False,True,False,2,4,5,0.0
103,0,1,2020-01-25,Exeter,Sale,19,22,41,L,1.33,3.39,home,1,0,Sale,Exeter,22,19,41,W,3.39,1.33,away,False,True,False,1,3,10,0.0
106,1,1,2020-01-26,Harlequins,Saracens,41,14,55,W,1.5,2.74,home,0,0,Saracens,Harlequins,14,41,55,L,2.74,1.5,away,True,True,True,1,27,10,15.0
109,0,1,2020-02-14,Gloucester,Exeter,15,26,41,L,1.74,2.15,home,1,0,Exeter,Gloucester,26,15,41,W,2.15,1.74,away,False,True,False,1,11,10,0.0
110,0,1,2020-02-15,Worcester,Bath,21,22,43,L,2.06,1.82,home,1,0,Bath,Worcester,22,21,43,W,1.82,2.06,away,False,True,True,1,1,10,0.0
111,1,1,2020-02-15,Leicester,Wasps,18,9,27,W,1.54,2.59,home,0,0,Wasps,Leicester,9,18,27,L,2.59,1.54,away,True,True,True,1,9,10,15.4
114,0,1,2020-02-15,Harlequins,London Irish,15,29,44,L,1.33,3.49,home,1,0,London Irish,Harlequins,29,15,44,W,3.49,1.33,away,False,True,False,1,14,10,0.0
116,1,1,2020-02-15,Saracens,Sale,36,22,58,W,2.28,1.69,home,0,0,Sale,Saracens,22,36,58,L,1.69,2.28,away,True,True,False,1,14,10,22.799999999999997
118,0,1,2020-02-16,Northampton,Bristol,14,20,34,L,1.48,2.78,home,1,0,Bristol,Northampton,20,14,34,W,2.78,1.48,away,False,True,False,1,6,10,0.0
120,1,1,2020-02-21,Wasps,Saracens,60,10,70,W,1.9,1.96,home,0,0,Saracens,Wasps,10,60,70,L,1.96,1.9,away,True,True,True,2,50,5,9.5
122,1,1,2020-02-21,Sale,Leicester,36,3,39,W,1.11,6.6,home,0,0,Leicester,Sale,3,36,39,L,6.6,1.11,away,True,True,True,1,33,10,11.100000000000001
126,1,1,2020-02-22,Bath,Harlequins,19,12,31,W,1.53,2.59,home,0,0,Harlequins,Bath,12,19,31,L,2.59,1.53,away,True,True,True,1,7,10,15.3
127,1,0,2020-02-22,London Irish,Gloucester,24,20,44,W,1.79,2.05,home,0,1,Gloucester,London Irish,20,24,44,L,2.05,1.79,away,False,True,True,1,4,10,0.0
128,1,1,2020-02-23,Exeter,Northampton,57,7,64,W,1.13,5.91,home,0,0,Northampton,Exeter,7,57,64,L,5.91,1.13,away,True,True,True,1,50,10,11.299999999999999
130,1,1,2020-02-23,Bristol,Worcester,13,10,23,W,1.2,4.62,home,0,0,Worcester,Bristol,10,13,23,L,4.62,1.2,away,True,True,True,1,3,10,12.0
133,0,1,2020-02-28,Gloucester,Sale,17,23,40,L,1.57,2.5,home,1,0,Sale,Gloucester,23,17,40,W,2.5,1.57,away,False,True,False,1,6,10,0.0
134,1,0,2020-02-29,Harlequins,Exeter,34,30,64,W,3.13,1.37,home,0,1,Exeter,Harlequins,30,34,64,L,1.37,3.13,away,False,True,False,1,4,10,0.0
