,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,1,0,2018-08-31,Bristol,Bath,17,10,27,W,3.2,1.37,home,0,1,Bath,Bristol,10,17,27,L,1.37,3.2,away,False,True,False,1,7,10,0.0
3,0,0,2018-09-01,Worcester,Wasps,20,21,41,L,2.35,1.64,home,1,1,Wasps,Worcester,21,20,41,W,1.64,2.35,away,True,True,True,1,1,10,16.4
4,1,1,2018-09-01,Exeter,Leicester,40,6,46,W,1.28,3.8,home,0,0,Leicester,Exeter,6,40,46,L,3.8,1.28,away,True,True,True,1,34,10,12.8
5,1,1,2018-09-01,Gloucester,Northampton,27,16,43,W,1.4,3.02,home,0,0,Northampton,Gloucester,16,27,43,L,3.02,1.4,away,True,True,True,1,11,10,14.0
8,1,0,2018-09-01,Harlequins,Sale,51,23,74,W,1.54,2.55,home,0,1,Sale,Harlequins,23,51,74,L,2.55,1.54,away,False,True,True,1,28,10,0.0
11,0,0,2018-09-02,Newcastle,Saracens,21,32,53,L,3.83,1.28,home,1,1,Saracens,Newcastle,32,21,53,W,1.28,3.83,away,True,True,True,1,11,10,12.8
13,1,1,2018-09-07,Northampton,Harlequins,25,18,43,W,1.38,3.14,home,0,0,Harlequins,Northampton,18,25,43,L,3.14,1.38,away,True,True,True,1,7,10,13.799999999999999
15,0,0,2018-09-08,Bath,Gloucester,31,31,62,D,1.72,2.19,home,0,1,Gloucester,Bath,31,31,62,D,2.19,1.72,away,False,True,False,1,0,10,0.0
16,1,1,2018-09-08,Leicester,Newcastle,49,33,82,W,1.37,3.19,home,0,0,Newcastle,Leicester,33,49,82,L,3.19,1.37,away,True,True,True,1,16,10,13.700000000000001
17,0,1,2018-09-08,Wasps,Exeter,31,42,73,L,2.5,1.56,home,1,0,Exeter,Wasps,42,31,73,W,1.56,2.5,away,False,True,True,1,11,10,0.0
18,1,1,2018-09-08,Saracens,Bristol,44,23,67,W,1.01,16.07,home,0,0,Bristol,Saracens,23,44,67,L,16.07,1.01,away,True,True,True,1,21,10,10.1
23,1,1,2018-09-09,Sale,Worcester,21,15,36,W,1.26,3.89,home,0,0,Worcester,Sale,15,21,36,L,3.89,1.26,away,True,True,True,1,6,10,12.6
25,1,1,2018-09-14,Gloucester,Bristol,35,13,48,W,1.13,6.16,home,0,0,Bristol,Gloucester,13,35,48,L,6.16,1.13,away,True,True,True,1,22,10,11.299999999999999
26,0,0,2018-09-15,Northampton,Saracens,27,38,65,L,3.44,1.32,home,1,1,Saracens,Northampton,38,27,65,W,1.32,3.44,away,True,True,True,1,11,10,13.200000000000001
27,0,0,2018-09-15,Worcester,Newcastle,20,23,43,L,1.66,2.33,home,1,1,Newcastle,Worcester,23,20,43,W,2.33,1.66,away,True,True,False,1,3,10,23.3
30,0,1,2018-09-15,Harlequins,Bath,32,37,69,L,1.41,2.98,home,1,0,Bath,Harlequins,37,32,69,W,2.98,1.41,away,False,True,False,1,5,10,0.0
32,1,1,2018-09-15,Exeter,Sale,35,18,53,W,1.05,9.33,home,0,0,Sale,Exeter,18,35,53,L,9.33,1.05,away,True,True,True,1,17,10,10.5
35,1,1,2018-09-16,Wasps,Leicester,41,35,76,W,1.41,2.98,home,0,0,Leicester,Wasps,35,41,76,L,2.98,1.41,away,True,True,True,1,6,10,14.1
36,0,0,2018-09-21,Newcastle,Exeter,17,24,41,L,3.96,1.26,home,1,1,Exeter,Newcastle,24,17,41,W,1.26,3.96,away,True,True,True,1,7,10,12.6
39,0,0,2018-09-22,Sale,Wasps,13,31,44,L,2.3,1.67,home,1,1,Wasps,Sale,31,13,44,W,1.67,2.3,away,True,True,True,2,18,5,8.35
42,1,1,2018-09-22,Bath,Northampton,17,15,32,W,1.48,2.77,home,0,0,Northampton,Bath,15,17,32,L,2.77,1.48,away,True,True,True,1,2,10,14.8
43,1,0,2018-09-22,Bristol,Harlequins,20,13,33,W,1.92,1.94,home,0,1,Harlequins,Bristol,13,20,33,L,1.94,1.92,away,False,True,True,1,7,10,0.0
46,0,1,2018-09-23,Leicester,Worcester,37,44,81,L,1.15,5.44,home,1,0,Worcester,Leicester,44,37,81,W,5.44,1.15,away,False,True,False,1,7,10,0.0
47,1,1,2018-09-23,Saracens,Gloucester,38,15,53,W,1.13,5.73,home,0,0,Gloucester,Saracens,15,38,53,L,5.73,1.13,away,True,True,True,1,23,10,11.299999999999999
49,0,1,2018-09-28,Newcastle,Wasps,22,23,45,L,1.57,2.53,home,1,0,Wasps,Newcastle,23,22,45,W,2.53,1.57,away,False,True,False,2,1,5,0.0
53,1,1,2018-09-29,Saracens,Bath,50,27,77,W,1.01,13.94,home,0,0,Bath,Saracens,27,50,77,L,13.94,1.01,away,True,True,True,1,23,10,10.1
54,0,0,2018-09-29,Bristol,Northampton,40,45,85,L,2.17,1.74,home,1,1,Northampton,Bristol,45,40,85,W,1.74,2.17,away,True,True,True,1,5,10,17.4
55,0,1,2018-09-29,Gloucester,Harlequins,25,27,52,L,1.22,4.3,home,1,0,Harlequins,Gloucester,27,25,52,W,4.3,1.22,away,False,True,False,1,2,10,0.0
57,1,1,2018-09-29,Exeter,Worcester,28,11,39,W,1.04,10.42,home,0,0,Worcester,Exeter,11,28,39,L,10.42,1.04,away,True,True,True,1,17,10,10.4
59,1,1,2018-09-30,Leicester,Sale,19,15,34,W,1.23,4.12,home,0,0,Sale,Leicester,15,19,34,L,4.12,1.23,away,True,True,True,1,4,10,12.3
61,0,0,2018-10-05,Bath,Exeter,24,39,63,L,2.92,1.43,home,1,1,Exeter,Bath,39,24,63,W,1.43,2.92,away,True,True,True,1,15,10,14.299999999999999
64,0,0,2018-10-06,Harlequins,Saracens,20,25,45,L,3.66,1.3,home,1,1,Saracens,Harlequins,25,20,45,W,1.3,3.66,away,True,True,True,1,5,10,13.0
65,0,0,2018-10-06,Northampton,Leicester,15,23,38,L,1.76,2.14,home,1,1,Leicester,Northampton,23,15,38,W,2.14,1.76,away,True,True,False,1,8,10,21.400000000000002
67,1,1,2018-10-06,Sale,Newcastle,20,7,27,W,1.63,2.36,home,0,0,Newcastle,Sale,7,20,27,L,2.36,1.63,away,True,True,True,2,13,5,8.149999999999999
68,0,1,2018-10-06,Wasps,Gloucester,21,35,56,L,1.42,2.99,home,1,0,Gloucester,Wasps,35,21,56,W,2.99,1.42,away,False,True,False,1,14,10,0.0
71,1,1,2018-10-07,Worcester,Bristol,52,7,59,W,1.45,2.83,home,0,0,Bristol,Worcester,7,52,59,L,2.83,1.45,away,True,True,True,1,45,10,14.5
73,1,1,2018-11-16,Harlequins,Newcastle,20,7,27,W,1.52,2.62,home,0,0,Newcastle,Harlequins,7,20,27,L,2.62,1.52,away,True,True,True,1,13,10,15.2
75,1,1,2018-11-16,Gloucester,Leicester,36,13,49,W,1.16,5.21,home,0,0,Leicester,Gloucester,13,36,49,L,5.21,1.16,away,True,True,True,1,23,10,11.6
76,1,0,2018-11-17,Northampton,Wasps,36,17,53,W,2.15,1.74,home,0,1,Wasps,Northampton,17,36,53,L,1.74,2.15,away,False,True,False,1,19,10,0.0
77,1,1,2018-11-17,Bath,Worcester,28,13,41,W,1.46,2.84,home,0,0,Worcester,Bath,13,28,41,L,2.84,1.46,away,True,True,True,1,15,10,14.6
81,1,1,2018-11-17,Saracens,Sale,31,25,56,W,1.32,3.37,home,0,0,Sale,Saracens,25,31,56,L,3.37,1.32,away,True,True,True,1,6,10,13.200000000000001
83,0,0,2018-11-18,Bristol,Exeter,29,31,60,L,3.99,1.25,home,1,1,Exeter,Bristol,31,29,60,W,1.25,3.99,away,True,True,True,1,2,10,12.5
85,1,1,2018-11-23,Worcester,Harlequins,20,13,33,W,1.59,2.43,home,0,0,Harlequins,Worcester,13,20,33,L,2.43,1.59,away,True,True,True,2,7,5,7.95
86,1,1,2018-11-23,Newcastle,Bath,16,8,24,W,1.6,2.41,home,0,0,Bath,Newcastle,8,16,24,L,2.41,1.6,away,True,True,True,1,8,10,16.0
88,1,1,2018-11-24,Exeter,Gloucester,23,6,29,W,1.33,3.42,home,0,0,Gloucester,Exeter,6,23,29,L,3.42,1.33,away,True,True,True,1,17,10,13.3
90,1,1,2018-11-24,Sale,Northampton,18,13,31,W,1.29,3.57,home,0,0,Northampton,Sale,13,18,31,L,3.57,1.29,away,True,True,True,1,5,10,12.9
92,1,1,2018-11-24,Wasps,Bristol,32,28,60,W,1.34,3.33,home,0,0,Bristol,Wasps,28,32,60,L,3.33,1.34,away,True,True,True,1,4,10,13.4
95,0,0,2018-11-25,Leicester,Saracens,22,27,49,L,2.49,1.55,home,1,1,Saracens,Leicester,27,22,49,W,1.55,2.49,away,True,True,True,2,5,5,7.75
96,1,0,2018-11-30,Harlequins,Exeter,28,26,54,W,2.32,1.64,home,0,1,Exeter,Harlequins,26,28,54,L,1.64,2.32,away,False,True,False,1,2,10,0.0
99,1,1,2018-12-01,Gloucester,Worcester,36,16,52,W,1.14,5.61,home,0,0,Worcester,Gloucester,16,36,52,L,5.61,1.14,away,True,True,True,1,20,10,11.399999999999999
100,0,1,2018-12-01,Northampton,Newcastle,14,16,30,L,1.42,2.97,home,1,0,Newcastle,Northampton,16,14,30,W,2.97,1.42,away,False,True,False,1,2,10,0.0
103,1,1,2018-12-01,Saracens,Wasps,29,6,35,W,1.1,6.86,home,0,0,Wasps,Saracens,6,29,35,L,6.86,1.1,away,True,True,True,1,23,10,11.0
104,1,0,2018-12-01,Bristol,Leicester,41,10,51,W,2.21,1.71,home,0,1,Leicester,Bristol,10,41,51,L,1.71,2.21,away,False,True,False,1,31,10,0.0
106,0,1,2018-12-02,Bath,Sale,7,7,14,D,1.47,2.77,home,0,0,Sale,Bath,7,7,14,D,2.77,1.47,away,False,True,False,1,0,10,0.0
108,0,0,2018-12-21,Worcester,Northampton,6,32,38,L,1.67,2.29,home,1,1,Northampton,Worcester,32,6,38,W,2.29,1.67,away,True,True,False,1,26,10,22.9
110,1,1,2018-12-22,Sale,Bristol,27,10,37,W,1.29,3.7,home,0,0,Bristol,Sale,10,27,37,L,3.7,1.29,away,True,True,True,1,17,10,12.9
111,1,1,2018-12-22,Exeter,Saracens,31,13,44,W,1.86,2.02,home,0,0,Saracens,Exeter,13,31,44,L,2.02,1.86,away,True,True,True,2,18,5,9.3
112,1,1,2018-12-22,Leicester,Harlequins,35,24,59,W,1.41,2.96,home,0,0,Harlequins,Leicester,24,35,59,L,2.96,1.41,away,True,True,True,1,11,10,14.1
117,0,1,2018-12-23,Newcastle,Gloucester,17,20,37,L,1.73,2.16,home,1,0,Gloucester,Newcastle,20,17,37,W,2.16,1.73,away,False,True,False,2,3,5,0.0
118,0,1,2018-12-23,Wasps,Bath,14,24,38,L,1.44,2.85,home,1,0,Bath,Wasps,24,14,38,W,2.85,1.44,away,False,True,False,1,10,10,0.0
121,1,0,2018-12-28,Northampton,Exeter,31,28,59,W,2.76,1.49,home,0,1,Exeter,Northampton,28,31,59,L,1.49,2.76,away,False,True,False,1,3,10,0.0
124,1,1,2018-12-29,Saracens,Worcester,25,17,42,W,1.05,9.33,home,0,0,Worcester,Saracens,17,25,42,L,9.33,1.05,away,True,True,True,1,8,10,10.5
125,0,1,2018-12-29,Gloucester,Sale,15,30,45,L,1.41,2.94,home,1,0,Sale,Gloucester,30,15,45,W,2.94,1.41,away,False,True,False,1,15,10,0.0
127,1,1,2018-12-29,Harlequins,Wasps,20,13,33,W,1.68,2.22,home,0,0,Wasps,Harlequins,13,20,33,L,2.22,1.68,away,True,True,True,2,7,5,8.4
129,1,1,2018-12-30,Bath,Leicester,23,16,39,W,1.46,2.81,home,0,0,Leicester,Bath,16,23,39,L,2.81,1.46,away,True,True,True,1,7,10,14.6
131,1,0,2018-12-30,Bristol,Newcastle,35,28,63,W,1.57,2.49,home,0,1,Newcastle,Bristol,28,35,63,L,2.49,1.57,away,False,True,True,1,7,10,0.0
133,1,0,2019-01-04,Sale,Saracens,24,18,42,W,2.87,1.45,home,0,1,Saracens,Sale,18,24,42,L,1.45,2.87,away,False,True,False,1,6,10,0.0
134,1,1,2019-01-05,Exeter,Bristol,14,9,23,W,1.04,9.79,home,0,0,Bristol,Exeter,9,14,23,L,9.79,1.04,away,True,True,True,1,5,10,10.4
136,1,1,2019-01-05,Leicester,Gloucester,34,16,50,W,1.54,2.55,home,0,0,Gloucester,Leicester,16,34,50,L,2.55,1.54,away,True,True,True,1,18,10,15.4
139,1,0,2019-01-05,Worcester,Bath,21,19,40,W,2.01,1.85,home,0,1,Bath,Worcester,19,21,40,L,1.85,2.01,away,False,True,False,2,2,5,0.0
140,0,1,2019-01-05,Newcastle,Harlequins,17,38,55,L,1.73,2.18,home,1,0,Harlequins,Newcastle,38,17,55,W,2.18,1.73,away,False,True,False,1,21,10,0.0
143,1,1,2019-01-06,Wasps,Northampton,27,16,43,W,1.42,2.92,home,0,0,Northampton,Wasps,16,27,43,L,2.92,1.42,away,True,True,True,1,11,10,14.2
144,1,0,2019-02-15,Gloucester,Exeter,24,17,41,W,1.72,2.16,home,0,1,Exeter,Gloucester,17,24,41,L,2.16,1.72,away,False,True,True,1,7,10,0.0
145,0,0,2019-02-15,Bristol,Wasps,22,29,51,L,1.76,2.15,home,1,1,Wasps,Bristol,29,22,51,W,2.15,1.76,away,True,True,False,1,7,10,21.5
148,1,1,2019-02-16,Northampton,Sale,67,17,84,W,1.59,2.41,home,0,0,Sale,Northampton,17,67,84,L,2.41,1.59,away,True,True,True,2,50,5,7.95
