,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
66,1,1,2017-10-07,Exeter,Newcastle,34,24,58,W,1.13,5.87,home,0,0,Newcastle,Exeter,24,34,58,L,5.87,1.13,away,True,True,True,1,10,10,11.299999999999999
69,1,1,2017-10-07,Bath,Worcester,29,13,42,W,1.05,9.58,home,0,0,Worcester,Bath,13,29,42,L,9.58,1.05,away,True,True,True,1,16,10,10.5
71,1,1,2017-10-08,Saracens,Wasps,38,19,57,W,1.07,9.29,home,0,0,Wasps,Saracens,19,38,57,L,9.29,1.07,away,True,True,True,1,19,10,10.700000000000001
73,0,0,2017-10-27,Sale,Exeter,6,10,16,L,2.5,1.55,home,1,1,Exeter,Sale,10,6,16,W,1.55,2.5,away,True,True,True,1,4,10,15.5
76,0,0,2017-10-28,Northampton,Wasps,22,38,60,L,1.6,2.42,home,1,1,Wasps,Northampton,38,22,60,W,2.42,1.6,away,True,True,False,1,16,10,24.2
78,1,1,2017-10-28,Harlequins,Worcester,41,35,76,W,1.17,5.28,home,0,0,Worcester,Harlequins,35,41,76,L,5.28,1.17,away,True,True,True,1,6,10,11.7
79,1,1,2017-10-28,Saracens,London Irish,44,13,57,W,1.02,16.76,home,0,0,London Irish,Saracens,13,44,57,L,16.76,1.02,away,True,True,True,1,31,10,10.2
81,0,1,2017-10-29,Newcastle,Leicester,13,30,43,L,1.86,2.0,home,1,0,Leicester,Newcastle,30,13,43,W,2.0,1.86,away,False,True,False,2,17,5,0.0
82,0,1,2017-10-29,Bath,Gloucester,21,22,43,L,1.19,4.82,home,1,0,Gloucester,Bath,22,21,43,W,4.82,1.19,away,False,True,False,1,1,10,0.0
84,1,0,2017-11-17,Gloucester,Saracens,23,17,40,W,3.24,1.38,home,0,1,Saracens,Gloucester,17,23,40,L,1.38,3.24,away,False,True,False,1,6,10,0.0
87,1,0,2017-11-18,Worcester,Northampton,30,15,45,W,2.35,1.63,home,0,1,Northampton,Worcester,15,30,45,L,1.63,2.35,away,False,True,False,2,15,5,0.0
89,1,1,2017-11-18,Wasps,Newcastle,40,10,50,W,1.18,5.01,home,0,0,Newcastle,Wasps,10,40,50,L,5.01,1.18,away,True,True,True,1,30,10,11.799999999999999
91,1,1,2017-11-19,Leicester,Sale,35,27,62,W,1.34,3.38,home,0,0,Sale,Leicester,27,35,62,L,3.38,1.34,away,True,True,True,1,8,10,13.4
92,1,1,2017-11-19,Exeter,Harlequins,31,17,48,W,1.07,8.33,home,0,0,Harlequins,Exeter,17,31,48,L,8.33,1.07,away,True,True,True,1,14,10,10.700000000000001
94,0,0,2017-11-19,London Irish,Bath,18,22,40,L,2.55,1.55,home,1,1,Bath,London Irish,22,18,40,W,1.55,2.55,away,True,True,True,1,4,10,15.5
96,0,1,2017-11-24,Newcastle,Gloucester,7,29,36,L,1.46,2.75,home,1,0,Gloucester,Newcastle,29,7,36,W,2.75,1.46,away,False,True,False,1,22,10,0.0
98,0,1,2017-11-25,Leicester,Worcester,27,31,58,L,1.3,3.67,home,1,0,Worcester,Leicester,31,27,58,W,3.67,1.3,away,False,True,False,1,4,10,0.0
99,1,1,2017-11-25,Bath,Harlequins,38,14,52,W,1.28,3.73,home,0,0,Harlequins,Bath,14,38,52,L,3.73,1.28,away,True,True,True,1,24,10,12.8
101,1,1,2017-11-25,Sale,Northampton,18,15,33,W,1.22,4.34,home,0,0,Northampton,Sale,15,18,33,L,4.34,1.22,away,True,True,True,1,3,10,12.2
105,0,0,2017-11-26,London Irish,Wasps,13,17,30,L,4.77,1.19,home,1,1,Wasps,London Irish,17,13,30,W,1.19,4.77,away,True,True,True,1,4,10,11.899999999999999
106,0,1,2017-11-26,Saracens,Exeter,18,20,38,L,1.54,2.81,home,1,0,Exeter,Saracens,20,18,38,W,2.81,1.54,away,False,True,False,1,2,10,0.0
109,0,0,2017-12-01,Worcester,Sale,14,18,32,L,1.63,2.37,home,1,1,Sale,Worcester,18,14,32,W,2.37,1.63,away,True,True,False,1,4,10,23.700000000000003
110,0,1,2017-12-01,Northampton,Newcastle,22,24,46,L,1.33,3.44,home,1,0,Newcastle,Northampton,24,22,46,W,3.44,1.33,away,False,True,False,1,2,10,0.0
112,1,1,2017-12-02,Exeter,Bath,42,29,71,W,1.22,4.95,home,0,0,Bath,Exeter,29,42,71,L,4.95,1.22,away,True,True,True,1,13,10,12.2
116,1,1,2017-12-02,Gloucester,London Irish,39,15,54,W,1.14,5.81,home,0,0,London Irish,Gloucester,15,39,54,L,5.81,1.14,away,True,True,True,1,24,10,11.399999999999999
117,1,1,2017-12-02,Wasps,Leicester,32,25,57,W,1.39,3.1,home,0,0,Leicester,Wasps,25,32,57,L,3.1,1.39,away,True,True,True,1,7,10,13.899999999999999
119,1,0,2017-12-03,Harlequins,Saracens,20,19,39,W,4.65,1.21,home,0,1,Saracens,Harlequins,19,20,39,L,1.21,4.65,away,False,True,False,1,1,10,0.0
121,1,1,2017-12-22,Worcester,London Irish,23,8,31,W,1.25,4.26,home,0,0,London Irish,Worcester,8,23,31,L,4.26,1.25,away,True,True,True,1,15,10,12.5
123,1,1,2017-12-23,Newcastle,Harlequins,11,10,21,W,1.38,3.79,home,0,0,Harlequins,Newcastle,10,11,21,L,3.79,1.38,away,True,True,True,1,1,10,13.799999999999999
125,1,1,2017-12-23,Wasps,Gloucester,49,24,73,W,1.33,3.42,home,0,0,Gloucester,Wasps,24,49,73,L,3.42,1.33,away,True,True,True,1,25,10,13.3
127,1,0,2017-12-23,Sale,Bath,32,9,41,W,1.64,2.36,home,0,1,Bath,Sale,9,32,41,L,2.36,1.64,away,False,True,True,1,23,10,0.0
129,0,0,2017-12-23,Northampton,Exeter,14,35,49,L,3.26,1.36,home,1,1,Exeter,Northampton,35,14,49,W,1.36,3.26,away,True,True,True,1,21,10,13.600000000000001
131,0,0,2017-12-24,Leicester,Saracens,17,29,46,L,2.44,1.66,home,1,1,Saracens,Leicester,29,17,46,W,1.66,2.44,away,True,True,True,1,12,10,16.599999999999998
132,0,0,2017-12-29,Bath,Wasps,26,31,57,L,1.77,2.13,home,1,1,Wasps,Bath,31,26,57,W,2.13,1.77,away,True,True,False,1,5,10,21.299999999999997
135,1,1,2017-12-30,Gloucester,Sale,20,16,36,W,1.35,3.32,home,0,0,Sale,Gloucester,16,20,36,L,3.32,1.35,away,True,True,True,1,4,10,13.5
138,1,1,2017-12-30,Harlequins,Northampton,50,21,71,W,1.37,3.18,home,0,0,Northampton,Harlequins,21,50,71,L,3.18,1.37,away,True,True,True,1,29,10,13.700000000000001
139,0,0,2017-12-30,London Irish,Newcastle,15,20,35,L,2.57,1.56,home,1,1,Newcastle,London Irish,20,15,35,W,1.56,2.57,away,True,True,True,1,5,10,15.600000000000001
141,1,1,2017-12-30,Saracens,Worcester,46,31,77,W,1.03,13.57,home,0,0,Worcester,Saracens,31,46,77,L,13.57,1.03,away,True,True,True,1,15,10,10.3
143,1,1,2017-12-31,Exeter,Leicester,30,6,36,W,1.21,4.56,home,0,0,Leicester,Exeter,6,30,36,L,4.56,1.21,away,True,True,True,1,24,10,12.1
144,0,0,2018-01-05,Worcester,Bath,25,46,71,L,2.42,1.67,home,1,1,Bath,Worcester,46,25,71,W,1.67,2.42,away,True,True,True,1,21,10,16.7
146,1,1,2018-01-06,Leicester,London Irish,19,15,34,W,1.07,8.36,home,0,0,London Irish,Leicester,15,19,34,L,8.36,1.07,away,True,True,True,1,4,10,10.700000000000001
148,1,1,2018-01-06,Sale,Harlequins,30,29,59,W,1.4,3.12,home,0,0,Harlequins,Sale,29,30,59,L,3.12,1.4,away,True,True,True,1,1,10,14.0
150,1,1,2018-01-06,Northampton,Gloucester,22,19,41,W,2.28,1.68,home,0,0,Gloucester,Northampton,19,22,41,L,1.68,2.28,away,True,True,False,1,3,10,22.799999999999997
152,1,0,2018-01-07,Newcastle,Exeter,28,20,48,W,2.92,1.43,home,0,1,Exeter,Newcastle,20,28,48,L,1.43,2.92,away,False,True,False,1,8,10,0.0
155,0,0,2018-01-07,Wasps,Saracens,15,38,53,L,2.6,1.53,home,1,1,Saracens,Wasps,38,15,53,W,1.53,2.6,away,True,True,True,1,23,10,15.3
157,1,1,2018-02-09,Bath,Northampton,32,9,51,W,1.44,2.94,home,0,0,Northampton,Bath,9,32,51,L,2.94,1.44,away,True,True,True,1,23,10,14.399999999999999
158,1,1,2018-02-10,Saracens,Newcastle,25,3,28,W,1.14,5.81,home,0,0,Newcastle,Saracens,3,25,28,L,5.81,1.14,away,True,True,True,1,22,10,11.399999999999999
161,0,1,2018-02-10,Exeter,Worcester,5,6,11,L,1.08,8.66,home,1,0,Worcester,Exeter,6,5,11,W,8.66,1.08,away,False,True,False,1,1,10,0.0
162,1,1,2018-02-10,Gloucester,Leicester,24,17,41,W,1.3,3.69,home,0,0,Leicester,Gloucester,17,24,41,L,3.69,1.3,away,True,True,True,1,7,10,13.0
163,0,0,2018-02-10,London Irish,Sale,9,13,22,L,1.94,1.92,home,1,1,Sale,London Irish,13,9,22,W,1.92,1.94,away,True,True,True,1,4,10,19.2
167,0,0,2018-02-11,Harlequins,Wasps,22,44,66,L,2.96,1.47,home,1,1,Wasps,Harlequins,44,22,66,W,1.47,2.96,away,True,True,True,1,22,10,14.7
168,0,0,2018-02-16,Sale,Saracens,3,13,16,L,3.01,1.45,home,1,1,Saracens,Sale,13,3,16,W,1.45,3.01,away,True,True,True,1,10,10,14.5
169,1,1,2018-02-16,Newcastle,Bath,29,12,41,W,1.51,3.2,home,0,0,Bath,Newcastle,12,29,41,L,3.2,1.51,away,True,True,True,1,17,10,15.1
175,1,0,2018-02-17,Worcester,Gloucester,25,15,40,W,2.18,1.81,home,0,1,Gloucester,Worcester,15,25,40,L,1.81,2.18,away,False,True,False,2,10,5,0.0
176,1,1,2018-02-17,Northampton,London Irish,25,17,42,W,1.19,5.21,home,0,0,London Irish,Northampton,17,25,42,L,5.21,1.19,away,True,True,True,1,8,10,11.899999999999999
177,1,1,2018-02-17,Leicester,Harlequins,33,18,51,W,1.28,3.83,home,0,0,Harlequins,Leicester,18,33,51,L,3.83,1.28,away,True,True,True,1,15,10,12.8
179,1,1,2018-02-18,Wasps,Exeter,13,7,20,W,1.55,2.55,home,0,0,Exeter,Wasps,7,13,20,L,2.55,1.55,away,True,True,True,1,6,10,15.5
180,0,0,2018-02-24,Gloucester,Wasps,25,25,50,D,1.67,2.29,home,0,1,Wasps,Gloucester,25,25,50,D,2.29,1.67,away,False,True,False,1,0,10,0.0
181,0,1,2018-02-24,Harlequins,Newcastle,10,28,38,L,1.59,2.46,home,1,0,Newcastle,Harlequins,28,10,38,W,2.46,1.59,away,False,True,False,1,18,10,0.0
182,1,1,2018-02-24,Bath,Sale,33,32,65,W,1.45,2.89,home,0,0,Sale,Bath,32,33,65,L,2.89,1.45,away,True,True,True,1,1,10,14.5
186,1,1,2018-02-24,Exeter,Northampton,31,30,61,W,1.11,6.63,home,0,0,Northampton,Exeter,30,31,61,L,6.63,1.11,away,True,True,True,1,1,10,11.100000000000001
190,1,0,2018-02-25,London Irish,Worcester,22,9,31,W,2.21,1.71,home,0,1,Worcester,London Irish,9,22,31,L,1.71,2.21,away,False,True,False,1,13,10,0.0
191,0,1,2018-02-25,Saracens,Leicester,20,28,48,L,1.15,5.59,home,1,0,Leicester,Saracens,28,20,48,W,5.59,1.15,away,False,True,False,1,8,10,0.0
192,0,1,2018-03-03,Northampton,Sale,25,34,59,L,1.55,2.55,home,1,0,Sale,Northampton,34,25,59,W,2.55,1.55,away,False,True,False,1,9,10,0.0
195,0,1,2018-03-03,Gloucester,Newcastle,20,21,41,L,1.49,2.73,home,1,0,Newcastle,Gloucester,21,20,41,W,2.73,1.49,away,False,True,False,1,1,10,0.0
196,0,0,2018-03-04,Worcester,Leicester,5,34,39,L,2.3,1.66,home,1,1,Leicester,Worcester,34,5,39,W,1.66,2.3,away,True,True,True,1,29,10,16.599999999999998
197,1,1,2018-03-04,Harlequins,Bath,20,5,25,W,1.85,2.02,home,0,0,Bath,Harlequins,5,20,25,L,2.02,1.85,away,True,True,True,1,15,10,18.5
200,1,1,2018-03-04,Wasps,London Irish,24,16,40,W,1.07,8.43,home,0,0,London Irish,Wasps,16,24,40,L,8.43,1.07,away,True,True,True,1,8,10,10.700000000000001
203,1,1,2018-03-04,Exeter,Saracens,24,12,36,W,1.4,3.14,home,0,0,Saracens,Exeter,12,24,36,L,3.14,1.4,away,True,True,True,1,12,10,14.0
204,0,0,2018-03-23,Bath,Exeter,18,20,38,L,2.2,1.74,home,1,1,Exeter,Bath,20,18,38,W,1.74,2.2,away,True,True,True,1,2,10,17.4
206,1,1,2018-03-24,Saracens,Harlequins,24,11,35,W,1.18,4.96,home,0,0,Harlequins,Saracens,11,24,35,L,4.96,1.18,away,True,True,True,1,13,10,11.799999999999999
207,1,1,2018-03-24,Newcastle,Northampton,25,22,47,W,1.19,4.96,home,0,0,Northampton,Newcastle,22,25,47,L,4.96,1.19,away,True,True,True,1,3,10,11.899999999999999
209,0,1,2018-03-24,London Irish,Gloucester,29,33,62,L,2.52,1.56,home,1,0,Gloucester,London Irish,33,29,62,W,1.56,2.52,away,False,True,True,1,4,10,0.0
211,1,1,2018-03-24,Sale,Worcester,58,25,83,W,1.18,5.12,home,0,0,Worcester,Sale,25,58,83,L,5.12,1.18,away,True,True,True,1,33,10,11.799999999999999
215,1,1,2018-03-25,Leicester,Wasps,16,15,31,W,1.66,2.29,home,0,0,Wasps,Leicester,15,16,31,L,2.29,1.66,away,True,True,True,2,1,5,8.299999999999999
217,1,0,2018-04-06,Sale,Wasps,28,27,55,W,2.1,1.78,home,0,1,Wasps,Sale,27,28,55,L,1.78,2.1,away,False,True,False,1,1,10,0.0
