,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
140,0,1,2019-01-05,Newcastle,Harlequins,L,1.73,2.18,home,1,0,Harlequins,Newcastle,W,2.18,1.73,away,False,True,False,1,10,0.0
143,1,1,2019-01-06,Wasps,Northampton,W,1.42,2.92,home,0,0,Northampton,Wasps,L,2.92,1.42,away,True,True,True,1,10,14.2
144,1,0,2019-02-15,Gloucester,Exeter,W,1.72,2.16,home,0,1,Exeter,Gloucester,L,2.16,1.72,away,False,True,True,1,10,0.0
145,0,0,2019-02-15,Bristol,Wasps,L,1.76,2.15,home,1,1,Wasps,Bristol,W,2.15,1.76,away,True,True,False,1,10,21.5
148,1,1,2019-02-16,Northampton,Sale,W,1.59,2.41,home,0,0,Sale,Northampton,L,2.41,1.59,away,True,True,True,2,5,7.95
150,1,1,2019-02-16,Saracens,Leicester,W,1.09,7.19,home,0,0,Leicester,Saracens,L,7.19,1.09,away,True,True,True,1,10,10.9
151,1,1,2019-02-16,Bath,Newcastle,W,1.13,5.82,home,0,0,Newcastle,Bath,L,5.82,1.13,away,True,True,True,1,10,11.299999999999999
155,1,1,2019-02-16,Harlequins,Worcester,W,1.27,4.08,home,0,0,Worcester,Harlequins,L,4.08,1.27,away,True,True,True,1,10,12.7
157,1,0,2019-02-22,Gloucester,Saracens,W,1.54,2.57,home,0,1,Saracens,Gloucester,L,2.57,1.54,away,False,True,True,1,10,0.0
160,0,1,2019-02-23,Wasps,Sale,L,1.43,2.88,home,1,0,Sale,Wasps,W,2.88,1.43,away,False,True,False,1,10,0.0
162,1,1,2019-02-23,Exeter,Newcastle,W,1.07,8.01,home,0,0,Newcastle,Exeter,L,8.01,1.07,away,True,True,True,1,10,10.700000000000001
163,1,1,2019-02-23,Northampton,Bath,W,1.68,2.25,home,0,0,Bath,Northampton,L,2.25,1.68,away,True,True,True,2,5,8.4
164,1,1,2019-02-23,Harlequins,Bristol,W,1.25,3.99,home,0,0,Bristol,Harlequins,L,3.99,1.25,away,True,True,True,1,10,12.5
166,1,1,2019-02-24,Worcester,Leicester,W,1.43,2.9,home,0,0,Leicester,Worcester,L,2.9,1.43,away,True,True,True,1,10,14.299999999999999
168,1,0,2019-03-01,Bristol,Gloucester,W,2.75,1.46,home,0,1,Gloucester,Bristol,L,1.46,2.75,away,False,True,False,1,10,0.0
171,1,1,2019-03-02,Leicester,Wasps,W,1.68,2.27,home,0,0,Wasps,Leicester,L,2.27,1.68,away,True,True,True,2,5,8.4
172,0,1,2019-03-02,Bath,Harlequins,L,1.33,3.38,home,1,0,Harlequins,Bath,W,3.38,1.33,away,False,True,False,1,10,0.0
176,0,0,2019-03-02,Sale,Exeter,L,2.49,1.57,home,1,1,Exeter,Sale,W,1.57,2.49,away,True,True,True,1,10,15.700000000000001
177,1,1,2019-03-02,Saracens,Northampton,W,1.21,4.47,home,0,0,Northampton,Saracens,L,4.47,1.21,away,True,True,True,1,10,12.1
179,1,1,2019-03-03,Newcastle,Worcester,W,1.58,2.48,home,0,0,Worcester,Newcastle,L,2.48,1.58,away,True,True,True,1,10,15.8
182,1,1,2019-03-08,Sale,Leicester,W,1.17,5.25,home,0,0,Leicester,Sale,L,5.25,1.17,away,True,True,True,1,10,11.7
183,1,0,2019-03-08,Bath,Saracens,W,2.42,1.6,home,0,1,Saracens,Bath,L,1.6,2.42,away,False,True,False,1,10,0.0
184,0,1,2019-03-09,Northampton,Bristol,L,1.31,3.55,home,1,0,Bristol,Northampton,W,3.55,1.31,away,False,True,False,1,10,0.0
185,0,0,2019-03-09,Worcester,Exeter,L,3.2,1.36,home,1,1,Exeter,Worcester,W,1.36,3.2,away,True,True,True,1,10,13.600000000000001
186,0,1,2019-03-09,Wasps,Newcastle,L,1.38,3.13,home,1,0,Newcastle,Wasps,W,3.13,1.38,away,False,True,False,1,10,0.0
190,0,0,2019-03-10,Harlequins,Gloucester,L,1.72,2.19,home,1,1,Gloucester,Harlequins,W,2.19,1.72,away,True,True,False,1,10,21.9
193,0,1,2019-03-22,Leicester,Northampton,L,1.63,2.34,home,1,0,Northampton,Leicester,W,2.34,1.63,away,False,True,False,1,10,0.0
194,0,1,2019-03-23,Bristol,Worcester,L,1.58,2.5,home,1,0,Worcester,Bristol,W,2.5,1.58,away,False,True,False,2,5,0.0
196,1,1,2019-03-23,Gloucester,Wasps,W,1.25,4.05,home,0,0,Wasps,Gloucester,L,4.05,1.25,away,True,True,True,1,10,12.5
197,1,1,2019-03-23,Saracens,Harlequins,W,1.31,3.58,home,0,0,Harlequins,Saracens,L,3.58,1.31,away,True,True,True,1,10,13.100000000000001
199,1,1,2019-03-23,Newcastle,Sale,W,1.63,2.35,home,0,0,Sale,Newcastle,L,2.35,1.63,away,True,True,True,1,10,16.299999999999997
203,1,1,2019-03-24,Exeter,Bath,W,1.17,5.05,home,0,0,Bath,Exeter,L,5.05,1.17,away,True,True,True,1,10,11.7
205,1,1,2019-04-05,Sale,Harlequins,W,1.43,2.91,home,0,0,Harlequins,Sale,L,2.91,1.43,away,True,True,True,1,10,14.299999999999999
207,0,0,2019-04-06,Leicester,Exeter,L,2.97,1.41,home,1,1,Exeter,Leicester,W,1.41,2.97,away,True,True,True,1,10,14.1
208,1,1,2019-04-06,Bath,Bristol,W,1.28,3.74,home,0,0,Bristol,Bath,L,3.74,1.28,away,True,True,True,1,10,12.8
210,1,1,2019-04-06,Wasps,Worcester,W,1.28,3.72,home,0,0,Worcester,Wasps,L,3.72,1.28,away,True,True,True,1,10,12.8
211,1,1,2019-04-06,Saracens,Newcastle,W,1.11,6.48,home,0,0,Newcastle,Saracens,L,6.48,1.11,away,True,True,True,1,10,11.100000000000001
214,0,1,2019-04-07,Northampton,Gloucester,L,1.6,2.41,home,1,0,Gloucester,Northampton,W,2.41,1.6,away,False,True,False,1,10,0.0
216,0,1,2019-04-12,Newcastle,Leicester,L,1.45,2.82,home,1,0,Leicester,Newcastle,W,2.82,1.45,away,False,True,False,1,10,0.0
218,1,0,2019-04-13,Gloucester,Bath,W,1.48,2.72,home,0,1,Bath,Gloucester,L,2.72,1.48,away,False,True,True,1,10,0.0
222,0,1,2019-04-13,Harlequins,Northampton,L,1.59,2.41,home,1,0,Northampton,Harlequins,W,2.41,1.59,away,False,True,False,1,10,0.0
223,1,1,2019-04-13,Worcester,Sale,W,1.82,2.06,home,0,0,Sale,Worcester,L,2.06,1.82,away,True,True,True,2,5,9.1
224,1,0,2019-04-13,Bristol,Saracens,W,2.72,1.48,home,0,1,Saracens,Bristol,L,1.48,2.72,away,False,True,False,1,10,0.0
226,0,1,2019-04-14,Exeter,Wasps,L,1.14,5.68,home,1,0,Wasps,Exeter,W,5.68,1.14,away,False,True,False,1,10,0.0
228,0,1,2019-04-26,Newcastle,Northampton,L,1.97,1.88,home,1,0,Northampton,Newcastle,W,1.88,1.97,away,False,True,True,1,10,0.0
230,1,1,2019-04-26,Sale,Bath,W,1.64,2.34,home,0,0,Bath,Sale,L,2.34,1.64,away,True,True,True,1,10,16.4
233,0,0,2019-04-27,Wasps,Saracens,L,3.25,1.36,home,1,1,Saracens,Wasps,W,1.36,3.25,away,True,True,True,1,10,13.600000000000001
234,0,1,2019-04-27,Leicester,Bristol,L,1.41,3.05,home,1,0,Bristol,Leicester,W,3.05,1.41,away,False,True,False,1,10,0.0
235,1,1,2019-04-27,Exeter,Harlequins,W,1.15,5.77,home,0,0,Harlequins,Exeter,L,5.77,1.15,away,True,True,True,1,10,11.5
239,1,0,2019-04-28,Worcester,Gloucester,W,2.26,1.68,home,0,1,Gloucester,Worcester,L,1.68,2.26,away,False,True,False,2,5,0.0
240,0,0,2019-05-03,Bristol,Sale,D,1.64,2.33,home,0,1,Sale,Bristol,D,2.33,1.64,away,False,True,False,1,10,0.0
243,1,1,2019-05-03,Harlequins,Leicester,W,1.19,4.74,home,0,0,Leicester,Harlequins,L,4.74,1.19,away,True,True,True,1,10,11.899999999999999
245,1,1,2019-05-04,Saracens,Exeter,W,1.38,3.13,home,0,0,Exeter,Saracens,L,3.13,1.38,away,True,True,True,1,10,13.799999999999999
246,1,1,2019-05-04,Gloucester,Newcastle,W,1.14,5.81,home,0,0,Newcastle,Gloucester,L,5.81,1.14,away,True,True,True,1,10,11.399999999999999
249,1,1,2019-05-04,Northampton,Worcester,W,1.19,4.63,home,0,0,Worcester,Northampton,L,4.63,1.19,away,True,True,True,1,10,11.899999999999999
250,1,1,2019-05-05,Bath,Wasps,W,1.39,3.07,home,0,0,Wasps,Bath,L,3.07,1.39,away,True,True,True,1,10,13.899999999999999
252,0,0,2019-05-18,Leicester,Bath,L,2.71,1.5,home,1,1,Bath,Leicester,W,1.5,2.71,away,True,True,True,1,10,15.0
253,1,1,2019-05-18,Exeter,Northampton,W,1.32,3.5,home,0,0,Northampton,Exeter,L,3.5,1.32,away,True,True,True,1,10,13.200000000000001
255,1,0,2019-05-18,Worcester,Saracens,W,1.71,2.2,home,0,1,Saracens,Worcester,L,2.2,1.71,away,False,True,True,1,10,0.0
257,1,1,2019-05-18,Wasps,Harlequins,W,1.69,2.24,home,0,0,Harlequins,Wasps,L,2.24,1.69,away,True,True,True,1,10,16.9
258,1,1,2019-05-18,Sale,Gloucester,W,1.09,7.14,home,0,0,Gloucester,Sale,L,7.14,1.09,away,True,True,True,1,10,10.9
261,0,1,2019-05-18,Newcastle,Bristol,L,2.36,1.64,home,1,0,Bristol,Newcastle,W,1.64,2.36,away,False,True,True,1,10,0.0
264,1,1,2019-05-25,Saracens,Gloucester,W,1.13,6.03,home,0,0,Gloucester,Saracens,L,6.03,1.13,away,True,True,True,1,10,11.299999999999999
267,1,1,2019-05-25,Exeter,Northampton,W,1.14,5.89,home,0,0,Northampton,Exeter,L,5.89,1.14,away,True,True,True,1,10,11.399999999999999
268,0,0,2019-06-01,Exeter,Saracens,L,3.57,1.32,home,1,1,Saracens,Exeter,W,1.32,3.57,away,True,True,True,1,10,13.200000000000001
