,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
0,1,0,2018-08-31,Bristol,Bath,W,3.2,1.37,home,0,1,Bath,Bristol,L,1.37,3.2,away,False,True,False,1,10,0.0
3,0,0,2018-09-01,Worcester,Wasps,L,2.35,1.64,home,1,1,Wasps,Worcester,W,1.64,2.35,away,True,True,True,1,10,16.4
4,1,1,2018-09-01,Exeter,Leicester,W,1.28,3.8,home,0,0,Leicester,Exeter,L,3.8,1.28,away,True,True,True,1,10,12.8
5,1,1,2018-09-01,Gloucester,Northampton,W,1.4,3.02,home,0,0,Northampton,Gloucester,L,3.02,1.4,away,True,True,True,1,10,14.0
8,1,0,2018-09-01,Harlequins,Sale,W,1.54,2.55,home,0,1,Sale,Harlequins,L,2.55,1.54,away,False,True,True,1,10,0.0
11,0,0,2018-09-02,Newcastle,Saracens,L,3.83,1.28,home,1,1,Saracens,Newcastle,W,1.28,3.83,away,True,True,True,1,10,12.8
13,1,1,2018-09-07,Northampton,Harlequins,W,1.38,3.14,home,0,0,Harlequins,Northampton,L,3.14,1.38,away,True,True,True,1,10,13.799999999999999
15,0,0,2018-09-08,Bath,Gloucester,D,1.72,2.19,home,0,1,Gloucester,Bath,D,2.19,1.72,away,False,True,False,1,10,0.0
16,1,1,2018-09-08,Leicester,Newcastle,W,1.37,3.19,home,0,0,Newcastle,Leicester,L,3.19,1.37,away,True,True,True,1,10,13.700000000000001
17,0,1,2018-09-08,Wasps,Exeter,L,2.5,1.56,home,1,0,Exeter,Wasps,W,1.56,2.5,away,False,True,True,1,10,0.0
18,1,1,2018-09-08,Saracens,Bristol,W,1.01,16.07,home,0,0,Bristol,Saracens,L,16.07,1.01,away,True,True,True,1,10,10.1
23,1,1,2018-09-09,Sale,Worcester,W,1.26,3.89,home,0,0,Worcester,Sale,L,3.89,1.26,away,True,True,True,1,10,12.6
25,1,1,2018-09-14,Gloucester,Bristol,W,1.13,6.16,home,0,0,Bristol,Gloucester,L,6.16,1.13,away,True,True,True,1,10,11.299999999999999
26,0,0,2018-09-15,Northampton,Saracens,L,3.44,1.32,home,1,1,Saracens,Northampton,W,1.32,3.44,away,True,True,True,1,10,13.200000000000001
27,0,0,2018-09-15,Worcester,Newcastle,L,1.66,2.33,home,1,1,Newcastle,Worcester,W,2.33,1.66,away,True,True,False,1,10,23.3
30,0,1,2018-09-15,Harlequins,Bath,L,1.41,2.98,home,1,0,Bath,Harlequins,W,2.98,1.41,away,False,True,False,1,10,0.0
32,1,1,2018-09-15,Exeter,Sale,W,1.05,9.33,home,0,0,Sale,Exeter,L,9.33,1.05,away,True,True,True,1,10,10.5
35,1,1,2018-09-16,Wasps,Leicester,W,1.41,2.98,home,0,0,Leicester,Wasps,L,2.98,1.41,away,True,True,True,1,10,14.1
36,0,0,2018-09-21,Newcastle,Exeter,L,3.96,1.26,home,1,1,Exeter,Newcastle,W,1.26,3.96,away,True,True,True,1,10,12.6
39,0,0,2018-09-22,Sale,Wasps,L,2.3,1.67,home,1,1,Wasps,Sale,W,1.67,2.3,away,True,True,True,2,5,8.35
42,1,1,2018-09-22,Bath,Northampton,W,1.48,2.77,home,0,0,Northampton,Bath,L,2.77,1.48,away,True,True,True,1,10,14.8
43,1,0,2018-09-22,Bristol,Harlequins,W,1.92,1.94,home,0,1,Harlequins,Bristol,L,1.94,1.92,away,False,True,True,1,10,0.0
46,0,1,2018-09-23,Leicester,Worcester,L,1.15,5.44,home,1,0,Worcester,Leicester,W,5.44,1.15,away,False,True,False,1,10,0.0
47,1,1,2018-09-23,Saracens,Gloucester,W,1.13,5.73,home,0,0,Gloucester,Saracens,L,5.73,1.13,away,True,True,True,1,10,11.299999999999999
49,0,1,2018-09-28,Newcastle,Wasps,L,1.57,2.53,home,1,0,Wasps,Newcastle,W,2.53,1.57,away,False,True,False,2,5,0.0
53,1,1,2018-09-29,Saracens,Bath,W,1.01,13.94,home,0,0,Bath,Saracens,L,13.94,1.01,away,True,True,True,1,10,10.1
54,0,0,2018-09-29,Bristol,Northampton,L,2.17,1.74,home,1,1,Northampton,Bristol,W,1.74,2.17,away,True,True,True,1,10,17.4
55,0,1,2018-09-29,Gloucester,Harlequins,L,1.22,4.3,home,1,0,Harlequins,Gloucester,W,4.3,1.22,away,False,True,False,1,10,0.0
57,1,1,2018-09-29,Exeter,Worcester,W,1.04,10.42,home,0,0,Worcester,Exeter,L,10.42,1.04,away,True,True,True,1,10,10.4
59,1,1,2018-09-30,Leicester,Sale,W,1.23,4.12,home,0,0,Sale,Leicester,L,4.12,1.23,away,True,True,True,1,10,12.3
61,0,0,2018-10-05,Bath,Exeter,L,2.92,1.43,home,1,1,Exeter,Bath,W,1.43,2.92,away,True,True,True,1,10,14.299999999999999
64,0,0,2018-10-06,Harlequins,Saracens,L,3.66,1.3,home,1,1,Saracens,Harlequins,W,1.3,3.66,away,True,True,True,1,10,13.0
65,0,0,2018-10-06,Northampton,Leicester,L,1.76,2.14,home,1,1,Leicester,Northampton,W,2.14,1.76,away,True,True,False,1,10,21.400000000000002
67,1,1,2018-10-06,Sale,Newcastle,W,1.63,2.36,home,0,0,Newcastle,Sale,L,2.36,1.63,away,True,True,True,2,5,8.149999999999999
68,0,1,2018-10-06,Wasps,Gloucester,L,1.42,2.99,home,1,0,Gloucester,Wasps,W,2.99,1.42,away,False,True,False,1,10,0.0
71,1,1,2018-10-07,Worcester,Bristol,W,1.45,2.83,home,0,0,Bristol,Worcester,L,2.83,1.45,away,True,True,True,1,10,14.5
73,1,1,2018-11-16,Harlequins,Newcastle,W,1.52,2.62,home,0,0,Newcastle,Harlequins,L,2.62,1.52,away,True,True,True,1,10,15.2
75,1,1,2018-11-16,Gloucester,Leicester,W,1.16,5.21,home,0,0,Leicester,Gloucester,L,5.21,1.16,away,True,True,True,1,10,11.6
76,1,0,2018-11-17,Northampton,Wasps,W,2.15,1.74,home,0,1,Wasps,Northampton,L,1.74,2.15,away,False,True,False,1,10,0.0
77,1,1,2018-11-17,Bath,Worcester,W,1.46,2.84,home,0,0,Worcester,Bath,L,2.84,1.46,away,True,True,True,1,10,14.6
81,1,1,2018-11-17,Saracens,Sale,W,1.32,3.37,home,0,0,Sale,Saracens,L,3.37,1.32,away,True,True,True,1,10,13.200000000000001
83,0,0,2018-11-18,Bristol,Exeter,L,3.99,1.25,home,1,1,Exeter,Bristol,W,1.25,3.99,away,True,True,True,1,10,12.5
85,1,1,2018-11-23,Worcester,Harlequins,W,1.59,2.43,home,0,0,Harlequins,Worcester,L,2.43,1.59,away,True,True,True,2,5,7.95
86,1,1,2018-11-23,Newcastle,Bath,W,1.6,2.41,home,0,0,Bath,Newcastle,L,2.41,1.6,away,True,True,True,1,10,16.0
88,1,1,2018-11-24,Exeter,Gloucester,W,1.33,3.42,home,0,0,Gloucester,Exeter,L,3.42,1.33,away,True,True,True,1,10,13.3
90,1,1,2018-11-24,Sale,Northampton,W,1.29,3.57,home,0,0,Northampton,Sale,L,3.57,1.29,away,True,True,True,1,10,12.9
92,1,1,2018-11-24,Wasps,Bristol,W,1.34,3.33,home,0,0,Bristol,Wasps,L,3.33,1.34,away,True,True,True,1,10,13.4
95,0,0,2018-11-25,Leicester,Saracens,L,2.49,1.55,home,1,1,Saracens,Leicester,W,1.55,2.49,away,True,True,True,2,5,7.75
96,1,0,2018-11-30,Harlequins,Exeter,W,2.32,1.64,home,0,1,Exeter,Harlequins,L,1.64,2.32,away,False,True,False,1,10,0.0
99,1,1,2018-12-01,Gloucester,Worcester,W,1.14,5.61,home,0,0,Worcester,Gloucester,L,5.61,1.14,away,True,True,True,1,10,11.399999999999999
100,0,1,2018-12-01,Northampton,Newcastle,L,1.42,2.97,home,1,0,Newcastle,Northampton,W,2.97,1.42,away,False,True,False,1,10,0.0
103,1,1,2018-12-01,Saracens,Wasps,W,1.1,6.86,home,0,0,Wasps,Saracens,L,6.86,1.1,away,True,True,True,1,10,11.0
104,1,0,2018-12-01,Bristol,Leicester,W,2.21,1.71,home,0,1,Leicester,Bristol,L,1.71,2.21,away,False,True,False,1,10,0.0
106,0,1,2018-12-02,Bath,Sale,D,1.47,2.77,home,0,0,Sale,Bath,D,2.77,1.47,away,False,True,False,1,10,0.0
108,0,0,2018-12-21,Worcester,Northampton,L,1.67,2.29,home,1,1,Northampton,Worcester,W,2.29,1.67,away,True,True,False,1,10,22.9
110,1,1,2018-12-22,Sale,Bristol,W,1.29,3.7,home,0,0,Bristol,Sale,L,3.7,1.29,away,True,True,True,1,10,12.9
111,1,1,2018-12-22,Exeter,Saracens,W,1.86,2.02,home,0,0,Saracens,Exeter,L,2.02,1.86,away,True,True,True,2,5,9.3
112,1,1,2018-12-22,Leicester,Harlequins,W,1.41,2.96,home,0,0,Harlequins,Leicester,L,2.96,1.41,away,True,True,True,1,10,14.1
117,0,1,2018-12-23,Newcastle,Gloucester,L,1.73,2.16,home,1,0,Gloucester,Newcastle,W,2.16,1.73,away,False,True,False,2,5,0.0
118,0,1,2018-12-23,Wasps,Bath,L,1.44,2.85,home,1,0,Bath,Wasps,W,2.85,1.44,away,False,True,False,1,10,0.0
121,1,0,2018-12-28,Northampton,Exeter,W,2.76,1.49,home,0,1,Exeter,Northampton,L,1.49,2.76,away,False,True,False,1,10,0.0
124,1,1,2018-12-29,Saracens,Worcester,W,1.05,9.33,home,0,0,Worcester,Saracens,L,9.33,1.05,away,True,True,True,1,10,10.5
125,0,1,2018-12-29,Gloucester,Sale,L,1.41,2.94,home,1,0,Sale,Gloucester,W,2.94,1.41,away,False,True,False,1,10,0.0
127,1,1,2018-12-29,Harlequins,Wasps,W,1.68,2.22,home,0,0,Wasps,Harlequins,L,2.22,1.68,away,True,True,True,2,5,8.4
129,1,1,2018-12-30,Bath,Leicester,W,1.46,2.81,home,0,0,Leicester,Bath,L,2.81,1.46,away,True,True,True,1,10,14.6
131,1,0,2018-12-30,Bristol,Newcastle,W,1.57,2.49,home,0,1,Newcastle,Bristol,L,2.49,1.57,away,False,True,True,1,10,0.0
133,1,0,2019-01-04,Sale,Saracens,W,2.87,1.45,home,0,1,Saracens,Sale,L,1.45,2.87,away,False,True,False,1,10,0.0
134,1,1,2019-01-05,Exeter,Bristol,W,1.04,9.79,home,0,0,Bristol,Exeter,L,9.79,1.04,away,True,True,True,1,10,10.4
136,1,1,2019-01-05,Leicester,Gloucester,W,1.54,2.55,home,0,0,Gloucester,Leicester,L,2.55,1.54,away,True,True,True,1,10,15.4
139,1,0,2019-01-05,Worcester,Bath,W,2.01,1.85,home,0,1,Bath,Worcester,L,1.85,2.01,away,False,True,False,2,5,0.0
