,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
0,1,1,2020-11-20,Sale,Northampton,32,23,55,W,1.15,5.39,home,0,0,Northampton,Sale,23,32,55,L,5.39,1.15,away,True,True,True,1,9,10,11.5
1,0,0,2020-11-20,Harlequins,Exeter,3,33,36,L,2.95,1.41,home,1,1,Exeter,Harlequins,33,3,36,W,1.41,2.95,away,True,True,True,1,30,10,14.1
4,1,1,2020-11-21,Worcester,London Irish,11,10,21,W,1.65,2.26,home,0,0,London Irish,Worcester,10,11,21,L,2.26,1.65,away,True,True,True,1,1,10,16.5
5,1,0,2020-11-21,Leicester,Gloucester,38,15,53,W,2.26,1.66,home,0,1,Gloucester,Leicester,15,38,53,L,1.66,2.26,away,False,True,False,1,23,10,0.0
6,0,1,2020-11-21,Bath,Newcastle,12,19,31,L,1.07,8.19,home,1,0,Newcastle,Bath,19,12,31,W,8.19,1.07,away,False,True,False,1,7,10,0.0
11,1,1,2020-11-22,Wasps,Bristol,23,20,43,W,1.08,7.39,home,0,0,Bristol,Wasps,20,23,43,L,7.39,1.08,away,True,True,True,1,3,10,10.8
12,1,0,2020-11-27,Newcastle,Sale,15,13,28,W,4.32,1.22,home,0,1,Sale,Newcastle,13,15,28,L,1.22,4.32,away,False,True,False,1,2,10,0.0
15,1,1,2020-11-28,Exeter,Bath,40,3,43,W,1.12,6.13,home,0,0,Bath,Exeter,3,40,43,L,6.13,1.12,away,True,True,True,1,37,10,11.200000000000001
16,1,0,2020-11-28,Gloucester,Wasps,40,24,64,W,2.03,1.81,home,0,1,Wasps,Gloucester,24,40,64,L,1.81,2.03,away,False,True,False,2,16,5,0.0
19,1,1,2020-11-28,Bristol,Worcester,30,13,43,W,1.3,3.62,home,0,0,Worcester,Bristol,13,30,43,L,3.62,1.3,away,True,True,True,1,17,10,13.0
