,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,bet,return
116,2016-04-29,Sale,0,1,Gloucester,L,home,1.31,3.53,1,0,Gloucester,Sale,W,away,3.53,1.31,False,True,False,10,0.0
117,2016-04-30,Northampton,1,1,Bath,W,home,1.25,4.04,0,0,Bath,Northampton,L,away,4.04,1.25,True,True,True,10,12.5
118,2016-04-30,Leicester,1,1,Worcester,W,home,1.1,6.71,0,0,Worcester,Leicester,L,away,6.71,1.1,True,True,True,10,11.0
119,2016-05-01,Saracens,1,1,Newcastle,W,home,1.05,9.75,0,0,Newcastle,Saracens,L,away,9.75,1.05,True,True,True,10,10.5
120,2016-05-01,Exeter,1,1,Wasps,W,home,1.75,2.13,0,0,Wasps,Exeter,L,away,2.13,1.75,True,True,True,10,17.5
121,2016-05-01,London Irish,0,0,Harlequins,L,home,3.19,1.37,1,1,Harlequins,London Irish,W,away,1.37,3.19,True,True,True,10,13.700000000000001
122,2016-05-07,Newcastle,0,0,Sale,L,home,2.56,1.53,1,1,Sale,Newcastle,W,away,1.53,2.56,True,True,True,10,15.3
123,2016-05-07,Bath,1,1,Leicester,W,home,1.22,4.27,0,0,Leicester,Bath,L,away,4.27,1.22,True,True,True,10,12.2
124,2016-05-07,Wasps,1,1,London Irish,W,home,1.01,21.45,0,0,London Irish,Wasps,L,away,21.45,1.01,True,True,True,10,10.1
125,2016-05-07,Gloucester,0,0,Northampton,L,home,2.42,1.58,1,1,Northampton,Gloucester,W,away,1.58,2.42,True,True,True,10,15.8
126,2016-05-07,Worcester,0,0,Saracens,L,home,3.19,1.36,1,1,Saracens,Worcester,W,away,1.36,3.19,True,True,True,10,13.600000000000001
127,2016-05-21,Exeter,1,1,Wasps,W,home,1.56,2.53,0,0,Wasps,Exeter,L,away,2.53,1.56,True,True,True,10,15.600000000000001
128,2016-05-21,Saracens,1,1,Leicester,W,home,1.26,4.13,0,0,Leicester,Saracens,L,away,4.13,1.26,True,True,True,10,12.6
129,2016-05-28,Saracens,1,1,Exeter,W,home,1.21,4.87,0,0,Exeter,Saracens,L,away,4.87,1.21,True,True,True,10,12.1
