,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
30,2016-09-24,Northampton,0,1,Wasps,L,home,1.69,2.23,1,0,Wasps,Northampton,W,away,2.23,1.69,False,True,False,1,10,0.0
31,2016-09-24,Harlequins,1,0,Saracens,W,home,3.73,1.29,0,1,Saracens,Harlequins,L,away,1.29,3.73,False,True,False,1,10,0.0
32,2016-10-01,Gloucester,0,1,Bath,L,home,1.83,2.06,1,0,Bath,Gloucester,W,away,2.06,1.83,False,True,False,1,10,0.0
33,2016-10-01,Sale,1,1,Leicester,W,home,2.19,1.72,0,0,Leicester,Sale,L,away,1.72,2.19,True,True,False,1,10,21.9
34,2016-10-02,Wasps,1,1,Harlequins,W,home,1.15,5.59,0,0,Harlequins,Wasps,L,away,5.59,1.15,True,True,True,1,10,11.5
35,2016-10-07,Bath,1,1,Sale,W,home,1.22,4.42,0,0,Sale,Bath,L,away,4.42,1.22,True,True,True,1,10,12.2
36,2016-10-08,Harlequins,1,0,Northampton,W,home,1.68,2.26,0,1,Northampton,Harlequins,L,away,2.26,1.68,False,True,True,1,10,0.0
37,2016-10-08,Leicester,1,1,Worcester,W,home,1.1,7.06,0,0,Worcester,Leicester,L,away,7.06,1.1,True,True,True,1,10,11.0
38,2016-10-08,Newcastle,1,1,Bristol,W,home,1.21,4.52,0,0,Bristol,Newcastle,L,away,4.52,1.21,True,True,True,1,10,12.1
39,2016-10-08,Exeter,0,1,Gloucester,D,home,1.14,5.99,0,0,Gloucester,Exeter,D,away,5.99,1.14,False,True,False,1,10,0.0
40,2016-10-09,Saracens,1,1,Wasps,W,home,1.42,3.01,0,0,Wasps,Saracens,L,away,3.01,1.42,True,True,True,1,10,14.2
41,2016-10-28,Northampton,1,1,Gloucester,W,home,1.3,3.62,0,0,Gloucester,Northampton,L,away,3.62,1.3,True,True,True,1,10,13.0
42,2016-10-29,Harlequins,1,1,Worcester,W,home,1.13,6.13,0,0,Worcester,Harlequins,L,away,6.13,1.13,True,True,True,1,10,11.299999999999999
43,2016-10-29,Saracens,1,1,Leicester,W,home,1.13,6.31,0,0,Leicester,Saracens,L,away,6.31,1.13,True,True,True,1,10,11.299999999999999
44,2016-10-30,Exeter,0,1,Bath,L,home,1.52,2.64,1,0,Bath,Exeter,W,away,2.64,1.52,False,True,False,1,10,0.0
45,2016-10-30,Wasps,1,1,Newcastle,W,home,1.03,12.28,0,0,Newcastle,Wasps,L,away,12.28,1.03,True,True,True,1,10,10.3
46,2016-10-30,Bristol,0,0,Sale,L,home,2.74,1.48,1,1,Sale,Bristol,W,away,1.48,2.74,True,True,True,1,10,14.8
47,2016-11-18,Bath,1,1,Bristol,W,home,1.09,7.35,0,0,Bristol,Bath,L,away,7.35,1.09,True,True,True,1,10,10.9
48,2016-11-18,Worcester,0,0,Northampton,L,home,2.07,1.79,1,1,Northampton,Worcester,W,away,1.79,2.07,True,True,True,1,10,17.9
49,2016-11-18,Newcastle,0,0,Exeter,L,home,3.16,1.38,1,1,Exeter,Newcastle,W,away,1.38,3.16,True,True,True,1,10,13.799999999999999
50,2016-11-19,Gloucester,1,0,Wasps,W,home,2.64,1.52,0,1,Wasps,Gloucester,L,away,1.52,2.64,False,True,False,1,10,0.0
51,2016-11-20,Leicester,1,1,Harlequins,W,home,1.22,4.5,0,0,Harlequins,Leicester,L,away,4.5,1.22,True,True,True,1,10,12.2
52,2016-11-20,Sale,0,1,Saracens,L,home,2.27,1.69,1,0,Saracens,Sale,W,away,1.69,2.27,False,True,True,1,10,0.0
53,2016-11-25,Northampton,0,1,Newcastle,L,home,1.17,5.25,1,0,Newcastle,Northampton,W,away,5.25,1.17,False,True,False,1,10,0.0
54,2016-11-25,Bristol,0,0,Leicester,L,home,5.05,1.18,1,1,Leicester,Bristol,W,away,1.18,5.05,True,True,True,1,10,11.799999999999999
55,2016-11-26,Exeter,1,1,Worcester,W,home,1.06,9.28,0,0,Worcester,Exeter,L,away,9.28,1.06,True,True,True,1,10,10.600000000000001
56,2016-11-27,Saracens,1,1,Gloucester,W,home,1.13,6.17,0,0,Gloucester,Saracens,L,away,6.17,1.13,True,True,True,1,10,11.299999999999999
57,2016-11-27,Harlequins,1,1,Bath,W,home,1.46,2.8,0,0,Bath,Harlequins,L,away,2.8,1.46,True,True,True,1,10,14.6
58,2016-11-27,Wasps,1,1,Sale,W,home,1.14,5.98,0,0,Sale,Wasps,L,away,5.98,1.14,True,True,True,1,10,11.399999999999999
59,2016-12-02,Sale,0,1,Exeter,L,home,2.32,1.66,1,0,Exeter,Sale,W,away,1.66,2.32,False,True,True,1,10,0.0
60,2016-12-03,Bath,1,0,Saracens,W,home,2.32,1.66,0,1,Saracens,Bath,L,away,1.66,2.32,False,True,False,1,10,0.0
61,2016-12-03,Leicester,1,1,Northampton,W,home,1.36,3.29,0,0,Northampton,Leicester,L,away,3.29,1.36,True,True,True,1,10,13.600000000000001
62,2016-12-03,Gloucester,1,1,Bristol,W,home,1.12,6.32,0,0,Bristol,Gloucester,L,away,6.32,1.12,True,True,True,1,10,11.200000000000001
63,2016-12-04,Worcester,0,0,Wasps,L,home,2.76,1.5,1,1,Wasps,Worcester,W,away,1.5,2.76,True,True,True,1,10,15.0
64,2016-12-23,Northampton,1,1,Sale,W,home,1.23,4.35,0,0,Sale,Northampton,L,away,4.35,1.23,True,True,True,1,10,12.3
65,2016-12-24,Saracens,1,1,Newcastle,W,home,1.03,12.75,0,0,Newcastle,Saracens,L,away,12.75,1.03,True,True,True,1,10,10.3
66,2016-12-24,Exeter,1,1,Leicester,W,home,1.31,3.67,0,0,Leicester,Exeter,L,away,3.67,1.31,True,True,True,1,10,13.100000000000001
67,2016-12-24,Wasps,1,1,Bath,W,home,1.31,3.63,0,0,Bath,Wasps,L,away,3.63,1.31,True,True,True,1,10,13.100000000000001
68,2016-12-26,Bristol,1,1,Worcester,W,home,1.64,2.36,0,0,Worcester,Bristol,L,away,2.36,1.64,True,True,True,1,10,16.4
69,2016-12-30,Newcastle,0,0,Wasps,L,home,3.92,1.27,1,1,Wasps,Newcastle,W,away,1.27,3.92,True,True,True,1,10,12.7
70,2016-12-31,Bath,0,0,Exeter,L,home,1.56,2.51,1,1,Exeter,Bath,W,away,2.51,1.56,True,True,False,1,10,25.099999999999998
71,2017-01-01,Sale,0,1,Bristol,L,home,1.25,4.17,1,0,Bristol,Sale,W,away,4.17,1.25,False,True,False,1,10,0.0
72,2017-01-01,Gloucester,0,0,Northampton,L,home,1.7,2.24,1,1,Northampton,Gloucester,W,away,2.24,1.7,True,True,False,1,10,22.400000000000002
73,2017-01-01,Leicester,0,1,Saracens,L,home,2.47,1.58,1,0,Saracens,Leicester,W,away,1.58,2.47,False,True,True,1,10,0.0
74,2017-01-01,Worcester,1,0,Harlequins,W,home,2.57,1.55,0,1,Harlequins,Worcester,L,away,1.55,2.57,False,True,False,1,10,0.0
75,2017-01-06,Newcastle,1,0,Bath,W,home,2.39,1.62,0,1,Bath,Newcastle,L,away,1.62,2.39,False,True,False,1,10,0.0
76,2017-01-07,Saracens,0,1,Exeter,D,home,1.25,4.16,0,0,Exeter,Saracens,D,away,4.16,1.25,False,True,False,1,10,0.0
77,2017-01-07,Gloucester,1,1,Worcester,W,home,1.17,5.17,0,0,Worcester,Gloucester,L,away,5.17,1.17,True,True,True,1,10,11.7
78,2017-01-07,Northampton,1,1,Bristol,W,home,1.12,6.29,0,0,Bristol,Northampton,L,away,6.29,1.12,True,True,True,1,10,11.200000000000001
79,2017-01-07,Harlequins,1,1,Sale,W,home,1.17,5.17,0,0,Sale,Harlequins,L,away,5.17,1.17,True,True,True,1,10,11.7
80,2017-01-08,Wasps,1,1,Leicester,W,home,1.14,5.82,0,0,Leicester,Wasps,L,away,5.82,1.14,True,True,True,1,10,11.399999999999999
81,2017-02-10,Bristol,0,1,Harlequins,L,home,1.43,2.93,1,0,Harlequins,Bristol,W,away,2.93,1.43,False,True,False,1,10,0.0
82,2017-02-10,Sale,1,1,Newcastle,W,home,1.53,2.59,0,0,Newcastle,Sale,L,away,2.59,1.53,True,True,True,1,10,15.3
83,2017-02-11,Worcester,1,0,Saracens,W,home,3.58,1.3,0,1,Saracens,Worcester,L,away,1.3,3.58,False,True,False,1,10,0.0
84,2017-02-11,Leicester,1,1,Gloucester,W,home,1.36,3.22,0,0,Gloucester,Leicester,L,away,3.22,1.36,True,True,True,1,10,13.600000000000001
85,2017-02-12,Exeter,0,1,Wasps,D,home,1.6,2.41,0,0,Wasps,Exeter,D,away,2.41,1.6,False,True,False,1,10,0.0
86,2017-02-18,Leicester,1,1,Bristol,W,home,1.03,12.43,0,0,Bristol,Leicester,L,away,12.43,1.03,True,True,True,1,10,10.3
87,2017-02-18,Worcester,0,0,Exeter,L,home,2.92,1.43,1,1,Exeter,Worcester,W,away,1.43,2.92,True,True,True,1,10,14.299999999999999
88,2017-02-18,Bath,1,1,Harlequins,W,home,1.21,4.58,0,0,Harlequins,Bath,L,away,4.58,1.21,True,True,True,1,10,12.1
89,2017-02-19,Sale,1,0,Wasps,W,home,3.49,1.34,0,1,Wasps,Sale,L,away,1.34,3.49,False,True,False,1,10,0.0
90,2017-02-19,Newcastle,1,0,Northampton,W,home,1.7,2.22,0,1,Northampton,Newcastle,L,away,2.22,1.7,False,True,True,1,10,0.0
91,2017-02-24,Harlequins,0,0,Leicester,L,home,2.18,1.73,1,1,Leicester,Harlequins,W,away,1.73,2.18,True,True,True,1,10,17.3
92,2017-02-25,Northampton,1,1,Worcester,W,home,1.23,4.36,0,0,Worcester,Northampton,L,away,4.36,1.23,True,True,True,1,10,12.3
93,2017-02-25,Exeter,1,1,Newcastle,W,home,1.21,4.51,0,0,Newcastle,Exeter,L,away,4.51,1.21,True,True,True,1,10,12.1
94,2017-02-25,Saracens,1,1,Sale,W,home,1.17,5.21,0,0,Sale,Saracens,L,away,5.21,1.17,True,True,True,1,10,11.7
95,2017-02-26,Wasps,1,1,Gloucester,W,home,1.16,5.38,0,0,Gloucester,Wasps,L,away,5.38,1.16,True,True,True,1,10,11.6
96,2017-02-26,Bristol,1,0,Bath,W,home,3.49,1.33,0,1,Bath,Bristol,L,away,1.33,3.49,False,True,False,1,10,0.0
97,2017-03-03,Leicester,0,1,Exeter,L,home,1.59,2.49,1,0,Exeter,Leicester,W,away,2.49,1.59,False,True,False,1,10,0.0
98,2017-03-03,Sale,0,1,Northampton,L,home,1.52,2.65,1,0,Northampton,Sale,W,away,2.65,1.52,False,True,False,1,10,0.0
99,2017-03-04,Gloucester,0,1,Harlequins,L,home,1.28,3.87,1,0,Harlequins,Gloucester,W,away,3.87,1.28,False,True,False,1,10,0.0
100,2017-03-05,Newcastle,0,0,Saracens,L,home,2.95,1.43,1,1,Saracens,Newcastle,W,away,1.43,2.95,True,True,True,1,10,14.299999999999999
101,2017-03-05,Worcester,1,1,Bristol,W,home,1.47,2.79,0,0,Bristol,Worcester,L,away,2.79,1.47,True,True,True,1,10,14.7
102,2017-03-24,Bristol,0,0,Gloucester,L,home,2.52,1.55,1,1,Gloucester,Bristol,W,away,1.55,2.52,True,True,True,1,10,15.5
103,2017-03-25,Exeter,1,1,Sale,W,home,1.07,9.09,0,0,Sale,Exeter,L,away,9.09,1.07,True,True,True,1,10,10.700000000000001
104,2017-03-25,Harlequins,1,1,Newcastle,W,home,1.21,4.53,0,0,Newcastle,Harlequins,L,away,4.53,1.21,True,True,True,1,10,12.1
105,2017-03-26,Saracens,1,1,Bath,W,home,1.23,4.27,0,0,Bath,Saracens,L,away,4.27,1.23,True,True,True,1,10,12.3
106,2017-03-26,Wasps,1,1,Worcester,W,home,1.03,12.6,0,0,Worcester,Wasps,L,away,12.6,1.03,True,True,True,1,10,10.3
107,2017-04-07,Sale,1,1,Worcester,W,home,1.4,3.07,0,0,Worcester,Sale,L,away,3.07,1.4,True,True,True,1,10,14.0
108,2017-04-08,Saracens,1,1,Harlequins,W,home,1.15,5.56,0,0,Harlequins,Saracens,L,away,5.56,1.15,True,True,True,1,10,11.5
109,2017-04-08,Exeter,1,1,Bristol,W,home,1.02,14.67,0,0,Bristol,Exeter,L,away,14.67,1.02,True,True,True,1,10,10.2
110,2017-04-08,Bath,1,0,Leicester,W,home,1.87,2.01,0,1,Leicester,Bath,L,away,2.01,1.87,False,True,True,1,10,0.0
111,2017-04-09,Wasps,1,1,Northampton,W,home,1.17,5.12,0,0,Northampton,Wasps,L,away,5.12,1.17,True,True,True,1,10,11.7
112,2017-04-14,Harlequins,0,0,Exeter,L,home,1.66,2.28,1,1,Exeter,Harlequins,W,away,2.28,1.66,True,True,False,1,10,22.799999999999997
113,2017-04-15,Gloucester,1,1,Sale,W,home,1.35,3.24,0,0,Sale,Gloucester,L,away,3.24,1.35,True,True,True,1,10,13.5
114,2017-04-15,Worcester,1,0,Bath,W,home,3.38,1.35,0,1,Bath,Worcester,L,away,1.35,3.38,False,True,False,1,10,0.0
115,2017-04-15,Leicester,1,1,Newcastle,W,home,1.1,6.82,0,0,Newcastle,Leicester,L,away,6.82,1.1,True,True,True,1,10,11.0
116,2017-04-16,Bristol,0,0,Wasps,L,home,7.23,1.09,1,1,Wasps,Bristol,W,away,1.09,7.23,True,True,True,1,10,10.9
117,2017-04-28,Newcastle,1,1,Worcester,W,home,1.4,3.0,0,0,Worcester,Newcastle,L,away,3.0,1.4,True,True,True,1,10,14.0
118,2017-04-29,Saracens,1,1,Bristol,W,home,1.01,19.89,0,0,Bristol,Saracens,L,away,19.89,1.01,True,True,True,1,10,10.1
119,2017-04-29,Exeter,1,1,Northampton,W,home,1.28,3.75,0,0,Northampton,Exeter,L,away,3.75,1.28,True,True,True,1,10,12.8
120,2017-04-29,Leicester,1,1,Sale,W,home,1.09,7.33,0,0,Sale,Leicester,L,away,7.33,1.09,True,True,True,1,10,10.9
121,2017-05-06,Worcester,0,0,Leicester,L,home,2.79,1.46,1,1,Leicester,Worcester,W,away,1.46,2.79,True,True,True,1,10,14.6
122,2017-05-06,Bristol,0,0,Newcastle,L,home,2.37,1.6,1,1,Newcastle,Bristol,W,away,1.6,2.37,True,True,True,1,10,16.0
123,2017-05-06,Sale,1,1,Bath,W,home,2.29,1.65,0,0,Bath,Sale,L,away,1.65,2.29,True,True,False,1,10,22.9
124,2017-05-06,Wasps,1,1,Saracens,W,home,1.35,3.31,0,0,Saracens,Wasps,L,away,3.31,1.35,True,True,True,1,10,13.5
125,2017-05-06,Northampton,1,1,Harlequins,W,home,1.43,2.88,0,0,Harlequins,Northampton,L,away,2.88,1.43,True,True,True,1,10,14.299999999999999
126,2017-05-06,Gloucester,0,0,Exeter,L,home,3.08,1.38,1,1,Exeter,Gloucester,W,away,1.38,3.08,True,True,True,1,10,13.799999999999999
127,2017-05-20,Wasps,1,1,Leicester,W,home,1.23,4.22,0,0,Leicester,Wasps,L,away,4.22,1.23,True,True,True,1,10,12.3
128,2017-05-20,Exeter,1,0,Saracens,W,home,3.04,1.42,0,1,Saracens,Exeter,L,away,1.42,3.04,False,True,False,1,10,0.0
