,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
0,2016-09-04,Wasps,1,1,Exeter,W,home,1.63,2.36,0,0,Exeter,Wasps,L,away,2.36,1.63,True,True,True,2,5,8.149999999999999
1,2016-09-11,Exeter,0,0,Saracens,L,home,2.21,1.71,1,1,Saracens,Exeter,W,away,1.71,2.21,True,True,True,2,5,8.55
2,2016-09-25,Leicester,1,0,Bath,W,home,1.56,2.52,0,1,Bath,Leicester,L,away,2.52,1.56,False,True,True,2,5,0.0
3,2016-09-30,Northampton,1,1,Exeter,W,home,1.56,2.55,0,0,Exeter,Northampton,L,away,2.55,1.56,True,True,True,2,5,7.800000000000001
4,2016-10-02,Worcester,1,0,Newcastle,W,home,1.61,2.4,0,1,Newcastle,Worcester,L,away,2.4,1.61,False,True,True,2,5,0.0
5,2016-12-04,Newcastle,1,0,Harlequins,W,home,2.23,1.71,0,1,Harlequins,Newcastle,L,away,1.71,2.23,False,True,False,2,5,0.0
6,2016-12-27,Harlequins,1,1,Gloucester,W,home,1.38,3.18,0,0,Gloucester,Harlequins,L,away,3.18,1.38,True,True,True,2,5,6.8999999999999995
7,2017-02-10,Bath,1,1,Northampton,W,home,1.45,2.87,0,0,Northampton,Bath,L,away,2.87,1.45,True,True,True,2,5,7.25
8,2017-02-17,Gloucester,1,0,Saracens,W,home,2.55,1.57,0,1,Saracens,Gloucester,L,away,1.57,2.55,False,True,False,2,5,0.0
9,2017-03-04,Bath,0,1,Wasps,L,home,2.18,1.76,1,0,Wasps,Bath,W,away,1.76,2.18,False,True,True,2,5,0.0
10,2017-03-25,Northampton,0,1,Leicester,L,home,1.56,2.54,1,0,Leicester,Northampton,W,away,2.54,1.56,False,True,False,2,5,0.0
11,2017-04-07,Newcastle,1,0,Gloucester,W,home,1.57,2.5,0,1,Gloucester,Newcastle,L,away,2.5,1.57,False,True,True,2,5,0.0
12,2017-04-16,Northampton,0,0,Saracens,L,home,1.81,2.1,1,1,Saracens,Northampton,W,away,2.1,1.81,True,True,False,2,5,10.5
13,2017-04-28,Harlequins,1,0,Wasps,W,home,2.14,1.76,0,1,Wasps,Harlequins,L,away,1.76,2.14,False,True,False,2,5,0.0
14,2017-04-30,Bath,1,1,Gloucester,W,home,1.41,3.02,0,0,Gloucester,Bath,L,away,3.02,1.41,True,True,True,2,5,7.05
15,2016-09-02,Gloucester,0,0,Leicester,L,home,2.11,1.78,1,1,Leicester,Gloucester,W,away,1.78,2.11,True,True,True,1,10,17.8
16,2016-09-02,Newcastle,1,0,Sale,W,home,2.15,1.75,0,1,Sale,Newcastle,L,away,1.75,2.15,False,True,False,1,10,0.0
17,2016-09-03,Saracens,1,1,Worcester,W,home,1.03,12.49,0,0,Worcester,Saracens,L,away,12.49,1.03,True,True,True,1,10,10.3
18,2016-09-03,Northampton,0,1,Bath,L,home,1.4,3.09,1,0,Bath,Northampton,W,away,3.09,1.4,False,True,False,1,10,0.0
19,2016-09-09,Sale,1,1,Harlequins,W,home,1.77,2.13,0,0,Harlequins,Sale,L,away,2.13,1.77,True,True,True,1,10,17.7
20,2016-09-09,Worcester,0,0,Gloucester,D,home,2.37,1.62,0,1,Gloucester,Worcester,D,away,1.62,2.37,False,True,False,1,10,0.0
21,2016-09-10,Bath,1,1,Newcastle,W,home,1.14,5.85,0,0,Newcastle,Bath,L,away,5.85,1.14,True,True,True,1,10,11.399999999999999
22,2016-09-10,Leicester,0,1,Wasps,L,home,1.47,2.86,1,0,Wasps,Leicester,W,away,2.86,1.47,False,True,False,1,10,0.0
23,2016-09-16,Sale,0,1,Gloucester,L,home,1.54,2.58,1,0,Gloucester,Sale,W,away,2.58,1.54,False,True,False,1,10,0.0
24,2016-09-17,Saracens,1,1,Northampton,W,home,1.15,5.5,0,0,Northampton,Saracens,L,away,5.5,1.15,True,True,True,1,10,11.5
25,2016-09-17,Exeter,1,1,Harlequins,W,home,1.19,4.9,0,0,Harlequins,Exeter,L,away,4.9,1.19,True,True,True,1,10,11.899999999999999
26,2016-09-17,Bath,1,1,Worcester,W,home,1.07,8.71,0,0,Worcester,Bath,L,away,8.71,1.07,True,True,True,1,10,10.700000000000001
27,2016-09-18,Newcastle,0,0,Leicester,L,home,3.59,1.31,1,1,Leicester,Newcastle,W,away,1.31,3.59,True,True,True,1,10,13.100000000000001
28,2016-09-24,Gloucester,0,1,Newcastle,L,home,1.16,5.58,1,0,Newcastle,Gloucester,W,away,5.58,1.16,False,True,False,1,10,0.0
29,2016-09-24,Worcester,0,0,Sale,D,home,1.7,2.23,0,1,Sale,Worcester,D,away,2.23,1.7,False,True,False,1,10,0.0
