,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
0,1,1,2022-09-10,London Irish,Worcester,W,1.13,6.0,home,0,0,Worcester,London Irish,L,6.0,1.13,away,True,True,True,1,10,11.299999999999999
3,0,0,2022-09-10,Newcastle,Harlequins,L,2.92,1.42,home,1,1,Harlequins,Newcastle,W,1.42,2.92,away,True,True,True,1,10,14.2
4,1,0,2022-09-10,Exeter,Leicester,W,2.06,1.8,home,0,1,Leicester,Exeter,L,1.8,2.06,away,False,True,False,2,5,0.0
6,1,1,2022-09-10,Bristol,Bath,W,1.24,4.04,home,0,0,Bath,Bristol,L,4.04,1.24,away,True,True,True,1,10,12.4
8,1,1,2022-09-11,Gloucester,Wasps,W,1.36,3.16,home,0,0,Wasps,Gloucester,L,3.16,1.36,away,True,True,True,1,10,13.600000000000001
9,1,1,2022-09-11,Sale,Northampton,W,1.4,3.01,home,0,0,Northampton,Sale,L,3.01,1.4,away,True,True,True,1,10,14.0
12,0,0,2022-09-17,Bath,Sale,L,1.99,1.83,home,1,1,Sale,Bath,W,1.83,1.99,away,True,True,True,2,5,9.15
14,1,1,2022-09-17,Northampton,London Irish,W,1.42,2.89,home,0,0,London Irish,Northampton,L,2.89,1.42,away,True,True,True,1,10,14.2
17,0,1,2022-09-17,Wasps,Bristol,L,1.52,2.59,home,1,0,Bristol,Wasps,W,2.59,1.52,away,False,True,False,1,10,0.0
19,1,1,2022-09-17,Leicester,Newcastle,W,1.05,9.0,home,0,0,Newcastle,Leicester,L,9.0,1.05,away,True,True,True,1,10,10.5
20,0,0,2022-09-17,Harlequins,Saracens,L,2.62,1.5,home,1,1,Saracens,Harlequins,W,1.5,2.62,away,True,True,True,1,10,15.0
22,0,0,2022-09-18,Worcester,Exeter,L,5.62,1.13,home,1,1,Exeter,Worcester,W,1.13,5.62,away,True,True,True,1,10,11.299999999999999
24,0,1,2022-09-23,Bath,Wasps,L,1.82,2.01,home,1,0,Wasps,Bath,W,2.01,1.82,away,False,True,False,2,5,0.0
27,0,0,2022-09-24,Northampton,Leicester,L,1.82,2.03,home,1,1,Leicester,Northampton,W,2.03,1.82,away,True,True,False,1,10,20.299999999999997
30,1,1,2022-09-24,Saracens,Gloucester,W,1.21,4.3,home,0,0,Gloucester,Saracens,L,4.3,1.21,away,True,True,True,1,10,12.1
31,1,1,2022-09-24,Bristol,London Irish,W,1.31,3.47,home,0,0,London Irish,Bristol,L,3.47,1.31,away,True,True,True,1,10,13.100000000000001
32,1,1,2022-09-24,Worcester,Newcastle,W,1.74,2.14,home,0,0,Newcastle,Worcester,L,2.14,1.74,away,True,True,True,2,5,8.7
34,1,1,2022-09-25,Exeter,Harlequins,W,1.29,3.65,home,0,0,Harlequins,Exeter,L,3.65,1.29,away,True,True,True,1,10,12.9
37,1,0,2022-09-30,Newcastle,Bristol,W,2.4,1.59,home,0,1,Bristol,Newcastle,L,1.59,2.4,away,False,True,False,2,5,0.0
38,1,1,2022-10-01,Saracens,Leicester,W,1.42,2.89,home,0,0,Leicester,Saracens,L,2.89,1.42,away,True,True,True,1,10,14.2
39,1,1,2022-10-01,Sale,Exeter,W,1.61,2.34,home,0,0,Exeter,Sale,L,2.34,1.61,away,True,True,True,1,10,16.1
41,1,1,2022-10-01,London Irish,Bath,W,1.29,3.58,home,0,0,Bath,London Irish,L,3.58,1.29,away,True,True,True,1,10,12.9
44,1,1,2022-10-02,Harlequins,Northampton,W,1.45,2.78,home,0,0,Northampton,Harlequins,L,2.78,1.45,away,True,True,True,1,10,14.5
47,0,0,2022-10-07,Bristol,Exeter,L,2.02,1.82,home,1,1,Exeter,Bristol,W,1.82,2.02,away,True,True,True,1,10,18.2
48,0,0,2022-10-08,Bath,Gloucester,L,3.28,1.34,home,1,1,Gloucester,Bath,W,1.34,3.28,away,True,True,True,1,10,13.4
50,0,1,2022-10-08,Leicester,Sale,L,1.33,3.34,home,1,0,Sale,Leicester,W,3.34,1.33,away,False,True,False,1,10,0.0
52,0,0,2022-10-09,Wasps,Northampton,L,1.87,1.95,home,1,1,Northampton,Wasps,W,1.95,1.87,away,True,True,False,1,10,19.5
53,0,0,2022-10-09,Newcastle,Saracens,L,3.86,1.26,home,1,1,Saracens,Newcastle,W,1.26,3.86,away,True,True,True,1,10,12.6
57,1,1,2022-10-14,Sale,London Irish,W,1.18,4.8,home,0,0,London Irish,Sale,L,4.8,1.18,away,True,True,True,1,10,11.799999999999999
58,1,1,2022-10-15,Northampton,Newcastle,W,1.08,7.32,home,0,0,Newcastle,Northampton,L,7.32,1.08,away,True,True,True,1,10,10.8
60,1,1,2022-10-15,Saracens,Bath,W,1.04,10.08,home,0,0,Bath,Saracens,L,10.08,1.04,away,True,True,True,1,10,10.4
63,1,1,2022-10-15,Gloucester,Bristol,W,1.28,3.73,home,0,0,Bristol,Gloucester,L,3.73,1.28,away,True,True,True,1,10,12.8
64,0,1,2022-10-16,Harlequins,Leicester,L,1.67,2.23,home,1,0,Leicester,Harlequins,W,2.23,1.67,away,False,True,False,1,10,0.0
66,0,1,2022-10-21,London Irish,Gloucester,L,1.74,2.12,home,1,0,Gloucester,London Irish,W,2.12,1.74,away,False,True,False,2,5,0.0
69,0,1,2022-10-22,Exeter,Saracens,L,1.77,2.09,home,1,0,Saracens,Exeter,W,2.09,1.77,away,False,True,False,1,10,0.0
70,1,0,2022-10-22,Bath,Northampton,W,2.57,1.51,home,0,1,Northampton,Bath,L,1.51,2.57,away,False,True,False,1,10,0.0
72,0,1,2022-10-23,Sale,Harlequins,L,1.29,3.59,home,1,0,Harlequins,Sale,W,3.59,1.29,away,False,True,False,1,10,0.0
74,1,0,2022-10-28,Gloucester,Exeter,W,1.88,1.96,home,0,1,Exeter,Gloucester,L,1.96,1.88,away,False,True,True,1,10,0.0
76,1,1,2022-10-29,Harlequins,London Irish,W,1.24,4.01,home,0,0,London Irish,Harlequins,L,4.01,1.24,away,True,True,True,1,10,12.4
77,1,1,2022-10-29,Northampton,Bristol,W,1.78,2.07,home,0,0,Bristol,Northampton,L,2.07,1.78,away,True,True,True,1,10,17.8
81,1,1,2022-10-30,Saracens,Sale,W,1.51,2.59,home,0,0,Sale,Saracens,L,2.59,1.51,away,True,True,True,1,10,15.1
83,1,1,2022-11-04,Northampton,Exeter,W,1.64,2.3,home,0,0,Exeter,Northampton,L,2.3,1.64,away,True,True,True,2,5,8.2
