,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
85,1,1,2022-11-05,Sale,Gloucester,W,1.25,3.9,home,0,0,Gloucester,Sale,L,3.9,1.25,away,True,True,True,1,10,12.5
87,0,0,2022-11-05,Bristol,Saracens,L,3.14,1.36,home,1,1,Saracens,Bristol,W,1.36,3.14,away,True,True,True,1,10,13.600000000000001
89,0,1,2022-11-05,Newcastle,Bath,L,1.67,2.24,home,1,0,Bath,Newcastle,W,2.24,1.67,away,False,True,False,1,10,0.0
90,1,0,2022-11-11,Bath,Leicester,W,2.61,1.51,home,0,1,Leicester,Bath,L,1.51,2.61,away,False,True,False,1,10,0.0
93,0,1,2022-11-12,Gloucester,Newcastle,L,1.14,5.51,home,1,0,Newcastle,Gloucester,W,5.51,1.14,away,False,True,False,1,10,0.0
95,1,1,2022-11-12,Exeter,London Irish,W,1.49,2.65,home,0,0,London Irish,Exeter,L,2.65,1.49,away,True,True,True,1,10,14.9
96,1,1,2022-11-13,Saracens,Northampton,W,1.41,2.94,home,0,0,Northampton,Saracens,L,2.94,1.41,away,True,True,True,1,10,14.1
99,1,1,2022-11-25,Harlequins,Gloucester,W,1.43,2.88,home,0,0,Gloucester,Harlequins,L,2.88,1.43,away,True,True,True,1,10,14.299999999999999
101,1,0,2022-11-25,Newcastle,Exeter,W,2.27,1.65,home,0,1,Exeter,Newcastle,L,1.65,2.27,away,False,True,False,1,10,0.0
103,1,1,2022-11-26,Sale,Bristol,W,1.26,3.82,home,0,0,Bristol,Sale,L,3.82,1.26,away,True,True,True,1,10,12.6
105,1,1,2022-11-27,Leicester,London Irish,W,1.24,4.02,home,0,0,London Irish,Leicester,L,4.02,1.24,away,True,True,True,1,10,12.4
107,0,0,2022-12-02,Bath,Harlequins,L,2.08,1.77,home,1,1,Harlequins,Bath,W,1.77,2.08,away,True,True,True,1,10,17.7
108,0,1,2022-12-03,Bristol,Leicester,D,2.22,1.67,home,0,0,Leicester,Bristol,D,1.67,2.22,away,False,True,False,1,10,0.0
110,1,1,2022-12-03,Gloucester,Northampton,W,1.59,2.38,home,0,0,Northampton,Gloucester,L,2.38,1.59,away,True,True,True,1,10,15.9
111,1,1,2022-12-03,London Irish,Newcastle,W,1.28,3.68,home,0,0,Newcastle,London Irish,L,3.68,1.28,away,True,True,True,1,10,12.8
115,1,0,2022-12-23,Newcastle,Sale,W,2.66,1.5,home,0,1,Sale,Newcastle,L,1.5,2.66,away,False,True,False,1,10,0.0
117,1,0,2022-12-23,London Irish,Saracens,W,3.14,1.36,home,0,1,Saracens,London Irish,L,1.36,3.14,away,False,True,False,1,10,0.0
118,1,1,2022-12-24,Leicester,Gloucester,W,1.5,2.61,home,0,0,Gloucester,Leicester,L,2.61,1.5,away,True,True,True,1,10,15.0
120,1,1,2022-12-24,Exeter,Bath,W,1.2,4.52,home,0,0,Bath,Exeter,L,4.52,1.2,away,True,True,True,1,10,12.0
123,0,1,2022-12-27,Harlequins,Bristol,L,1.28,3.7,home,1,0,Bristol,Harlequins,W,3.7,1.28,away,False,True,False,1,10,0.0
125,1,1,2022-12-30,Sale,Leicester,W,1.58,2.42,home,0,0,Leicester,Sale,L,2.42,1.58,away,True,True,True,1,10,15.8
127,1,1,2022-12-31,Bath,Newcastle,W,1.26,3.97,home,0,0,Newcastle,Bath,L,3.97,1.26,away,True,True,True,1,10,12.6
129,1,1,2022-12-31,Gloucester,London Irish,W,1.37,3.17,home,0,0,London Irish,Gloucester,L,3.17,1.37,away,True,True,True,1,10,13.700000000000001
131,1,1,2022-12-31,Saracens,Exeter,W,1.15,5.62,home,0,0,Exeter,Saracens,L,5.62,1.15,away,True,True,True,1,10,11.5
133,1,1,2023-01-01,Northampton,Harlequins,W,1.52,2.55,home,0,0,Harlequins,Northampton,L,2.55,1.52,away,True,True,True,2,5,7.6
134,0,0,2023-01-06,Gloucester,Saracens,L,3.0,1.41,home,1,1,Saracens,Gloucester,W,1.41,3.0,away,True,True,True,1,10,14.1
137,1,1,2023-01-07,Exeter,Northampton,W,1.32,3.43,home,0,0,Northampton,Exeter,L,3.43,1.32,away,True,True,True,1,10,13.200000000000001
138,1,0,2023-01-07,Newcastle,Leicester,W,2.21,1.7,home,0,1,Leicester,Newcastle,L,1.7,2.21,away,False,True,False,1,10,0.0
140,1,1,2023-01-08,London Irish,Bristol,W,1.89,1.94,home,0,0,Bristol,London Irish,L,1.94,1.89,away,True,True,True,1,10,18.9
141,0,0,2023-01-08,Harlequins,Sale,L,2.14,1.74,home,1,1,Sale,Harlequins,W,1.74,2.14,away,True,True,True,2,5,8.7
145,1,1,2023-01-27,Sale,Bath,W,1.34,3.29,home,0,0,Bath,Sale,L,3.29,1.34,away,True,True,True,1,10,13.4
146,1,1,2023-01-28,Exeter,Gloucester,W,1.51,2.61,home,0,0,Gloucester,Exeter,L,2.61,1.51,away,True,True,True,1,10,15.1
147,0,1,2023-01-28,Leicester,Northampton,L,1.24,4.11,home,1,0,Northampton,Leicester,W,4.11,1.24,away,False,True,False,1,10,0.0
149,1,1,2023-01-28,Saracens,Bristol,W,1.35,3.21,home,0,0,Bristol,Saracens,L,3.21,1.35,away,True,True,True,1,10,13.5
