,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
245,0,0,2020-09-29,Northampton,Sale,L,3.29,1.35,home,1,1,Sale,Northampton,W,1.35,3.29,away,True,True,True,1,10,13.5
248,0,1,2020-09-30,Exeter,London Irish,L,1.3,3.66,home,1,0,London Irish,Exeter,W,3.66,1.3,away,False,True,False,1,10,0.0
250,1,1,2020-09-30,Bristol,Leicester,W,1.03,11.64,home,0,0,Leicester,Bristol,L,11.64,1.03,away,True,True,True,1,10,10.3
251,1,1,2020-09-30,Worcester,Saracens,W,1.26,4.1,home,0,0,Saracens,Worcester,L,4.1,1.26,away,True,True,True,1,10,12.6
254,0,1,2020-10-04,Leicester,Harlequins,L,1.54,2.57,home,1,0,Harlequins,Leicester,W,2.57,1.54,away,False,True,False,1,10,0.0
255,0,1,2020-10-04,Saracens,Bath,D,1.79,2.06,home,0,0,Bath,Saracens,D,2.06,1.79,away,False,True,False,1,10,0.0
256,1,1,2020-10-04,Wasps,Exeter,W,1.06,8.42,home,0,0,Exeter,Wasps,L,8.42,1.06,away,True,True,True,1,10,10.600000000000001
257,0,0,2020-10-04,London Irish,Bristol,L,6.12,1.12,home,1,1,Bristol,London Irish,W,1.12,6.12,away,True,True,True,1,10,11.200000000000001
261,1,1,2020-10-10,Wasps,Bristol,W,1.72,2.18,home,0,0,Bristol,Wasps,L,2.18,1.72,away,True,True,True,2,5,8.6
263,1,1,2020-10-10,Exeter,Bath,W,1.23,4.27,home,0,0,Bath,Exeter,L,4.27,1.23,away,True,True,True,1,10,12.3
265,1,1,2020-10-24,Exeter,Wasps,W,1.2,4.73,home,0,0,Wasps,Exeter,L,4.73,1.2,away,True,True,True,1,10,12.0
