,actual_x,prediction_x,date,team_x,opponent_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,bet,return
0,1,1,2019-10-18,Bristol,Bath,W,1.33,3.51,home,0,0,Bath,Bristol,L,3.51,1.33,away,True,True,True,1,10,13.3
4,0,1,2019-10-19,Saracens,Northampton,L,1.1,6.8,home,1,0,Northampton,Saracens,W,6.8,1.1,away,False,True,False,1,10,0.0
5,0,1,2019-10-19,Sale,Gloucester,L,1.45,2.85,home,1,0,Gloucester,Sale,W,2.85,1.45,away,False,True,False,1,10,0.0
6,1,1,2019-10-19,Exeter,Harlequins,W,1.24,4.22,home,0,0,Harlequins,Exeter,L,4.22,1.24,away,True,True,True,1,10,12.4
8,1,1,2019-10-19,Worcester,Leicester,W,1.37,3.22,home,0,0,Leicester,Worcester,L,3.22,1.37,away,True,True,True,1,10,13.700000000000001
11,0,1,2019-10-20,Wasps,London Irish,L,1.11,6.46,home,1,0,London Irish,Wasps,W,6.46,1.11,away,False,True,False,1,10,0.0
12,1,0,2019-10-25,Bath,Exeter,W,2.96,1.42,home,0,1,Exeter,Bath,L,1.42,2.96,away,False,True,False,1,10,0.0
14,1,1,2019-10-26,Northampton,Worcester,W,1.22,4.39,home,0,0,Worcester,Northampton,L,4.39,1.22,away,True,True,True,1,10,12.2
15,0,0,2019-10-26,London Irish,Sale,L,2.97,1.43,home,1,1,Sale,London Irish,W,1.43,2.97,away,True,True,True,1,10,14.299999999999999
16,1,1,2019-10-26,Gloucester,Wasps,W,1.2,4.67,home,0,0,Wasps,Gloucester,L,4.67,1.2,away,True,True,True,1,10,12.0
17,1,1,2019-10-26,Harlequins,Bristol,W,1.4,3.04,home,0,0,Bristol,Harlequins,L,3.04,1.4,away,True,True,True,1,10,14.0
23,0,0,2019-10-27,Leicester,Saracens,L,2.73,1.49,home,1,1,Saracens,Leicester,W,1.49,2.73,away,True,True,True,1,10,14.9
24,1,1,2019-11-01,Bristol,Sale,W,1.57,2.54,home,0,0,Sale,Bristol,L,2.54,1.57,away,True,True,True,1,10,15.700000000000001
25,1,1,2019-11-01,Northampton,Harlequins,W,1.45,2.87,home,0,0,Harlequins,Northampton,L,2.87,1.45,away,True,True,True,1,10,14.5
28,1,1,2019-11-02,Wasps,Bath,W,1.46,2.82,home,0,0,Bath,Wasps,L,2.82,1.46,away,True,True,True,1,10,14.6
32,1,1,2019-11-02,Saracens,London Irish,W,1.06,8.56,home,0,0,London Irish,Saracens,L,8.56,1.06,away,True,True,True,1,10,10.600000000000001
33,1,0,2019-11-02,Leicester,Gloucester,W,3.22,1.38,home,0,1,Gloucester,Leicester,L,1.38,3.22,away,False,True,False,1,10,0.0
35,0,0,2019-11-03,Worcester,Exeter,L,3.71,1.29,home,1,1,Exeter,Worcester,W,1.29,3.71,away,True,True,True,1,10,12.9
36,1,1,2019-11-08,Sale,Wasps,W,1.24,4.12,home,0,0,Wasps,Sale,L,4.12,1.24,away,True,True,True,1,10,12.4
38,0,1,2019-11-09,Harlequins,Worcester,L,1.22,4.46,home,1,0,Worcester,Harlequins,W,4.46,1.22,away,False,True,False,1,10,0.0
39,0,1,2019-11-09,Gloucester,Saracens,L,1.35,3.33,home,1,0,Saracens,Gloucester,W,3.33,1.35,away,False,True,False,1,10,0.0
42,1,1,2019-11-09,Bath,Northampton,W,1.84,2.03,home,0,0,Northampton,Bath,L,2.03,1.84,away,True,True,True,1,10,18.400000000000002
45,1,1,2019-11-10,London Irish,Leicester,W,1.67,2.28,home,0,0,Leicester,London Irish,L,2.28,1.67,away,True,True,True,2,5,8.35
47,0,1,2019-11-10,Exeter,Bristol,L,1.17,5.1,home,1,0,Bristol,Exeter,W,5.1,1.17,away,False,True,False,1,10,0.0
48,0,0,2019-11-29,Bath,Saracens,L,4.89,1.19,home,1,1,Saracens,Bath,W,1.19,4.89,away,True,True,True,1,10,11.899999999999999
51,1,1,2019-11-30,Exeter,Wasps,W,1.09,7.32,home,0,0,Wasps,Exeter,L,7.32,1.09,away,True,True,True,1,10,10.9
53,1,1,2019-11-30,Northampton,Leicester,W,1.48,2.77,home,0,0,Leicester,Northampton,L,2.77,1.48,away,True,True,True,1,10,14.8
54,1,0,2019-11-30,Worcester,Sale,W,2.25,1.69,home,0,1,Sale,Worcester,L,1.69,2.25,away,False,True,False,2,5,0.0
56,1,1,2019-12-01,Harlequins,Gloucester,W,1.73,2.18,home,0,0,Gloucester,Harlequins,L,2.18,1.73,away,True,True,True,1,10,17.3
58,0,1,2019-12-01,Bristol,London Irish,D,1.14,5.57,home,0,0,London Irish,Bristol,D,5.57,1.14,away,False,True,False,1,10,0.0
61,1,1,2019-12-20,Gloucester,Worcester,W,1.22,4.36,home,0,0,Worcester,Gloucester,L,4.36,1.22,away,True,True,True,1,10,12.2
62,0,0,2019-12-21,Leicester,Exeter,L,2.49,1.58,home,1,1,Exeter,Leicester,W,1.58,2.49,away,True,True,True,1,10,15.8
63,1,1,2019-12-21,Sale,Northampton,W,1.62,2.36,home,0,0,Northampton,Sale,L,2.36,1.62,away,True,True,True,1,10,16.200000000000003
67,1,1,2019-12-21,Saracens,Bristol,W,1.07,7.97,home,0,0,Bristol,Saracens,L,7.97,1.07,away,True,True,True,1,10,10.700000000000001
68,0,1,2019-12-21,Wasps,Harlequins,L,1.73,2.16,home,1,0,Harlequins,Wasps,W,2.16,1.73,away,False,True,False,1,10,0.0
71,0,0,2019-12-22,London Irish,Bath,L,1.95,1.91,home,1,1,Bath,London Irish,W,1.91,1.95,away,True,True,True,1,10,19.099999999999998
73,0,1,2019-12-27,Bristol,Wasps,L,1.22,4.38,home,1,0,Wasps,Bristol,W,4.38,1.22,away,False,True,False,1,10,0.0
74,1,1,2019-12-28,Northampton,Gloucester,W,1.43,2.88,home,0,0,Gloucester,Northampton,L,2.88,1.43,away,True,True,True,1,10,14.299999999999999
75,1,1,2019-12-28,Worcester,London Irish,W,1.36,3.24,home,0,0,London Irish,Worcester,L,3.24,1.36,away,True,True,True,1,10,13.600000000000001
76,0,1,2019-12-28,Harlequins,Leicester,D,1.54,2.56,home,0,0,Leicester,Harlequins,D,2.56,1.54,away,False,True,False,1,10,0.0
81,1,1,2019-12-28,Bath,Sale,W,1.59,2.43,home,0,0,Sale,Bath,L,2.43,1.59,away,True,True,True,2,5,7.95
82,1,1,2019-12-29,Exeter,Saracens,W,2.19,1.72,home,0,0,Saracens,Exeter,L,1.72,2.19,away,True,True,False,1,10,21.9
85,1,1,2020-01-03,Sale,Harlequins,W,1.29,3.73,home,0,0,Harlequins,Sale,L,3.73,1.29,away,True,True,True,1,10,12.9
88,1,1,2020-01-04,Gloucester,Bath,W,1.56,2.51,home,0,0,Bath,Gloucester,L,2.51,1.56,away,True,True,True,2,5,7.800000000000001
89,1,1,2020-01-04,Leicester,Bristol,W,1.47,2.8,home,0,0,Bristol,Leicester,L,2.8,1.47,away,True,True,True,1,10,14.7
91,1,1,2020-01-04,Saracens,Worcester,W,1.01,14.64,home,0,0,Worcester,Saracens,L,14.64,1.01,away,True,True,True,1,10,10.1
94,0,0,2020-01-05,London Irish,Exeter,L,6.17,1.12,home,1,1,Exeter,London Irish,W,1.12,6.17,away,True,True,True,1,10,11.200000000000001
95,0,0,2020-01-05,Wasps,Northampton,L,2.28,1.65,home,1,1,Northampton,Wasps,W,1.65,2.28,away,True,True,True,2,5,8.25
97,0,1,2020-01-24,Northampton,London Irish,L,1.12,6.1,home,1,0,London Irish,Northampton,W,6.1,1.12,away,False,True,False,1,10,0.0
98,1,1,2020-01-25,Bath,Leicester,W,1.43,2.92,home,0,0,Leicester,Bath,L,2.92,1.43,away,True,True,True,1,10,14.299999999999999
100,1,1,2020-01-25,Bristol,Gloucester,W,1.89,1.96,home,0,0,Gloucester,Bristol,L,1.96,1.89,away,True,True,True,1,10,18.9
101,0,1,2020-01-25,Worcester,Wasps,L,1.72,2.19,home,1,0,Wasps,Worcester,W,2.19,1.72,away,False,True,False,2,5,0.0
103,0,1,2020-01-25,Exeter,Sale,L,1.33,3.39,home,1,0,Sale,Exeter,W,3.39,1.33,away,False,True,False,1,10,0.0
106,1,1,2020-01-26,Harlequins,Saracens,W,1.5,2.74,home,0,0,Saracens,Harlequins,L,2.74,1.5,away,True,True,True,1,10,15.0
109,0,1,2020-02-14,Gloucester,Exeter,L,1.74,2.15,home,1,0,Exeter,Gloucester,W,2.15,1.74,away,False,True,False,1,10,0.0
110,0,1,2020-02-15,Worcester,Bath,L,2.06,1.82,home,1,0,Bath,Worcester,W,1.82,2.06,away,False,True,True,1,10,0.0
111,1,1,2020-02-15,Leicester,Wasps,W,1.54,2.59,home,0,0,Wasps,Leicester,L,2.59,1.54,away,True,True,True,1,10,15.4
114,0,1,2020-02-15,Harlequins,London Irish,L,1.33,3.49,home,1,0,London Irish,Harlequins,W,3.49,1.33,away,False,True,False,1,10,0.0
116,1,1,2020-02-15,Saracens,Sale,W,2.28,1.69,home,0,0,Sale,Saracens,L,1.69,2.28,away,True,True,False,1,10,22.799999999999997
118,0,1,2020-02-16,Northampton,Bristol,L,1.48,2.78,home,1,0,Bristol,Northampton,W,2.78,1.48,away,False,True,False,1,10,0.0
120,1,1,2020-02-21,Wasps,Saracens,W,1.9,1.96,home,0,0,Saracens,Wasps,L,1.96,1.9,away,True,True,True,2,5,9.5
122,1,1,2020-02-21,Sale,Leicester,W,1.11,6.6,home,0,0,Leicester,Sale,L,6.6,1.11,away,True,True,True,1,10,11.100000000000001
126,1,1,2020-02-22,Bath,Harlequins,W,1.53,2.59,home,0,0,Harlequins,Bath,L,2.59,1.53,away,True,True,True,1,10,15.3
127,1,0,2020-02-22,London Irish,Gloucester,W,1.79,2.05,home,0,1,Gloucester,London Irish,L,2.05,1.79,away,False,True,True,1,10,0.0
128,1,1,2020-02-23,Exeter,Northampton,W,1.13,5.91,home,0,0,Northampton,Exeter,L,5.91,1.13,away,True,True,True,1,10,11.299999999999999
130,1,1,2020-02-23,Bristol,Worcester,W,1.2,4.62,home,0,0,Worcester,Bristol,L,4.62,1.2,away,True,True,True,1,10,12.0
133,0,1,2020-02-28,Gloucester,Sale,L,1.57,2.5,home,1,0,Sale,Gloucester,W,2.5,1.57,away,False,True,False,1,10,0.0
134,1,0,2020-02-29,Harlequins,Exeter,W,3.13,1.37,home,0,1,Exeter,Harlequins,L,1.37,3.13,away,False,True,False,1,10,0.0
136,0,1,2020-02-29,Northampton,Saracens,L,1.52,2.59,home,1,0,Saracens,Northampton,W,2.59,1.52,away,False,True,False,1,10,0.0
137,1,1,2020-02-29,Leicester,Worcester,W,1.46,2.75,home,0,0,Worcester,Leicester,L,2.75,1.46,away,True,True,True,1,10,14.6
140,0,1,2020-03-01,Bath,Bristol,L,1.46,2.84,home,1,0,Bristol,Bath,W,2.84,1.46,away,False,True,False,1,10,0.0
143,0,0,2020-03-01,London Irish,Wasps,L,1.71,2.18,home,1,1,Wasps,London Irish,W,2.18,1.71,away,True,True,False,1,10,21.8
146,1,1,2020-03-06,Sale,London Irish,W,1.11,6.61,home,0,0,London Irish,Sale,L,6.61,1.11,away,True,True,True,1,10,11.100000000000001
147,0,0,2020-03-06,Worcester,Northampton,L,2.54,1.55,home,1,1,Northampton,Worcester,W,1.55,2.54,away,True,True,True,1,10,15.5
148,1,1,2020-03-07,Saracens,Leicester,W,1.09,7.05,home,0,0,Leicester,Saracens,L,7.05,1.09,away,True,True,True,1,10,10.9
149,1,0,2020-03-07,Wasps,Gloucester,W,1.54,2.56,home,0,1,Gloucester,Wasps,L,2.56,1.54,away,False,True,True,1,10,0.0
150,1,1,2020-03-07,Exeter,Bath,W,1.16,5.22,home,0,0,Bath,Exeter,L,5.22,1.16,away,True,True,True,1,10,11.6
155,1,1,2020-03-08,Bristol,Harlequins,W,1.28,3.87,home,0,0,Harlequins,Bristol,L,3.87,1.28,away,True,True,True,1,10,12.8
156,1,0,2020-08-14,Harlequins,Sale,W,2.9,1.43,home,0,1,Sale,Harlequins,L,1.43,2.9,away,False,True,False,1,10,0.0
159,1,1,2020-08-15,Exeter,Leicester,W,1.06,8.76,home,0,0,Leicester,Exeter,L,8.76,1.06,away,True,True,True,1,10,10.600000000000001
161,1,0,2020-08-15,Bristol,Saracens,W,1.47,2.73,home,0,1,Saracens,Bristol,L,2.73,1.47,away,False,True,True,1,10,0.0
162,1,1,2020-08-15,Bath,London Irish,W,1.2,4.53,home,0,0,London Irish,Bath,L,4.53,1.2,away,True,True,True,1,10,12.0
165,0,0,2020-08-15,Worcester,Gloucester,L,2.47,1.57,home,1,1,Gloucester,Worcester,W,1.57,2.47,away,True,True,True,1,10,15.700000000000001
166,0,1,2020-08-16,Northampton,Wasps,L,1.55,2.5,home,1,0,Wasps,Northampton,W,2.5,1.55,away,False,True,False,1,10,0.0
168,0,0,2020-08-21,Sale,Exeter,L,2.08,1.8,home,1,1,Exeter,Sale,W,1.8,2.08,away,True,True,True,2,5,9.0
172,0,0,2020-08-21,Gloucester,Bristol,L,2.05,1.79,home,1,1,Bristol,Gloucester,W,1.79,2.05,away,True,True,True,2,5,8.95
173,1,1,2020-08-21,Wasps,Worcester,W,1.12,6.24,home,0,0,Worcester,Wasps,L,6.24,1.12,away,True,True,True,1,10,11.200000000000001
174,0,0,2020-08-22,London Irish,Northampton,L,2.98,1.41,home,1,1,Northampton,London Irish,W,1.41,2.98,away,True,True,True,1,10,14.1
176,1,1,2020-08-22,Saracens,Harlequins,W,1.34,3.3,home,0,0,Harlequins,Saracens,L,3.3,1.34,away,True,True,True,1,10,13.4
179,0,0,2020-08-22,Leicester,Bath,L,5.18,1.16,home,1,1,Bath,Leicester,W,1.16,5.18,away,True,True,True,1,10,11.6
180,0,1,2020-08-25,Wasps,Sale,L,1.19,4.66,home,1,0,Sale,Wasps,W,4.66,1.19,away,False,True,False,1,10,0.0
183,0,1,2020-08-25,Bristol,Exeter,L,1.27,3.85,home,1,0,Exeter,Bristol,W,3.85,1.27,away,False,True,False,1,10,0.0
186,1,1,2020-08-26,Saracens,Gloucester,W,1.83,2.01,home,0,0,Gloucester,Saracens,L,2.01,1.83,away,True,True,True,1,10,18.3
187,0,1,2020-08-26,Northampton,Bath,L,1.35,3.27,home,1,0,Bath,Northampton,W,3.27,1.35,away,False,True,False,1,10,0.0
189,1,1,2020-08-26,Leicester,London Irish,W,1.16,5.2,home,0,0,London Irish,Leicester,L,5.2,1.16,away,True,True,True,1,10,11.6
190,1,1,2020-08-26,Worcester,Harlequins,W,1.46,2.8,home,0,0,Harlequins,Worcester,L,2.8,1.46,away,True,True,True,1,10,14.6
192,1,1,2020-08-29,Sale,Bristol,W,1.07,8.25,home,0,0,Bristol,Sale,L,8.25,1.07,away,True,True,True,1,10,10.700000000000001
195,1,1,2020-08-30,Harlequins,Northampton,W,1.29,3.67,home,0,0,Northampton,Harlequins,L,3.67,1.29,away,True,True,True,1,10,12.9
197,1,1,2020-08-30,Gloucester,Leicester,W,1.04,9.67,home,0,0,Leicester,Gloucester,L,9.67,1.04,away,True,True,True,1,10,10.4
199,1,1,2020-08-30,Exeter,Worcester,W,1.01,16.96,home,0,0,Worcester,Exeter,L,16.96,1.01,away,True,True,True,1,10,10.1
200,0,1,2020-08-31,Bath,Wasps,L,1.36,3.23,home,1,0,Wasps,Bath,W,3.23,1.36,away,False,True,False,1,10,0.0
201,0,0,2020-08-31,London Irish,Saracens,L,16.0,1.01,home,1,1,Saracens,London Irish,W,1.01,16.0,away,True,True,True,1,10,10.1
204,0,1,2020-09-04,Northampton,Exeter,L,1.71,2.2,home,1,0,Exeter,Northampton,W,2.2,1.71,away,False,True,False,2,5,0.0
207,0,0,2020-09-04,Worcester,Bristol,L,4.13,1.23,home,1,1,Bristol,Worcester,W,1.23,4.13,away,True,True,True,1,10,12.3
209,0,1,2020-09-05,Saracens,Wasps,L,1.05,9.55,home,1,0,Wasps,Saracens,W,9.55,1.05,away,False,True,False,1,10,0.0
211,0,0,2020-09-05,Leicester,Sale,L,3.31,1.35,home,1,1,Sale,Leicester,W,1.35,3.31,away,True,True,True,1,10,13.5
214,0,1,2020-09-05,Harlequins,Bath,L,1.73,2.16,home,1,0,Bath,Harlequins,W,2.16,1.73,away,False,True,False,2,5,0.0
215,1,1,2020-09-05,Gloucester,London Irish,W,1.29,3.69,home,0,0,London Irish,Gloucester,L,3.69,1.29,away,True,True,True,1,10,12.9
216,1,1,2020-09-08,Bristol,Northampton,W,1.07,8.04,home,0,0,Northampton,Bristol,L,8.04,1.07,away,True,True,True,1,10,10.700000000000001
218,1,1,2020-09-09,Bath,Worcester,W,1.07,8.58,home,0,0,Worcester,Bath,L,8.58,1.07,away,True,True,True,1,10,10.700000000000001
219,0,0,2020-09-09,London Irish,Harlequins,L,5.23,1.15,home,1,1,Harlequins,London Irish,W,1.15,5.23,away,True,True,True,1,10,11.5
220,1,1,2020-09-09,Exeter,Gloucester,W,1.01,16.11,home,0,0,Gloucester,Exeter,L,16.11,1.01,away,True,True,True,1,10,10.1
222,1,1,2020-09-09,Wasps,Leicester,W,1.04,10.04,home,0,0,Leicester,Wasps,L,10.04,1.04,away,True,True,True,1,10,10.4
223,1,1,2020-09-09,Sale,Saracens,W,1.21,4.67,home,0,0,Saracens,Sale,L,4.67,1.21,away,True,True,True,1,10,12.1
228,1,1,2020-09-13,Saracens,Exeter,W,1.53,2.52,home,0,0,Exeter,Saracens,L,2.52,1.53,away,True,True,True,2,5,7.65
232,0,0,2020-09-13,London Irish,Worcester,L,2.16,1.71,home,1,1,Worcester,London Irish,W,1.71,2.16,away,True,True,True,1,10,17.1
233,0,1,2020-09-13,Sale,Bath,L,1.33,3.37,home,1,0,Bath,Sale,W,3.37,1.33,away,False,True,False,1,10,0.0
236,1,1,2020-09-13,Wasps,Bristol,W,1.06,8.43,home,0,0,Bristol,Wasps,L,8.43,1.06,away,True,True,True,1,10,10.600000000000001
237,1,0,2020-09-13,Leicester,Northampton,W,2.65,1.5,home,0,1,Northampton,Leicester,L,1.5,2.65,away,False,True,False,1,10,0.0
239,0,1,2020-09-14,Gloucester,Harlequins,L,1.42,2.9,home,1,0,Harlequins,Gloucester,W,2.9,1.42,away,False,True,False,1,10,0.0
240,1,1,2020-09-22,Bath,Gloucester,W,1.19,4.73,home,0,0,Gloucester,Bath,L,4.73,1.19,away,True,True,True,1,10,11.899999999999999
242,0,0,2020-09-28,Harlequins,Wasps,L,2.45,1.58,home,1,1,Wasps,Harlequins,W,1.58,2.45,away,True,True,True,1,10,15.8
