,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
1,0,1,2021-09-17,Bristol,Saracens,9,26,35,L,1.98,3.1,home,1,0,Saracens,Bristol,26,9,35,W,3.1,1.98,away,False,True,False,1,17,10,0.0
3,1,1,2021-09-18,Worcester,London Irish,36,24,60,W,1.8,3.1,home,0,0,London Irish,Worcester,24,36,60,L,3.1,1.8,away,True,True,True,1,12,10,18.0
6,1,1,2021-09-18,Sale,Bath,20,19,39,W,1.38,3.1,home,0,0,Bath,Sale,19,20,39,L,3.1,1.38,away,True,True,True,1,1,10,13.799999999999999
8,1,0,2021-09-18,Leicester,Exeter,34,19,53,W,2.01,1.83,home,0,1,Exeter,Leicester,19,34,53,L,1.83,2.01,away,False,True,False,1,15,10,0.0
9,1,1,2021-09-18,Northampton,Gloucester,34,20,54,W,1.36,3.2,home,0,0,Gloucester,Northampton,20,34,54,L,3.2,1.36,away,True,True,True,1,14,10,13.600000000000001
10,1,1,2021-09-18,Northampton,Gloucester,34,20,54,W,1.36,3.2,home,0,0,Gloucester,Northampton,20,34,54,L,3.2,1.36,away,True,True,True,1,14,10,13.600000000000001
12,0,0,2021-09-19,Newcastle,Harlequins,20,26,46,L,2.65,1.49,home,1,1,Harlequins,Newcastle,26,20,46,W,1.49,2.65,away,True,True,True,1,6,10,14.9
15,0,0,2021-09-24,Gloucester,Leicester,26,33,59,L,2.19,1.69,home,1,1,Leicester,Gloucester,33,26,59,W,1.69,2.19,away,True,True,True,1,7,10,16.9
18,0,1,2021-09-25,Exeter,Northampton,24,26,50,L,1.25,4.02,home,1,0,Northampton,Exeter,26,24,50,W,4.02,1.25,away,False,True,False,1,2,10,0.0
19,1,0,2021-09-25,Wasps,Bristol,44,8,52,W,2.3,1.62,home,0,1,Bristol,Wasps,8,44,52,L,1.62,2.3,away,False,True,False,1,36,10,0.0
21,0,1,2021-09-25,Bath,Newcastle,13,20,33,L,1.4,3.03,home,1,0,Newcastle,Bath,20,13,33,W,3.03,1.4,away,False,True,False,1,7,10,0.0
22,1,1,2021-09-25,Harlequins,Worcester,35,29,64,W,1.13,6.04,home,0,0,Worcester,Harlequins,29,35,64,L,6.04,1.13,away,True,True,True,1,6,10,11.299999999999999
24,0,0,2021-09-26,London Irish,Sale,31,31,62,D,2.17,1.73,home,0,1,Sale,London Irish,31,31,62,D,1.73,2.17,away,False,True,False,1,0,10,0.0
26,1,1,2021-10-01,Bristol,Bath,25,20,45,W,1.3,3.56,home,0,0,Bath,Bristol,20,25,45,L,3.56,1.3,away,True,True,True,1,5,10,13.0
28,1,0,2021-10-02,Newcastle,Wasps,18,14,32,W,2.0,1.84,home,0,1,Wasps,Newcastle,14,18,32,L,1.84,2.0,away,False,True,False,2,4,5,0.0
29,1,1,2021-10-02,Northampton,London Irish,23,21,44,W,1.3,3.58,home,0,0,London Irish,Northampton,21,23,44,L,3.58,1.3,away,True,True,True,1,2,10,13.0
30,1,0,2021-10-02,Leicester,Saracens,13,12,25,W,2.59,1.52,home,0,1,Saracens,Leicester,12,13,25,L,1.52,2.59,away,False,True,False,2,1,5,0.0
32,0,1,2021-10-02,Worcester,Gloucester,23,31,54,L,1.71,2.21,home,1,0,Gloucester,Worcester,31,23,54,W,2.21,1.71,away,False,True,False,1,8,10,0.0
36,0,0,2021-10-03,Sale,Exeter,15,25,40,L,2.37,1.62,home,1,1,Exeter,Sale,25,15,40,W,1.62,2.37,away,True,True,True,1,10,10,16.200000000000003
38,1,1,2021-10-08,Harlequins,Bristol,52,24,76,W,1.38,3.11,home,0,0,Bristol,Harlequins,24,52,76,L,3.11,1.38,away,True,True,True,1,28,10,13.799999999999999
40,1,0,2021-10-09,Gloucester,Sale,33,32,65,W,1.51,2.6,home,0,1,Sale,Gloucester,32,33,65,L,2.6,1.51,away,False,True,True,1,1,10,0.0
45,1,1,2021-10-09,Exeter,Worcester,42,5,47,W,1.05,8.71,home,0,0,Worcester,Exeter,5,42,47,L,8.71,1.05,away,True,True,True,1,37,10,10.5
46,0,0,2021-10-09,London Irish,Leicester,16,21,37,L,2.41,1.59,home,1,1,Leicester,London Irish,21,16,37,W,1.59,2.41,away,True,True,True,1,5,10,15.9
47,1,1,2021-10-09,Saracens,Newcastle,37,23,60,W,1.07,8.32,home,0,0,Newcastle,Saracens,23,37,60,L,8.32,1.07,away,True,True,True,1,14,10,10.700000000000001
49,1,1,2021-10-10,Wasps,Northampton,26,20,46,W,1.79,2.08,home,0,0,Northampton,Wasps,20,26,46,L,2.08,1.79,away,True,True,True,1,6,10,17.9
51,1,1,2021-10-15,Sale,Harlequins,28,22,50,W,2.09,1.8,home,0,0,Harlequins,Sale,22,28,50,L,1.8,2.09,away,True,True,False,1,6,10,20.9
52,0,0,2021-10-16,Worcester,Leicester,3,48,51,L,3.7,1.29,home,1,1,Leicester,Worcester,48,3,51,W,1.29,3.7,away,True,True,True,1,45,10,12.9
53,0,0,2021-10-16,Wasps,Exeter,23,27,50,L,3.03,1.4,home,1,1,Exeter,Wasps,27,23,50,W,1.4,3.03,away,True,True,True,1,4,10,14.0
56,1,1,2021-10-16,Newcastle,Bristol,13,5,18,W,1.64,2.4,home,0,0,Bristol,Newcastle,5,13,18,L,2.4,1.64,away,True,True,True,2,8,5,8.2
59,0,0,2021-10-17,Bath,Saracens,17,71,88,L,3.7,1.29,home,1,1,Saracens,Bath,71,17,88,W,1.29,3.7,away,True,True,True,1,54,10,12.9
60,0,1,2021-10-17,London Irish,Gloucester,25,25,50,D,1.7,2.17,home,0,0,Gloucester,London Irish,25,25,50,D,2.17,1.7,away,False,True,False,1,0,10,0.0
