,date,team_x,actual_x,prediction_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner
22,2022-09-24,Bristol,1,1,London Irish,40,36,76,W,home,1.31,3.47,0,0,London Irish,Bristol,36,40,76,L,away,3.47,1.31,True,True,True
23,2022-09-25,Exeter,1,1,Harlequins,43,42,85,W,home,1.29,3.65,0,0,Harlequins,Exeter,42,43,85,L,away,3.65,1.29,True,True,True
24,2022-09-30,Newcastle,1,0,Bristol,30,15,45,W,home,2.4,1.59,0,1,Bristol,Newcastle,15,30,45,L,away,1.59,2.4,False,True,False
25,2022-10-01,London Irish,1,1,Bath,47,38,85,W,home,1.29,3.58,0,0,Bath,London Irish,38,47,85,L,away,3.58,1.29,True,True,True
26,2022-10-01,Saracens,1,1,Leicester,51,18,69,W,home,1.42,2.89,0,0,Leicester,Saracens,18,51,69,L,away,2.89,1.42,True,True,True
27,2022-10-01,Sale,1,1,Exeter,28,20,48,W,home,1.61,2.34,0,0,Exeter,Sale,20,28,48,L,away,2.34,1.61,True,True,True
28,2022-10-02,Harlequins,1,1,Northampton,35,29,64,W,home,1.45,2.78,0,0,Northampton,Harlequins,29,35,64,L,away,2.78,1.45,True,True,True
29,2022-10-07,Bristol,0,0,Exeter,14,50,64,L,home,2.02,1.82,1,1,Exeter,Bristol,50,14,64,W,away,1.82,2.02,True,True,True
30,2022-10-08,Leicester,0,1,Sale,16,26,42,L,home,1.33,3.34,1,0,Sale,Leicester,26,16,42,W,away,3.34,1.33,False,True,False
31,2022-10-08,Bath,0,0,Gloucester,17,21,38,L,home,3.28,1.34,1,1,Gloucester,Bath,21,17,38,W,away,1.34,3.28,True,True,True
32,2022-10-09,Wasps,0,0,Northampton,36,40,76,L,home,1.87,1.95,1,1,Northampton,Wasps,40,36,76,W,away,1.95,1.87,True,True,False
33,2022-10-09,Newcastle,0,0,Saracens,14,34,48,L,home,3.86,1.26,1,1,Saracens,Newcastle,34,14,48,W,away,1.26,3.86,True,True,True
34,2022-10-14,Sale,1,1,London Irish,37,14,51,W,home,1.18,4.8,0,0,London Irish,Sale,14,37,51,L,away,4.8,1.18,True,True,True
35,2022-10-15,Saracens,1,1,Bath,37,31,68,W,home,1.04,10.08,0,0,Bath,Saracens,31,37,68,L,away,10.08,1.04,True,True,True
36,2022-10-15,Gloucester,1,1,Bristol,31,28,59,W,home,1.28,3.73,0,0,Bristol,Gloucester,28,31,59,L,away,3.73,1.28,True,True,True
37,2022-10-15,Northampton,1,1,Newcastle,32,31,63,W,home,1.08,7.32,0,0,Newcastle,Northampton,31,32,63,L,away,7.32,1.08,True,True,True
38,2022-10-22,Exeter,0,1,Saracens,20,22,42,L,home,1.77,2.09,1,0,Saracens,Exeter,22,20,42,W,away,2.09,1.77,False,True,False
39,2022-10-22,Bath,1,0,Northampton,27,14,41,W,home,2.57,1.51,0,1,Northampton,Bath,14,27,41,L,away,1.51,2.57,False,True,False
40,2022-10-23,Sale,0,1,Harlequins,13,29,42,L,home,1.29,3.59,1,0,Harlequins,Sale,29,13,42,W,away,3.59,1.29,False,True,False
41,2022-10-28,Gloucester,1,0,Exeter,38,22,60,W,home,1.88,1.96,0,1,Exeter,Gloucester,22,38,60,L,away,1.96,1.88,False,True,True
42,2022-10-29,Harlequins,1,1,London Irish,26,24,50,W,home,1.24,4.01,0,0,London Irish,Harlequins,24,26,50,L,away,4.01,1.24,True,True,True
43,2022-10-29,Northampton,1,1,Bristol,45,31,76,W,home,1.78,2.07,0,0,Bristol,Northampton,31,45,76,L,away,2.07,1.78,True,True,True
44,2022-10-30,Saracens,1,1,Sale,33,22,55,W,home,1.51,2.59,0,0,Sale,Saracens,22,33,55,L,away,2.59,1.51,True,True,True
45,2022-11-05,Newcastle,0,1,Bath,10,17,27,L,home,1.67,2.24,1,0,Bath,Newcastle,17,10,27,W,away,2.24,1.67,False,True,False
46,2022-11-05,Sale,1,1,Gloucester,27,17,44,W,home,1.25,3.9,0,0,Gloucester,Sale,17,27,44,L,away,3.9,1.25,True,True,True
47,2022-11-05,Bristol,0,0,Saracens,10,25,35,L,home,3.14,1.36,1,1,Saracens,Bristol,25,10,35,W,away,1.36,3.14,True,True,True
48,2022-11-11,Bath,1,0,Leicester,19,18,37,W,home,2.61,1.51,0,1,Leicester,Bath,18,19,37,L,away,1.51,2.61,False,True,False
49,2022-11-12,Exeter,1,1,London Irish,22,17,39,W,home,1.49,2.65,0,0,London Irish,Exeter,17,22,39,L,away,2.65,1.49,True,True,True
50,2022-11-12,Gloucester,0,1,Newcastle,21,27,48,L,home,1.14,5.51,1,0,Newcastle,Gloucester,27,21,48,W,away,5.51,1.14,False,True,False
51,2022-11-13,Saracens,1,1,Northampton,45,39,84,W,home,1.41,2.94,0,0,Northampton,Saracens,39,45,84,L,away,2.94,1.41,True,True,True
52,2022-11-25,Newcastle,1,0,Exeter,24,21,45,W,home,2.27,1.65,0,1,Exeter,Newcastle,21,24,45,L,away,1.65,2.27,False,True,False
53,2022-11-25,Harlequins,1,1,Gloucester,21,12,33,W,home,1.43,2.88,0,0,Gloucester,Harlequins,12,21,33,L,away,2.88,1.43,True,True,True
54,2022-11-26,Sale,1,1,Bristol,25,20,45,W,home,1.26,3.82,0,0,Bristol,Sale,20,25,45,L,away,3.82,1.26,True,True,True
55,2022-11-27,Leicester,1,1,London Irish,33,31,64,W,home,1.24,4.02,0,0,London Irish,Leicester,31,33,64,L,away,4.02,1.24,True,True,True
56,2022-12-02,Bath,0,0,Harlequins,13,19,32,L,home,2.08,1.77,1,1,Harlequins,Bath,19,13,32,W,away,1.77,2.08,True,True,True
57,2022-12-03,Bristol,0,0,Leicester,26,26,52,D,home,2.22,1.67,0,1,Leicester,Bristol,26,26,52,D,away,1.67,2.22,False,True,False
58,2022-12-03,Gloucester,1,1,Northampton,34,19,53,W,home,1.59,2.38,0,0,Northampton,Gloucester,19,34,53,L,away,2.38,1.59,True,True,True
59,2022-12-03,London Irish,1,1,Newcastle,39,17,56,W,home,1.28,3.68,0,0,Newcastle,London Irish,17,39,56,L,away,3.68,1.28,True,True,True
60,2022-12-23,London Irish,1,0,Saracens,29,20,49,W,home,3.14,1.36,0,1,Saracens,London Irish,20,29,49,L,away,1.36,3.14,False,True,False
61,2022-12-23,Newcastle,1,0,Sale,20,14,34,W,home,2.66,1.5,0,1,Sale,Newcastle,14,20,34,L,away,1.5,2.66,False,True,False
62,2022-12-24,Exeter,1,1,Bath,20,15,35,W,home,1.2,4.52,0,0,Bath,Exeter,15,20,35,L,away,4.52,1.2,True,True,True
63,2022-12-24,Leicester,1,1,Gloucester,28,13,41,W,home,1.5,2.61,0,0,Gloucester,Leicester,13,28,41,L,away,2.61,1.5,True,True,True
64,2022-12-27,Harlequins,0,1,Bristol,12,15,27,L,home,1.28,3.7,1,0,Bristol,Harlequins,15,12,27,W,away,3.7,1.28,False,True,False
65,2022-12-30,Sale,1,1,Leicester,40,5,45,W,home,1.58,2.42,0,0,Leicester,Sale,5,40,45,L,away,2.42,1.58,True,True,True
66,2022-12-31,Bath,1,1,Newcastle,24,16,40,W,home,1.26,3.97,0,0,Newcastle,Bath,16,24,40,L,away,3.97,1.26,True,True,True
67,2022-12-31,Gloucester,1,1,London Irish,8,6,14,W,home,1.37,3.17,0,0,London Irish,Gloucester,6,8,14,L,away,3.17,1.37,True,True,True
68,2022-12-31,Saracens,1,1,Exeter,35,3,38,W,home,1.15,5.62,0,0,Exeter,Saracens,3,35,38,L,away,5.62,1.15,True,True,True
69,2023-01-06,Gloucester,0,0,Saracens,16,19,35,L,home,3.0,1.41,1,1,Saracens,Gloucester,19,16,35,W,away,1.41,3.0,True,True,True
70,2023-01-07,Newcastle,1,0,Leicester,45,26,71,W,home,2.21,1.7,0,1,Leicester,Newcastle,26,45,71,L,away,1.7,2.21,False,True,False
71,2023-01-07,Exeter,1,1,Northampton,35,12,47,W,home,1.32,3.43,0,0,Northampton,Exeter,12,35,47,L,away,3.43,1.32,True,True,True
72,2023-01-27,Sale,1,1,Bath,30,27,57,W,home,1.34,3.29,0,0,Bath,Sale,27,30,57,L,away,3.29,1.34,True,True,True
73,2023-01-28,Saracens,1,1,Bristol,20,19,39,W,home,1.35,3.21,0,0,Bristol,Saracens,19,20,39,L,away,3.21,1.35,True,True,True
74,2023-01-28,Leicester,0,1,Northampton,18,19,37,L,home,1.24,4.11,1,0,Northampton,Leicester,19,18,37,W,away,4.11,1.24,False,True,False
75,2023-01-28,Exeter,1,1,Gloucester,24,17,41,W,home,1.51,2.61,0,0,Gloucester,Exeter,17,24,41,L,away,2.61,1.51,True,True,True
76,2023-01-29,London Irish,1,1,Harlequins,42,24,66,W,home,1.49,2.68,0,0,Harlequins,London Irish,24,42,66,L,away,2.68,1.49,True,True,True
