,date,team_x,actual_x,prediction_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner
0,2022-09-23,Bath,0,1,Wasps,31,39,70,L,home,1.82,2.01,1,0,Wasps,Bath,39,31,70,W,away,2.01,1.82,False,True,False
1,2022-10-16,Harlequins,0,1,Leicester,19,27,46,L,home,1.67,2.23,1,0,Leicester,Harlequins,27,19,46,W,away,2.23,1.67,False,True,False
2,2022-10-21,London Irish,0,0,Gloucester,21,22,43,L,home,1.74,2.12,1,1,Gloucester,London Irish,22,21,43,W,away,2.12,1.74,True,True,False
3,2022-11-04,Northampton,1,1,Exeter,26,19,45,W,home,1.64,2.3,0,0,Exeter,Northampton,19,26,45,L,away,2.3,1.64,True,True,True
4,2023-01-01,Northampton,1,1,Harlequins,46,17,63,W,home,1.52,2.55,0,0,Harlequins,Northampton,17,46,63,L,away,2.55,1.52,True,True,True
5,2023-01-08,London Irish,1,1,Bristol,23,7,30,W,home,1.89,1.94,0,0,Bristol,London Irish,7,23,30,L,away,1.94,1.89,True,True,True
6,2023-01-08,Harlequins,0,0,Sale,16,24,40,L,home,2.14,1.74,1,1,Sale,Harlequins,24,16,40,W,away,1.74,2.14,True,True,True
7,2022-09-10,London Irish,1,1,Worcester,45,14,59,W,home,1.13,6.0,0,0,Worcester,London Irish,14,45,59,L,away,6.0,1.13,True,True,True
8,2022-09-10,Bristol,1,1,Bath,31,29,60,W,home,1.24,4.04,0,0,Bath,Bristol,29,31,60,L,away,4.04,1.24,True,True,True
9,2022-09-10,Exeter,1,0,Leicester,24,20,44,W,home,2.06,1.8,0,1,Leicester,Exeter,20,24,44,L,away,1.8,2.06,False,True,False
10,2022-09-10,Newcastle,0,0,Harlequins,31,40,71,L,home,2.92,1.42,1,1,Harlequins,Newcastle,40,31,71,W,away,1.42,2.92,True,True,True
11,2022-09-11,Sale,1,1,Northampton,29,22,51,W,home,1.4,3.01,0,0,Northampton,Sale,22,29,51,L,away,3.01,1.4,True,True,True
12,2022-09-11,Gloucester,1,1,Wasps,27,21,48,W,home,1.36,3.16,0,0,Wasps,Gloucester,21,27,48,L,away,3.16,1.36,True,True,True
13,2022-09-17,Bath,0,0,Sale,20,37,57,L,home,1.99,1.83,1,1,Sale,Bath,37,20,57,W,away,1.83,1.99,True,True,True
14,2022-09-17,Harlequins,0,0,Saracens,27,30,57,L,home,2.62,1.5,1,1,Saracens,Harlequins,30,27,57,W,away,1.5,2.62,True,True,True
15,2022-09-17,Wasps,0,1,Bristol,8,23,31,L,home,1.52,2.59,1,0,Bristol,Wasps,23,8,31,W,away,2.59,1.52,False,True,False
16,2022-09-17,Leicester,1,1,Newcastle,36,21,57,W,home,1.05,9.0,0,0,Newcastle,Leicester,21,36,57,L,away,9.0,1.05,True,True,True
17,2022-09-17,Northampton,1,1,London Irish,38,22,60,W,home,1.42,2.89,0,0,London Irish,Northampton,22,38,60,L,away,2.89,1.42,True,True,True
18,2022-09-18,Worcester,0,0,Exeter,21,36,57,L,home,5.62,1.13,1,1,Exeter,Worcester,36,21,57,W,away,1.13,5.62,True,True,True
19,2022-09-24,Saracens,1,1,Gloucester,41,39,80,W,home,1.21,4.3,0,0,Gloucester,Saracens,39,41,80,L,away,4.3,1.21,True,True,True
20,2022-09-24,Northampton,0,0,Leicester,21,41,62,L,home,1.82,2.03,1,1,Leicester,Northampton,41,21,62,W,away,2.03,1.82,True,True,False
21,2022-09-24,Worcester,1,1,Newcastle,39,5,44,W,home,1.74,2.14,0,0,Newcastle,Worcester,5,39,44,L,away,2.14,1.74,True,True,True
